  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    24-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Atigaru Test Well #1 
  File name:   ATI_77DEC14 
  Log date:    14-DEC-1977 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 11.58  -8.335
 14.63  -8.331
 17.68  -8.361
 20.73  -8.439
 23.77  -8.524
 26.82  -8.527
 29.87  -8.470
 32.92  -8.413
 35.97  -8.403
 39.01  -8.463
 42.06  -8.494
 45.11  -8.498
 48.16  -8.462
 51.21  -8.410
 54.25  -8.307
 57.30  -8.233
 60.35  -8.165
 63.40  -8.104
 66.45  -8.004
 69.49  -7.949
 72.54  -7.923
 75.59  -7.892
 78.64  -7.853
 81.69  -7.807
 84.73  -7.780
 87.78  -7.741
 90.83  -7.728
 93.88  -7.696
 96.93  -7.646
 99.97  -7.608
103.02  -7.552
106.07  -7.481
109.12  -7.436
112.17  -7.395
115.21  -7.340
118.26  -7.283
121.31  -7.217
124.36  -7.127
127.41  -7.050
130.45  -6.983
133.50  -6.925
136.55  -6.855
139.60  -6.798
142.65  -6.731
145.69  -6.657
148.74  -6.593
151.79  -6.532
154.84  -6.471
157.89  -6.409
160.93  -6.344
163.98  -6.249
167.03  -6.136
170.08  -6.079
173.13  -6.010
176.17  -5.951
179.22  -5.886
182.27  -5.802
185.32  -5.726
188.37  -5.619
191.41  -5.502
194.46  -5.367
197.51  -5.258
200.56  -5.243
203.61  -5.239
206.65  -5.234
209.70  -5.176
212.75  -5.048
215.80  -4.879
218.85  -4.790
221.89  -4.664
224.94  -4.554
227.99  -4.467
231.04  -4.360
234.09  -4.243
237.13  -4.102
240.18  -3.922
243.23  -3.752
246.28  -3.622
249.33  -3.511
252.37  -3.446
255.42  -3.417
258.47  -3.387
261.52  -3.361
264.57  -3.317
267.61  -3.290
270.66  -3.305
273.71  -3.307
276.76  -3.242
279.81  -3.161
282.86  -3.106
285.90  -3.034
288.95  -2.944
292.00  -2.879
295.05  -2.800
298.10  -2.729
301.14  -2.659
304.19  -2.593
307.24  -2.521
310.29  -2.469
313.33  -2.400
316.38  -2.341
319.43  -2.283
322.48  -2.259
325.53  -2.239
328.57  -2.176
331.62  -2.063
334.67  -1.922
337.72  -1.827
340.77  -1.713
343.82  -1.550
346.86  -1.436
349.91  -1.299
352.96  -1.152
356.01  -0.986
359.06  -0.796
362.10  -0.635
365.15  -0.397
368.20  -0.256
371.25  -0.097
374.30   0.054
377.34   0.222
380.39   0.385
383.44   0.504
386.49   0.667
389.54   0.794
392.58   0.942
398.68   1.195
404.78   1.486
410.87   1.772
416.97   2.064
423.06   2.346
429.16   2.632
435.26   2.953
441.35   3.260
447.45   3.542
453.54   3.820
459.64   4.147
465.74   4.434
471.83   4.742
477.93   5.072
484.02   5.432
490.12   5.748
496.22   6.152
502.31   6.474
508.41   6.794
514.50   7.167
520.60   7.469
526.70   7.763
532.79   8.087
538.89   8.405
544.98   8.700
554.13   9.104
557.18   9.236
563.27   9.547
569.37   9.871
575.46  10.154
581.56  10.429
587.66  10.665
593.75  10.939
599.85  11.197
605.94  11.434
