  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    24-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Atigaru Test Well #1 
  File name:   ATI_78SEP16 
  Log date:    16-SEP-1978 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
  9.14  -8.925
 12.19  -8.923
 15.24  -8.952
 18.29  -9.024
 21.34  -9.080
 24.38  -9.069
 27.43  -9.045
 30.48  -9.025
 33.53  -9.025
 36.58  -9.028
 39.62  -9.027
 42.67  -9.009
 45.72  -8.985
 48.77  -8.937
 51.82  -8.893
 54.86  -8.837
 57.91  -8.761
 60.96  -8.703
 64.01  -8.652
 67.06  -8.587
 70.10  -8.537
 73.15  -8.486
 76.20  -8.425
 79.25  -8.391
 82.30  -8.339
 85.34  -8.289
 88.39  -8.231
 91.44  -8.181
 94.49  -8.135
 97.54  -8.078
100.58  -8.016
103.63  -7.963
106.68  -7.902
109.73  -7.842
112.78  -7.787
115.82  -7.713
118.87  -7.648
121.92  -7.579
124.97  -7.513
128.02  -7.443
131.06  -7.390
134.11  -7.319
137.16  -7.262
140.21  -7.204
143.26  -7.139
146.30  -7.074
149.35  -7.026
152.40  -6.950
155.45  -6.894
158.50  -6.832
161.54  -6.762
164.59  -6.686
167.64  -6.614
170.69  -6.548
173.74  -6.482
176.78  -6.420
179.83  -6.359
182.88  -6.288
185.93  -6.206
188.98  -6.125
192.02  -6.041
195.07  -5.981
198.12  -5.896
201.17  -5.848
204.22  -5.790
207.26  -5.720
210.31  -5.623
213.36  -5.548
216.41  -5.461
219.46  -5.363
222.50  -5.284
225.55  -5.195
228.60  -5.095
231.65  -4.996
234.70  -4.857
237.74  -4.725
240.79  -4.570
243.84  -4.472
246.89  -4.364
249.94  -4.273
256.03  -4.155
259.08  -4.102
262.13  -4.048
265.18  -3.996
268.22  -3.951
271.27  -3.900
274.32  -3.832
277.37  -3.759
280.42  -3.704
283.46  -3.624
286.51  -3.564
289.56  -3.462
292.61  -3.368
295.66  -3.273
298.70  -3.185
301.75  -3.078
304.80  -3.000
307.85  -2.918
310.90  -2.843
313.94  -2.764
316.99  -2.711
320.04  -2.628
323.09  -2.534
326.14  -2.443
329.18  -2.321
332.23  -2.232
335.28  -2.138
338.33  -2.031
341.38  -1.914
344.42  -1.768
347.47  -1.616
350.52  -1.513
353.57  -1.388
356.62  -1.265
359.66  -1.092
362.71  -0.937
365.76  -0.783
368.81  -0.657
371.86  -0.530
374.90  -0.374
377.95  -0.217
381.00  -0.096
384.05   0.066
387.10   0.191
390.14   0.327
393.19   0.469
396.24   0.606
399.29   0.731
402.34   0.874
405.38   1.032
408.43   1.176
411.48   1.320
414.53   1.468
417.58   1.612
420.62   1.722
423.67   1.862
426.72   2.033
429.77   2.205
432.82   2.345
435.86   2.507
438.91   2.669
441.96   2.809
445.01   2.980
448.06   3.109
451.10   3.263
454.15   3.423
457.20   3.563
460.25   3.744
463.30   3.860
466.34   4.043
469.39   4.206
472.44   4.372
475.49   4.559
478.54   4.712
481.58   4.865
484.63   5.044
487.68   5.212
490.73   5.386
493.78   5.542
496.82   5.758
499.87   5.936
502.92   6.095
505.97   6.265
509.02   6.383
512.07   6.626
515.11   6.786
518.16   6.940
521.21   7.105
524.26   7.249
527.31   7.427
530.35   7.549
533.40   7.740
536.45   7.912
539.50   8.057
542.55   8.193
545.59   8.344
548.64   8.507
551.69   8.635
554.74   8.806
557.79   8.973
560.83   9.084
563.88   9.230
566.93   9.395
569.98   9.539
573.03   9.700
582.17  10.078
585.22  10.243
588.27  10.401
591.31  10.529
594.36  10.673
597.41  10.778
600.46  10.929
603.51  11.052
606.55  11.169
609.60  11.292
