  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    24-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Atigaru Test Well #1 
  File name:   ATI_81AUG26 
  Log date:    26-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.19  -9.620
 15.24  -9.564
 18.29  -9.536
 21.34  -9.519
 24.38  -9.505
 27.43  -9.496
 30.48  -9.475
 33.53  -9.459
 36.58  -9.444
 39.62  -9.428
 42.67  -9.410
 45.72  -9.391
 48.77  -9.358
 51.82  -9.327
 54.86  -9.287
 57.91  -9.243
 60.96  -9.191
 64.01  -9.136
 67.06  -9.078
 70.10  -9.008
 73.15  -8.949
 76.20  -8.879
 79.25  -8.838
 82.30  -8.773
 85.34  -8.714
 88.39  -8.656
 91.44  -8.597
 94.49  -8.536
 97.54  -8.465
100.58  -8.416
103.63  -8.346
106.68  -8.288
109.73  -8.221
112.78  -8.155
115.82  -8.103
118.87  -8.032
121.92  -7.972
124.97  -7.913
128.02  -7.851
131.06  -7.788
134.11  -7.718
137.16  -7.648
140.21  -7.588
143.26  -7.514
146.30  -7.452
149.35  -7.397
152.40  -7.330
155.45  -7.271
158.50  -7.215
161.54  -7.146
164.59  -7.093
167.64  -7.020
170.69  -6.950
173.74  -6.892
176.78  -6.828
179.83  -6.768
182.88  -6.689
185.93  -6.643
188.98  -6.566
192.02  -6.502
195.07  -6.429
198.12  -6.350
201.17  -6.283
204.22  -6.211
207.26  -6.153
210.31  -6.087
213.36  -6.024
216.41  -5.941
219.46  -5.855
222.50  -5.782
225.55  -5.695
228.60  -5.612
231.65  -5.528
234.70  -5.430
237.74  -5.316
240.79  -5.208
243.84  -5.092
246.89  -4.966
249.94  -4.853
252.98  -4.758
256.03  -4.659
259.08  -4.585
262.13  -4.510
265.18  -4.453
268.22  -4.405
271.27  -4.340
274.32  -4.283
277.37  -4.217
280.42  -4.148
283.46  -4.075
286.51  -4.008
289.56  -3.930
292.61  -3.850
295.66  -3.765
298.70  -3.671
301.75  -3.577
304.80  -3.486
307.85  -3.376
310.90  -3.293
313.94  -3.195
316.99  -3.112
320.04  -3.011
323.09  -2.917
326.14  -2.813
329.18  -2.707
332.23  -2.597
335.28  -2.500
338.33  -2.400
341.38  -2.298
344.42  -2.187
347.47  -2.049
350.52  -1.939
353.57  -1.804
356.62  -1.698
359.66  -1.583
362.71  -1.463
365.76  -1.331
368.81  -1.211
371.86  -1.076
374.90  -0.907
377.95  -0.787
381.00  -0.643
384.05  -0.502
387.10  -0.356
390.14  -0.222
393.19  -0.093
396.24   0.023
399.29   0.185
402.34   0.318
405.38   0.461
408.43   0.621
411.48   0.779
414.53   0.902
417.58   1.032
420.62   1.209
423.67   1.323
426.72   1.490
429.77   1.632
432.82   1.782
435.86   1.934
438.91   2.108
441.96   2.279
445.01   2.452
448.06   2.556
451.10   2.719
454.15   2.866
457.20   3.041
460.25   3.186
463.30   3.353
466.34   3.507
469.39   3.665
472.44   3.845
475.49   4.005
478.54   4.170
481.58   4.363
484.63   4.532
487.68   4.719
490.73   4.875
493.78   5.048
496.82   5.229
499.87   5.386
502.92   5.561
505.97   5.742
509.02   5.923
512.07   6.091
515.11   6.248
518.16   6.452
521.21   6.593
524.26   6.750
527.31   6.928
530.35   7.118
533.40   7.256
536.45   7.409
539.50   7.593
542.55   7.738
545.59   7.888
548.64   8.047
551.69   8.189
554.74   8.362
557.79   8.499
560.83   8.645
563.88   8.826
566.93   8.969
569.98   9.124
573.03   9.284
576.07   9.399
579.12   9.570
582.17   9.707
585.22   9.857
588.27   9.979
591.31  10.109
594.36  10.252
597.41  10.391
600.46  10.523
603.51  10.665
606.55  10.782
609.60  10.900
