  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    24-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Awuna Test Well #1 
  File name:   AWU_81AUG22 
  Log date:    22-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 30.48  -1.861
 33.53  -1.957
 36.58  -2.075
 39.62  -2.112
 42.67  -2.091
 45.72  -2.065
 48.77  -2.031
 51.82  -1.996
 54.86  -1.959
 57.91  -1.929
 60.96  -1.860
 64.01  -1.778
 67.06  -1.730
 70.10  -1.706
 73.15  -1.762
 76.20  -1.800
 79.25  -1.764
 82.30  -1.662
 85.34  -1.577
 88.39  -1.478
 91.44  -1.348
 94.49  -1.247
 97.54  -1.167
100.58  -1.135
103.63  -1.160
106.68  -1.158
109.73  -1.141
112.78  -1.108
115.82  -1.069
118.87  -1.014
121.92  -0.937
124.97  -0.886
128.02  -0.795
131.06  -0.745
134.11  -0.692
137.16  -0.634
140.21  -0.590
143.26  -0.536
146.30  -0.486
149.35  -0.419
152.40  -0.355
155.45  -0.293
158.50  -0.227
161.54  -0.162
164.59  -0.077
167.64   0.013
170.69   0.123
173.74   0.226
176.78   0.339
179.83   0.442
182.88   0.550
185.93   0.655
188.98   0.763
192.02   0.856
195.07   0.907
198.12   1.034
201.17   1.123
204.22   1.240
207.26   1.340
210.31   1.429
213.36   1.526
216.41   1.617
219.46   1.710
222.50   1.791
225.55   1.875
228.60   1.961
231.65   2.041
234.70   2.116
237.74   2.211
240.79   2.289
243.84   2.396
246.89   2.489
249.94   2.582
252.98   2.669
256.03   2.772
259.08   2.861
262.13   2.944
265.18   3.024
268.22   3.113
271.27   3.193
274.32   3.264
277.37   3.325
280.42   3.379
283.46   3.447
286.51   3.535
289.56   3.627
292.61   3.713
295.66   3.828
298.70   3.932
301.75   4.052
304.80   4.134
307.85   4.212
310.90   4.296
313.94   4.362
316.99   4.456
320.04   4.520
323.09   4.604
326.14   4.696
329.18   4.779
332.23   4.876
335.28   4.957
338.33   5.060
341.38   5.146
344.42   5.242
347.47   5.328
350.52   5.419
353.57   5.504
356.62   5.604
359.66   5.686
362.71   5.772
365.76   5.821
368.81   5.893
371.86   5.974
374.90   6.055
377.95   6.126
381.00   6.211
384.05   6.278
387.10   6.366
390.14   6.442
393.19   6.525
396.24   6.616
399.29   6.698
402.34   6.756
405.38   6.827
408.43   6.905
411.48   7.005
414.53   7.100
417.58   7.193
420.62   7.273
423.67   7.372
426.72   7.466
429.77   7.557
432.82   7.626
435.86   7.694
438.91   7.773
441.96   7.849
445.01   7.915
448.06   8.015
451.10   8.115
454.15   8.211
457.20   8.315
460.25   8.441
463.30   8.547
466.34   8.643
469.39   8.753
472.44   8.846
475.49   8.942
478.54   9.038
481.58   9.119
484.63   9.188
487.68   9.269
490.73   9.363
493.78   9.446
496.82   9.526
499.87   9.643
502.92   9.735
505.97   9.836
509.02   9.941
512.07  10.042
515.11  10.133
518.16  10.210
521.21  10.281
524.26  10.362
527.31  10.450
530.35  10.519
533.40  10.603
536.45  10.677
539.50  10.751
542.55  10.796
545.59  10.862
548.64  10.899
551.69  10.944
554.74  10.995
557.79  11.045
560.83  11.112
563.88  11.174
566.93  11.244
569.98  11.311
573.03  11.374
576.07  11.447
579.12  11.510
582.17  11.583
585.22  11.644
588.27  11.732
591.31  11.820
594.36  11.894
597.41  11.952
600.46  12.042
603.51  12.137
606.55  12.218
609.60  12.309
612.65  12.431
615.70  12.534
618.75  12.645
621.79  12.760
624.84  12.841
627.89  12.897
630.94  12.948
633.99  13.000
637.03  13.065
640.08  13.136
643.13  13.223
646.18  13.325
649.23  13.433
652.27  13.549
655.32  13.629
658.37  13.671
661.42  13.744
664.47  13.782
667.51  13.826
670.56  13.879
673.61  13.914
676.66  13.957
679.71  14.028
682.75  14.097
685.80  14.162
688.85  14.227
691.90  14.294
694.95  14.362
697.99  14.431
701.04  14.494
704.09  14.567
707.14  14.625
710.19  14.692
713.23  14.757
716.28  14.814
719.33  14.881
