  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    04-Apr-2015 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Awuna Test Well #1 
  File name:   AWU_82SEP06 
  Log date:    06-SEP-1982 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -3.655
 18.29  -3.928
 24.38  -4.264
 27.43  -4.372
 30.48  -4.436
 33.53  -4.456
 36.58  -4.460
 39.62  -4.442
 42.67  -4.415
 45.72  -4.369
 48.77  -4.326
 51.82  -4.278
 54.86  -4.234
 57.91  -4.176
 60.96  -4.126
 64.01  -4.084
 67.06  -4.021
 70.10  -3.967
 73.15  -3.908
 76.20  -3.849
 79.25  -3.780
 82.30  -3.726
 85.34  -3.658
 88.39  -3.610
 91.44  -3.544
 94.49  -3.472
 97.54  -3.397
100.58  -3.317
103.63  -3.245
106.68  -3.165
109.73  -3.104
112.78  -3.000
115.82  -2.932
118.87  -2.845
121.92  -2.773
124.97  -2.692
128.02  -2.602
131.06  -2.526
134.11  -2.434
137.16  -2.351
140.21  -2.267
143.26  -2.183
146.30  -2.099
149.35  -1.994
152.40  -1.903
155.45  -1.813
158.50  -1.719
161.54  -1.625
164.59  -1.543
167.64  -1.442
170.69  -1.332
173.74  -1.225
176.78  -1.116
179.83  -1.017
182.88  -0.939
185.93  -0.826
188.98  -0.714
192.02  -0.626
195.07  -0.533
198.12  -0.439
201.17  -0.358
204.22  -0.269
207.26  -0.163
210.31  -0.072
213.36   0.010
216.41   0.107
219.46   0.203
222.50   0.293
225.55   0.379
228.60   0.475
231.65   0.570
234.70   0.652
237.74   0.756
240.79   0.846
243.84   0.952
246.89   1.039
249.94   1.149
252.98   1.242
256.03   1.334
259.08   1.439
262.13   1.531
265.18   1.630
268.22   1.682
271.27   1.779
274.32   1.871
277.37   1.963
280.42   2.044
283.46   2.127
286.51   2.219
289.56   2.313
292.61   2.416
295.66   2.511
298.70   2.602
301.75   2.721
304.80   2.806
307.85   2.887
310.90   2.975
313.94   3.075
316.99   3.160
320.04   3.255
323.09   3.340
326.14   3.439
329.18   3.517
332.23   3.604
335.28   3.684
338.33   3.782
341.38   3.858
344.42   3.955
347.47   4.058
350.52   4.143
353.57   4.235
356.62   4.330
359.66   4.435
362.71   4.511
365.76   4.602
368.81   4.696
371.86   4.769
374.90   4.839
377.95   4.933
381.00   5.017
384.05   5.109
387.10   5.191
390.14   5.276
393.19   5.369
396.24   5.462
399.29   5.554
402.34   5.617
405.38   5.701
408.43   5.790
411.48   5.874
414.53   5.960
417.58   6.052
420.62   6.143
423.67   6.196
