  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    20-Feb-2015 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Canning River Unit A1 
  File name:   CNR_79SEP17 
  Log date:    17-SEP-1979 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (C) 
________________________________________________ 
             
 Depth  Temperature 
  9.14  -7.103
 12.19  -7.136
 15.24  -7.121
 18.29  -7.092
 21.34  -7.039
 24.38  -7.036
 27.43  -6.947
 30.48  -6.894
 33.53  -6.836
 36.58  -6.773
 39.62  -6.710
 42.67  -6.643
 45.72  -6.568
 48.77  -6.496
 51.82  -6.414
 54.86  -6.332
 57.91  -6.258
 60.96  -6.168
 64.01  -6.085
 67.06  -6.001
 70.10  -5.909
 73.15  -5.826
 76.20  -5.745
 79.25  -5.655
 82.30  -5.574
 85.34  -5.484
 88.39  -5.403
 91.44  -5.317
 94.49  -5.226
 97.54  -5.143
100.58  -5.067
103.63  -4.988
106.68  -4.894
109.73  -4.808
112.78  -4.714
115.82  -4.644
118.87  -4.547
121.92  -4.471
124.97  -4.391
128.02  -4.310
131.06  -4.214
134.11  -4.123
137.16  -4.044
140.21  -3.951
143.26  -3.870
146.30  -3.791
149.35  -3.704
152.40  -3.621
155.45  -3.526
158.50  -3.432
161.54  -3.350
164.59  -3.253
167.64  -3.160
170.69  -3.072
173.74  -2.982
176.78  -2.889
179.83  -2.798
182.88  -2.719
185.93  -2.616
188.98  -2.535
192.02  -2.456
195.07  -2.365
198.12  -2.280
201.17  -2.195
204.22  -2.096
207.26  -2.010
210.31  -1.917
213.36  -1.836
216.41  -1.745
219.46  -1.649
222.50  -1.566
225.55  -1.473
228.60  -1.384
231.65  -1.300
234.70  -1.212
237.74  -1.105
240.79  -1.011
243.84  -0.923
246.89  -0.837
249.94  -0.748
252.98  -0.648
256.03  -0.544
259.08  -0.458
262.13  -0.378
265.18  -0.305
268.22  -0.244
271.27  -0.115
274.32  -0.079
277.37   0.185
280.42   0.291
283.46   0.387
286.51   0.485
289.56   0.587
292.61   0.682
295.66   0.774
298.70   0.860
301.75   0.946
304.80   1.029
307.85   1.116
310.90   1.205
313.94   1.286
316.99   1.369
320.04   1.454
323.09   1.539
326.14   1.617
329.18   1.694
332.23   1.774
335.28   1.855
338.33   1.932
341.38   2.011
344.42   2.089
347.47   2.171
350.52   2.251
353.57   2.334
356.62   2.421
359.66   2.501
362.71   2.587
365.76   2.675
368.81   2.770
371.86   2.865
374.90   2.972
377.95   3.096
381.00   3.191
384.05   3.327
387.10   3.430
390.14   3.500
393.19   3.579
396.24   3.699
399.29   3.760
402.34   3.891
405.38   3.955
408.43   4.072
411.48   4.153
414.53   4.289
417.58   4.367
420.62   4.446
423.67   4.577
426.72   4.647
429.77   4.774
432.82   4.853
435.86   4.959
438.91   5.036
441.96   5.138
445.01   5.227
448.06   5.325
451.10   5.408
454.15   5.498
457.20   5.578
460.25   5.673
463.30   5.746
466.34   5.816
469.39   5.890
472.44   5.941
475.49   6.191
478.54   6.246
481.58   6.298
484.63   6.365
487.68   6.432
490.73   6.512
493.78   6.591
496.82   6.652
499.87   6.729
502.92   6.807
505.97   6.885
509.02   6.958
512.07   7.021
515.11   7.114
518.16   7.174
521.21   7.257
524.26   7.351
527.31   7.436
530.35   7.507
533.40   7.591
536.45   7.677
539.50   7.764
542.55   7.831
545.59   7.913
548.64   7.996
551.69   8.077
554.74   8.168
557.79   8.244
560.83   8.323
563.88   8.383
566.93   8.416
569.98   8.641
571.81   8.732
