  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    20-Feb-2015 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Canning River Unit A1 
  File name:   CNR_81AUG28 
  Log date:    28-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (C) 
________________________________________________ 
             
 Depth  Temperature 
  9.14  -6.902
 12.19  -6.943
 15.24  -6.915
 18.29  -6.880
 21.34  -6.840
 24.38  -6.832
 27.43  -6.818
 30.48  -6.799
 33.53  -6.779
 36.58  -6.748
 39.62  -6.709
 42.67  -6.663
 45.72  -6.600
 48.77  -6.537
 51.82  -6.470
 54.86  -6.395
 57.91  -6.317
 60.96  -6.247
 64.01  -6.202
 67.06  -6.077
 70.10  -6.007
 73.15  -5.922
 76.20  -5.827
 79.25  -5.743
 82.30  -5.652
 85.34  -5.581
 88.39  -5.490
 91.44  -5.396
 94.49  -5.308
 97.54  -5.223
100.58  -5.134
103.63  -5.036
106.68  -4.963
109.73  -4.887
112.78  -4.798
115.82  -4.720
118.87  -4.636
121.92  -4.549
124.97  -4.460
128.02  -4.368
131.06  -4.286
134.11  -4.199
137.16  -4.035
140.21  -3.941
143.26  -3.866
146.30  -3.775
149.35  -3.692
152.40  -3.607
155.45  -3.500
158.50  -3.412
161.54  -3.322
164.59  -3.286
167.64  -3.235
170.69  -3.140
173.74  -3.052
176.78  -2.967
179.83  -2.864
182.88  -2.783
185.93  -2.695
188.98  -2.612
192.02  -2.514
195.07  -2.450
198.12  -2.351
201.17  -2.250
204.22  -2.176
207.26  -2.077
210.31  -1.989
213.36  -1.895
216.41  -1.800
219.46  -1.702
222.50  -1.625
225.55  -1.544
228.60  -1.439
231.65  -1.360
234.70  -1.270
237.74  -1.165
240.79  -1.074
243.84  -0.976
246.89  -0.878
249.94  -0.802
252.98  -0.698
256.03  -0.597
259.08  -0.495
262.13  -0.431
265.18  -0.346
268.22  -0.301
