  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Drew Point Test Well #1 
  File name:   DRP_80SEP08 
  Log date:    08-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 36.58  -8.791
 39.62  -8.795
 42.67  -8.760
 45.72  -8.717
 48.77  -8.742
 51.82  -8.709
 54.86  -8.647
 57.91  -8.586
 60.96  -8.537
 64.01  -8.489
 67.06  -8.420
 70.10  -8.355
 73.15  -8.278
 76.20  -8.221
 79.25  -8.142
 82.30  -8.055
 85.34  -7.977
 88.39  -7.869
 91.44  -7.777
 94.49  -7.680
 97.54  -7.580
100.58  -7.470
103.63  -7.374
106.68  -7.291
109.73  -7.201
112.78  -7.108
115.82  -6.996
118.87  -6.905
121.92  -6.799
124.97  -6.693
128.02  -6.587
131.06  -6.489
134.11  -6.394
137.16  -6.289
140.21  -6.199
143.26  -6.103
146.30  -5.996
149.35  -5.900
152.40  -5.812
155.45  -5.714
158.50  -5.608
161.54  -5.517
164.59  -5.422
167.64  -5.338
170.69  -5.233
173.74  -5.151
176.78  -5.068
179.83  -4.981
182.88  -4.862
185.93  -4.777
188.98  -4.684
192.02  -4.574
195.07  -4.482
198.12  -4.390
201.17  -4.294
204.22  -4.207
207.26  -4.111
210.31  -4.020
213.36  -3.943
216.41  -3.850
219.46  -3.760
222.50  -3.678
225.55  -3.596
228.60  -3.510
231.65  -3.415
234.70  -3.310
