  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Drew Point Test Well #1 
  File name:   DRP_81AUG26 
  Log date:    26-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 36.58  -8.866
 39.62  -8.939
 42.67  -8.901
 45.72  -8.867
 48.77  -8.818
 51.82  -8.654
 54.86  -8.716
 57.91  -8.653
 60.96  -8.476
 64.01  -8.417
 67.06  -8.488
 70.10  -8.292
 73.15  -8.345
 76.20  -8.292
 79.25  -8.227
 82.30  -7.994
 85.34  -7.933
 88.39  -8.015
 91.44  -7.901
 94.49  -7.814
 97.54  -7.658
100.58  -7.607
103.63  -7.461
106.68  -7.396
109.73  -7.300
112.78  -7.188
115.82  -7.097
118.87  -6.998
121.92  -6.908
124.97  -6.790
128.02  -6.672
131.06  -6.589
134.11  -6.492
137.16  -6.376
140.21  -6.288
143.26  -6.190
146.30  -6.106
149.35  -6.005
152.40  -5.917
155.45  -5.820
158.50  -5.715
161.54  -5.623
164.59  -5.529
167.64  -5.439
170.69  -5.335
173.74  -5.240
176.78  -5.157
179.83  -5.074
182.88  -4.966
185.93  -4.875
188.98  -4.773
192.02  -4.682
195.07  -4.589
198.12  -4.491
201.17  -4.391
204.22  -4.302
207.26  -4.186
210.31  -4.108
213.36  -4.022
216.41  -3.929
219.46  -3.860
222.50  -3.772
225.55  -3.688
228.60  -3.602
231.65  -3.511
234.70  -3.416
237.74  -3.211
240.79  -3.126
243.84  -2.991
246.89  -2.886
249.94  -2.795
252.98  -2.666
256.03  -2.541
259.08  -2.440
262.13  -2.309
265.18  -2.175
268.22  -2.021
271.27  -1.917
274.32  -1.783
277.37  -1.636
280.42  -1.502
283.46  -1.368
286.51  -1.130
289.56  -0.968
292.61  -0.890
295.66  -0.832
298.70  -0.762
301.75  -0.665
304.80  -0.573
307.85  -0.423
310.90  -0.304
313.94  -0.167
316.99  -0.021
320.04   0.139
323.09   0.288
326.14   0.423
329.18   0.573
332.23   0.741
335.28   0.924
338.33   1.091
341.38   1.268
344.42   1.433
347.47   1.633
350.52   1.782
353.57   1.933
356.62   2.096
359.66   2.223
362.71   2.374
365.76   2.500
368.81   2.642
371.86   2.762
374.90   2.885
377.95   2.995
381.00   3.153
384.05   3.250
387.10   3.347
390.14   3.464
393.19   3.582
396.24   3.688
399.29   3.814
402.34   3.948
405.38   4.065
408.43   4.165
411.48   4.300
414.53   4.431
417.58   4.555
420.62   4.677
423.67   4.769
426.72   4.896
429.77   5.013
432.82   5.112
435.86   5.217
438.91   5.319
441.96   5.412
445.01   5.504
448.06   5.589
451.10   5.703
454.15   5.801
457.20   5.893
460.25   5.986
463.30   6.105
466.34   6.212
469.39   6.294
472.44   6.398
475.49   6.504
478.54   6.603
481.58   6.694
484.63   6.796
487.68   6.901
490.73   7.002
493.78   7.176
496.82   7.205
499.87   7.332
502.92   7.445
505.97   7.583
509.02   7.668
512.07   7.777
515.11   7.912
518.16   8.010
521.21   8.162
524.26   8.249
527.31   8.367
530.35   8.448
533.40   8.558
536.45   8.655
539.50   8.782
542.55   8.883
545.59   8.971
548.64   9.116
551.69   9.243
554.74   9.368
557.79   9.452
560.83   9.577
563.88   9.701
566.93   9.808
569.98   9.930
573.03  10.041
576.07  10.149
579.12  10.252
582.17  10.356
585.22  10.471
588.27  10.601
591.31  10.717
594.36  10.845
597.41  10.981
600.46  11.115
603.51  11.204
606.55  11.334
609.60  11.451
612.65  11.574
615.70  11.662
618.75  11.778
621.79  11.878
