  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Echooka Unit No. 1 
  File name:   EB1_81AUG28 
  Log date:    28-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.19  -5.145
 15.24  -5.140
 18.29  -5.113
 21.34  -5.079
 24.38  -5.042
 27.43  -5.007
 30.48  -4.967
 33.53  -4.924
 36.58  -4.885
 39.62  -4.842
 42.67  -4.808
 45.72  -4.786
 48.77  -4.750
 51.82  -4.721
 54.86  -4.681
 57.91  -4.640
 60.96  -4.599
 64.01  -4.558
 67.06  -4.505
 70.10  -4.465
 73.15  -4.403
 76.20  -4.349
 79.25  -4.265
 82.30  -4.202
 85.34  -4.112
 88.39  -4.043
 91.44  -3.961
 94.49  -3.864
 97.54  -3.790
100.58  -3.717
103.63  -3.650
106.68  -3.584
109.73  -3.518
112.78  -3.454
115.82  -3.350
118.87  -3.218
121.92  -3.103
124.97  -3.003
128.02  -2.929
131.06  -2.855
134.11  -2.800
137.16  -2.744
140.21  -2.682
143.26  -2.627
146.30  -2.559
149.35  -2.497
152.40  -2.427
155.45  -2.343
158.50  -2.271
161.54  -2.183
164.59  -2.126
167.64  -2.063
170.69  -2.018
173.74  -1.958
176.78  -1.897
179.83  -1.809
182.88  -1.728
185.93  -1.667
188.98  -1.606
192.02  -1.549
195.07  -1.501
198.12  -1.449
201.17  -1.390
204.22  -1.321
207.26  -1.248
210.31  -1.189
213.36  -1.116
216.41  -1.049
219.46  -1.001
222.50  -0.949
225.55  -0.897
228.60  -0.850
231.65  -0.795
234.70  -0.732
237.74  -0.663
240.79  -0.609
243.84  -0.537
246.89  -0.461
249.94  -0.410
252.98  -0.353
256.03  -0.302
259.08  -0.250
262.13  -0.203
265.18  -0.137
268.22  -0.081
271.27  -0.020
274.32   0.051
277.37   0.111
280.42   0.186
283.46   0.251
286.51   0.319
289.56   0.404
292.61   0.480
295.66   0.543
298.70   0.632
301.75   0.709
304.80   0.820
307.85   0.855
310.90   0.910
313.94   0.983
316.99   1.055
320.04   1.110
323.09   1.135
326.14   1.238
329.18   1.299
332.23   1.373
335.28   1.440
338.33   1.506
341.38   1.567
344.42   1.631
347.47   1.686
350.52   1.761
353.57   1.814
356.62   1.882
359.66   1.953
362.71   2.021
365.76   2.077
368.81   2.137
371.86   2.216
374.90   2.285
377.95   2.358
381.00   2.426
384.05   2.501
387.10   2.581
390.14   2.650
393.19   2.719
396.24   2.775
399.29   2.868
402.34   2.956
405.38   3.026
408.43   3.119
411.48   3.181
414.53   3.256
417.58   3.337
420.62   3.422
423.67   3.510
426.72   3.574
429.77   3.650
432.82   3.736
435.86   3.819
438.91   3.876
441.96   3.984
445.01   4.043
448.06   4.102
451.10   4.167
454.15   4.233
457.20   4.289
460.25   4.347
463.30   4.407
466.34   4.464
469.39   4.531
472.44   4.585
475.49   4.639
478.54   4.710
481.58   4.771
484.63   4.835
487.68   4.894
490.73   4.943
493.78   5.018
496.82   5.069
499.87   5.133
502.92   5.189
505.97   5.254
509.02   5.303
512.07   5.384
515.11   5.443
518.16   5.495
521.21   5.549
524.26   5.637
527.31   5.697
530.35   5.772
533.40   5.864
536.45   5.985
539.50   6.035
542.55   6.055
545.59   6.108
548.64   6.173
551.69   6.241
554.74   6.290
557.79   6.338
560.83   6.397
563.88   6.437
566.93   6.473
569.98   6.653
573.03   6.675
576.07   6.713
579.12   6.737
582.17   6.775
585.22   6.868
588.27   6.922
