  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   East Simpson Test Well #1 
  File name:   ESN_83SEP05 
  Log date:    05-SEP-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 24.38  -9.468
 30.48  -9.395
 36.58  -9.315
 42.67  -9.222
 48.77  -9.131
 54.86  -9.035
 60.96  -8.903
 67.06  -8.770
 73.15  -8.601
 79.25  -8.440
 85.34  -8.283
 91.44  -8.117
 97.54  -7.955
103.63  -7.768
109.73  -7.578
115.82  -7.394
121.92  -7.241
128.02  -7.060
134.11  -6.900
140.21  -6.710
146.30  -6.531
152.40  -6.380
158.50  -6.231
164.59  -6.110
170.69  -5.965
176.78  -5.797
182.88  -5.597
188.98  -5.402
195.07  -5.166
201.17  -4.940
207.26  -4.749
213.36  -4.565
219.46  -4.425
225.55  -4.285
231.65  -4.162
237.74  -4.010
243.84  -3.841
249.94  -3.684
256.03  -3.552
262.13  -3.413
268.22  -3.292
274.32  -3.126
280.42  -2.937
286.51  -2.750
292.61  -2.528
298.70  -2.312
304.80  -2.133
310.90  -1.918
316.99  -1.710
323.09  -1.495
329.18  -1.274
335.28  -1.092
341.38  -0.858
347.47  -0.612
353.57  -0.354
359.66  -0.153
365.76   0.120
371.86   0.383
377.95   0.628
384.05   0.896
390.14   1.136
396.24   1.411
402.34   1.621
408.43   1.857
414.53   2.115
420.62   2.343
426.72   2.553
432.82   2.750
438.91   2.979
445.01   3.191
451.10   3.420
457.20   3.643
463.30   3.894
469.39   4.127
475.49   4.353
481.58   4.576
487.68   4.821
493.78   5.068
499.87   5.349
505.97   5.600
512.07   5.846
518.16   6.109
524.26   6.377
530.35   6.630
536.45   6.912
542.55   7.201
548.64   7.494
554.74   7.745
560.83   7.981
