  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   East Teshekpuk Test Well #1 
  File name:   ETK_78SEP17 
  Log date:    17-SEP-1978 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.64  -9.085
 15.69  -9.058
 18.74  -9.016
 21.79  -8.957
 24.84  -8.908
 27.88  -8.838
 30.93  -8.761
 33.98  -8.706
 37.03  -8.645
 40.08  -8.587
 43.12  -8.522
 46.17  -8.459
 49.22  -8.386
 52.27  -8.313
 55.32  -8.237
 58.36  -8.146
 61.41  -8.079
 64.46  -7.976
 67.51  -7.876
 70.56  -7.787
 73.60  -7.681
 76.65  -7.565
 79.70  -7.451
 82.75  -7.354
 85.80  -7.250
 88.84  -7.122
 91.89  -6.967
 94.94  -6.857
 97.99  -6.735
101.04  -6.592
104.08  -6.458
107.13  -6.345
110.18  -6.226
113.23  -6.080
116.28  -5.950
119.32  -5.764
122.37  -5.611
125.42  -5.458
128.47  -5.290
131.52  -5.113
134.56  -4.963
137.61  -4.785
140.66  -4.647
143.71  -4.472
146.76  -4.321
149.80  -4.164
152.85  -4.010
155.90  -3.854
158.95  -3.732
162.00  -3.597
165.04  -3.448
168.09  -3.308
171.14  -3.181
174.19  -3.049
177.24  -2.925
180.28  -2.803
183.33  -2.690
186.38  -2.581
189.43  -2.472
192.48  -2.365
195.52  -2.275
198.57  -2.152
201.62  -2.053
204.67  -1.956
207.72  -1.858
210.76  -1.740
213.81  -1.629
216.86  -1.520
219.91  -1.386
222.96  -1.264
226.00  -1.115
229.05  -0.996
232.10  -0.828
235.15  -0.719
238.20  -0.582
241.24  -0.389
244.29  -0.369
247.34  -0.244
250.39   0.004
253.44   0.169
256.48   0.232
259.53   0.313
262.58   0.398
265.63   0.481
268.68   0.683
271.72   0.969
274.77   1.079
277.82   1.175
280.87   1.286
283.92   1.442
286.96   1.582
290.01   1.715
293.06   1.848
296.11   1.968
299.16   2.136
302.20   2.291
305.25   2.427
308.30   2.564
311.35   2.713
314.40   2.845
317.44   2.949
320.49   3.069
323.54   3.195
326.59   3.323
329.64   3.450
332.68   3.586
335.73   3.700
338.78   3.813
341.83   3.950
344.88   4.064
347.92   4.189
350.97   4.310
354.02   4.431
357.07   4.562
360.12   4.682
363.16   4.798
366.21   4.923
369.26   5.037
372.31   5.150
375.36   5.292
378.40   5.410
381.45   5.540
384.50   5.653
387.55   5.771
390.60   5.905
393.64   6.024
396.69   6.164
399.74   6.296
402.79   6.421
405.84   6.553
408.88   6.692
411.93   6.816
414.98   6.942
418.03   7.089
421.08   7.223
424.12   7.361
427.17   7.507
430.22   7.627
454.60   8.902
457.65   9.033
460.70   9.174
463.75   9.326
466.80   9.486
469.84   9.648
472.89   9.817
475.94   9.972
478.99  10.108
482.04  10.238
485.08  10.358
488.13  10.483
491.18  10.602
494.23  10.710
497.28  10.821
500.32  10.933
503.37  11.041
506.42  11.144
509.47  11.311
512.52  11.529
515.57  11.644
518.61  11.756
521.66  11.883
524.71  12.020
527.76  12.148
530.81  12.285
533.85  12.408
536.90  12.530
539.95  12.656
543.00  12.768
546.05  12.873
549.09  12.971
552.14  13.078
555.19  13.187
558.24  13.292
561.29  13.394
564.33  13.495
567.38  13.603
570.43  13.701
573.48  13.816
576.53  13.928
579.57  14.041
582.62  14.158
585.67  14.283
588.72  14.395
591.77  14.522
594.81  14.634
597.86  14.770
600.91  14.897
603.96  15.024
607.01  15.171
610.05  15.295
613.10  15.440
616.15  15.558
619.20  15.676
622.25  15.794
625.29  15.914
628.34  16.032
631.39  16.169
634.44  16.290
637.49  16.406
640.53  16.519
643.58  16.645
646.63  16.769
649.68  16.900
652.73  17.021
655.77  17.161
658.82  17.296
661.87  17.420
664.92  17.536
667.97  17.660
671.01  17.779
674.06  17.929
677.11  18.055
680.16  18.196
683.21  18.330
686.25  18.462
689.30  18.584
692.35  18.734
695.40  18.862
698.45  18.988
701.49  19.103
