  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   West Fish Creek Test Well #1 
  File name:   FCK_80SEP12 
  Log date:    12-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.19  -9.082
 15.24  -8.992
 18.29  -8.836
 21.34  -8.706
 24.38  -8.599
 27.43  -8.501
 30.48  -8.411
 33.53  -8.351
 36.58  -8.290
 39.62  -8.229
 42.67  -8.170
 45.72  -8.114
 48.77  -8.064
 51.82  -8.010
 54.86  -7.951
 57.91  -7.897
 60.96  -7.849
 64.01  -7.801
 67.06  -7.755
 70.10  -7.700
 73.15  -7.629
 76.20  -7.538
 79.25  -7.452
 82.30  -7.351
 85.34  -7.259
 88.39  -7.177
 91.44  -7.065
 94.49  -6.982
 97.54  -6.874
100.58  -6.777
103.63  -6.655
106.68  -6.506
109.73  -6.415
112.78  -6.285
115.82  -6.128
118.87  -5.984
121.92  -5.849
124.97  -5.752
128.02  -5.592
131.06  -5.470
134.11  -5.331
137.16  -5.196
140.21  -5.064
143.26  -4.931
146.30  -4.795
149.35  -4.660
152.40  -4.488
155.45  -4.334
158.50  -4.167
161.54  -4.012
164.59  -3.847
167.64  -3.668
170.69  -3.536
173.74  -3.348
176.78  -3.193
179.83  -3.053
182.88  -2.907
185.93  -2.726
188.98  -2.601
192.02  -2.451
195.07  -2.301
198.12  -2.162
201.17  -2.014
204.22  -1.843
207.26  -1.728
210.31  -1.587
213.36  -1.465
216.41  -1.324
219.46  -1.218
222.50  -1.067
225.55  -0.951
228.60  -0.799
231.65  -0.656
234.70  -0.566
237.74  -0.424
240.79  -0.291
243.84  -0.198
246.89  -0.070
249.94   0.047
252.98   0.214
256.03   0.305
259.08   0.414
262.13   0.541
265.18   0.667
268.22   0.772
271.27   0.892
274.32   1.021
277.37   1.114
280.42   1.237
283.46   1.355
286.51   1.457
289.56   1.571
292.61   1.684
295.66   1.792
298.70   1.907
301.75   2.015
304.80   2.117
307.85   2.242
310.90   2.352
313.94   2.470
316.99   2.582
320.04   2.735
323.09   2.811
326.14   2.919
329.18   3.065
332.23   3.147
335.28   3.264
338.33   3.390
341.38   3.510
344.42   3.623
347.47   3.745
350.52   3.855
353.57   3.972
356.62   4.095
359.66   4.212
362.71   4.308
365.76   4.428
368.81   4.543
371.86   4.635
374.90   4.748
377.95   4.864
381.00   4.986
384.05   5.131
387.10   5.245
390.14   5.368
393.19   5.482
396.24   5.611
399.29   5.702
402.34   5.833
405.38   5.944
408.43   6.098
411.48   6.181
414.53   6.275
417.58   6.401
420.62   6.516
423.67   6.624
426.72   6.745
429.77   6.845
432.82   6.955
435.86   7.035
438.91   7.157
441.96   7.279
445.01   7.383
448.06   7.471
451.10   7.581
454.15   7.692
457.20   7.807
460.25   7.933
463.30   8.049
466.34   8.138
469.39   8.258
472.44   8.376
475.49   8.486
478.54   8.597
481.58   8.704
484.63   8.811
487.68   8.914
490.73   9.022
493.78   9.142
518.16  10.164
521.21  10.276
524.26  10.376
527.31  10.501
530.35  10.614
533.40  10.739
536.45  10.871
539.50  10.982
542.55  11.099
545.59  11.206
548.64  11.329
551.69  11.434
554.74  11.526
557.79  11.631
560.83  11.742
563.88  11.825
566.93  11.925
569.98  12.049
573.03  12.136
576.07  12.257
579.12  12.373
582.17  12.482
585.22  12.572
588.27  12.686
591.31  12.795
594.36  12.913
597.41  13.018
600.46  13.139
603.51  13.240
606.55  13.362
609.60  13.472
612.65  13.593
615.70  13.700
618.75  13.832
621.79  13.943
624.84  14.049
627.89  14.153
630.94  14.277
633.99  14.374
637.03  14.484
640.08  14.606
643.13  14.725
646.18  14.823
649.23  14.925
652.27  15.045
655.32  15.147
658.37  15.243
661.42  15.344
664.47  15.437
