  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Ikpikpuk Test Well #1 
  File name:   IKP_83AUG20 
  Log date:    20-AUG-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 18.29  -8.686
 21.34  -8.390
 24.38  -8.190
 27.43  -8.020
 30.48  -7.932
 33.53  -7.857
 36.58  -7.808
 39.62  -7.769
 42.67  -7.742
 45.72  -7.711
 48.77  -7.669
 51.82  -7.631
 54.86  -7.579
 57.91  -7.521
 60.96  -7.461
 64.01  -7.403
 67.06  -7.328
 70.10  -7.264
 73.15  -7.187
 76.20  -7.104
 79.25  -7.042
 82.30  -6.966
 85.34  -6.884
 88.39  -6.782
 91.44  -6.698
 94.49  -6.601
 97.54  -6.478
100.58  -6.363
103.63  -6.269
106.68  -6.142
109.73  -6.035
112.78  -5.917
115.82  -5.795
118.87  -5.661
121.92  -5.521
124.97  -5.406
128.02  -5.301
131.06  -5.206
134.11  -5.122
137.16  -5.042
140.21  -4.959
143.26  -4.880
146.30  -4.777
149.35  -4.671
152.40  -4.566
155.45  -4.467
158.50  -4.363
161.54  -4.298
164.59  -4.268
167.64  -4.228
170.69  -4.193
173.74  -4.103
176.78  -3.972
179.83  -3.855
182.88  -3.721
185.93  -3.596
188.98  -3.529
192.02  -3.451
195.07  -3.373
198.12  -3.325
201.17  -3.315
204.22  -3.296
207.26  -3.267
210.31  -3.212
213.36  -3.158
216.41  -3.107
219.46  -3.048
222.50  -2.971
225.55  -2.890
228.60  -2.801
231.65  -2.695
234.70  -2.551
237.74  -2.444
240.79  -2.325
243.84  -2.215
246.89  -2.134
249.94  -2.075
252.98  -2.019
256.03  -1.963
259.08  -1.869
262.13  -1.752
265.18  -1.656
268.22  -1.573
271.27  -1.502
274.32  -1.397
277.37  -1.283
280.42  -1.233
283.46  -1.218
286.51  -1.243
289.56  -1.238
292.61  -1.177
295.66  -1.112
298.70  -0.995
301.75  -0.914
304.80  -0.817
307.85  -0.715
310.90  -0.619
313.94  -0.523
316.99  -0.417
320.04  -0.290
323.09  -0.160
326.14  -0.022
329.18   0.126
332.23   0.246
338.33   0.463
344.42   0.610
350.52   0.760
356.62   0.887
362.71   1.015
368.81   1.165
374.90   1.349
381.00   1.490
387.10   1.641
393.19   1.796
399.29   1.958
405.38   2.115
411.48   2.274
417.58   2.394
423.67   2.539
429.77   2.693
435.86   2.845
441.96   3.015
448.06   3.200
454.15   3.381
460.25   3.587
466.34   3.778
472.44   3.945
478.54   4.093
484.63   4.202
490.73   4.439
496.82   4.638
502.92   4.792
509.02   4.968
515.11   5.170
521.21   5.376
527.31   5.565
533.40   5.738
539.50   5.903
545.59   6.043
551.69   6.199
557.79   6.382
563.88   6.543
569.98   6.723
576.07   6.930
582.17   7.072
588.27   7.264
594.36   7.483
600.46   7.698
606.55   7.883
609.60   7.957
