  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   J.W. Dalton Test Well #1 
  File name:   JWD_80SEP08 
  Log date:    08-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 30.48  -9.148
 33.53  -9.156
 36.58  -9.234
 39.62  -9.369
 42.67  -9.396
 45.72  -9.397
 48.77  -9.386
 51.82  -9.370
 54.86  -9.346
 57.91  -9.323
 60.96  -9.288
 64.01  -9.233
 67.06  -9.179
 70.10  -9.122
 73.15  -9.045
 76.20  -8.969
 79.25  -8.898
 82.30  -8.830
 85.34  -8.763
 88.39  -8.704
 91.44  -8.636
 94.49  -8.556
 97.54  -8.483
100.58  -8.422
103.63  -8.340
106.68  -8.270
109.73  -8.211
112.78  -8.140
115.82  -8.072
118.87  -7.998
121.92  -7.930
124.97  -7.859
128.02  -7.778
131.06  -7.696
134.11  -7.600
137.16  -7.486
140.21  -7.392
143.26  -7.326
146.30  -7.244
149.35  -7.156
152.40  -7.073
155.45  -7.007
158.50  -6.921
161.54  -6.865
164.59  -6.788
167.64  -6.727
170.69  -6.640
173.74  -6.580
176.78  -6.544
179.83  -6.520
182.88  -6.481
185.93  -6.412
188.98  -6.332
192.02  -6.281
195.07  -6.253
198.12  -6.216
201.17  -6.188
204.22  -6.151
207.26  -6.112
210.31  -6.071
213.36  -6.025
216.41  -5.972
219.46  -5.919
222.50  -5.867
225.55  -5.830
228.60  -5.797
231.65  -5.764
234.70  -5.715
237.74  -5.659
240.79  -5.601
243.84  -5.545
246.89  -5.522
249.94  -5.422
252.98  -5.400
256.03  -5.364
259.08  -5.303
262.13  -5.224
265.18  -5.114
268.22  -4.980
271.27  -4.832
274.32  -4.727
277.37  -4.602
280.42  -4.452
283.46  -4.332
286.51  -4.211
289.56  -4.095
292.61  -3.987
295.66  -3.880
298.70  -3.779
301.75  -3.690
304.80  -3.585
307.85  -3.488
310.90  -3.384
313.94  -3.277
316.99  -3.169
320.04  -3.068
323.09  -2.975
326.14  -2.856
329.18  -2.734
332.23  -2.647
335.28  -2.581
338.33  -2.506
341.38  -2.433
344.42  -2.289
347.47  -2.102
350.52  -1.959
353.57  -1.806
356.62  -1.594
359.66  -1.397
362.71  -1.185
365.76  -0.983
368.81  -0.815
371.86  -0.624
374.90  -0.412
377.95  -0.266
381.00  -0.113
384.05   0.069
387.10   0.206
390.14   0.362
393.19   0.520
396.24   0.656
399.29   0.798
402.34   0.950
405.38   1.070
408.43   1.228
411.48   1.337
414.53   1.486
417.58   1.610
420.62   1.740
423.67   1.836
426.72   1.960
429.77   2.085
432.82   2.191
435.86   2.310
438.91   2.444
441.96   2.556
445.01   2.667
448.06   2.801
451.10   2.898
454.15   2.988
457.20   3.075
460.25   3.143
