  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Kugrua Test Well #1 
  File name:   KAG_78SEP15 
  Log date:    15-SEP-1978 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -2.445
 19.81  -2.899
 22.86  -3.324
 25.91  -3.757
 28.96  -4.288
 32.00  -4.703
 35.05  -4.900
 38.10  -4.980
 65.53  -4.955
 68.58  -4.926
 71.63  -4.889
 75.90  -4.768
 78.94  -4.686
 81.99  -4.576
 85.04  -4.439
 88.09  -4.307
 91.14  -4.167
 94.18  -4.040
 97.23  -3.902
100.28  -3.812
103.33  -3.676
106.38  -3.557
109.42  -3.469
112.47  -3.343
115.52  -3.248
118.57  -3.166
121.62  -3.069
124.66  -2.991
127.71  -2.856
130.76  -2.725
133.81  -2.561
136.86  -2.462
139.90  -2.379
142.95  -2.315
146.00  -2.222
149.05  -2.161
152.10  -2.121
155.14  -2.077
158.19  -2.040
161.24  -1.993
164.29  -1.910
167.34  -1.815
170.38  -1.794
173.43  -1.694
176.48  -1.600
179.53  -1.456
182.58  -1.343
185.62  -1.251
188.67  -1.193
191.72  -1.117
194.77  -1.021
197.82  -0.950
200.86  -0.940
203.91  -0.905
206.96  -0.832
210.01  -0.762
213.06  -0.675
216.10  -0.604
219.15  -0.528
222.20  -0.462
225.25  -0.395
228.30  -0.327
231.34  -0.220
234.39  -0.141
237.44  -0.049
240.49  -0.014
243.54   0.042
246.58   0.120
249.63   0.242
252.68   0.433
255.73   0.714
258.78   0.934
261.82   1.149
264.87   1.201
267.92   1.186
270.97   1.267
274.02   1.506
277.06   1.800
280.11   2.104
283.16   2.351
286.21   2.528
289.26   2.719
292.30   2.821
295.35   2.907
298.40   2.972
301.45   3.017
304.50   3.120
307.54   3.226
310.59   3.331
313.64   3.447
316.69   3.545
319.74   3.666
322.78   3.748
325.83   3.809
328.88   3.892
331.93   3.955
334.98   4.042
338.02   4.144
341.07   4.271
344.12   4.398
347.17   4.531
350.22   4.670
353.26   4.811
356.31   4.982
359.36   5.091
362.41   5.194
365.46   5.268
368.50   5.398
371.55   5.519
374.60   5.605
377.65   5.693
380.70   5.776
383.74   5.893
386.79   6.017
389.84   6.166
392.89   6.337
395.94   6.472
398.98   6.594
402.03   6.705
435.56   7.764
438.61   7.859
441.66   7.950
444.70   8.008
447.75   8.109
450.80   8.199
453.85   8.272
456.90   8.359
459.94   8.456
462.99   8.521
466.04   8.609
469.09   8.683
472.14   8.763
475.18   8.822
478.23   8.881
481.28   8.937
484.33   8.982
487.38   9.037
490.42   9.100
493.47   9.170
496.52   9.275
499.57   9.405
502.62   9.543
505.66   9.675
508.71   9.783
511.76   9.895
514.81   9.988
517.86  10.086
520.90  10.188
523.95  10.297
527.00  10.406
