  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Kugrua Test Well #1 
  File name:   KAG_83AUG25 
  Log date:    25-AUG-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 21.34  -8.214
 24.38  -8.060
 27.43  -7.958
 30.48  -7.891
 33.53  -7.833
 36.58  -7.779
 39.62  -7.730
 42.67  -7.695
 45.72  -7.643
 48.77  -7.600
 51.82  -7.550
 54.86  -7.484
 57.91  -7.417
 60.96  -7.344
 64.01  -7.287
 67.06  -7.191
 70.10  -7.147
 73.15  -7.040
 76.20  -6.922
 79.25  -6.845
 82.30  -6.748
 85.34  -6.649
 88.39  -6.568
 91.44  -6.450
 94.49  -6.353
 97.54  -6.250
100.58  -6.129
103.63  -6.013
106.68  -5.895
109.73  -5.797
112.78  -5.636
115.82  -5.509
118.87  -5.403
121.92  -5.265
124.97  -5.161
128.02  -5.030
131.06  -4.859
134.11  -4.758
137.16  -4.627
140.21  -4.496
143.26  -4.350
146.30  -4.210
149.35  -4.088
152.40  -3.965
155.45  -3.870
158.50  -3.751
161.54  -3.598
164.59  -3.481
167.64  -3.351
170.69  -3.236
173.74  -3.129
176.78  -3.005
179.83  -2.890
182.88  -2.772
185.93  -2.666
188.98  -2.562
192.02  -2.470
195.07  -2.373
198.12  -2.283
201.17  -2.174
204.22  -2.056
207.26  -1.967
210.31  -1.852
213.36  -1.745
216.41  -1.652
219.46  -1.555
222.50  -1.486
225.55  -1.395
228.60  -1.346
231.65  -1.278
234.70  -1.192
237.74  -1.069
240.79  -0.966
243.84  -0.888
246.89  -0.804
249.94  -0.731
252.98  -0.636
256.03  -0.563
259.08  -0.461
262.13  -0.390
265.18  -0.286
268.22  -0.210
271.27  -0.110
274.32  -0.038
277.37   0.035
280.42   0.124
283.46   0.203
286.51   0.288
289.56   0.410
292.61   0.499
295.66   0.592
298.70   0.680
301.75   0.779
304.80   0.856
307.85   0.950
310.90   1.036
313.94   1.121
316.99   1.230
320.04   1.336
323.09   1.453
326.14   1.608
329.18   1.749
332.23   1.852
335.28   1.987
338.33   2.086
341.38   2.217
344.42   2.325
347.47   2.450
350.52   2.558
356.62   2.755
359.66   2.883
362.71   2.996
365.76   3.131
368.81   3.273
371.86   3.429
374.90   3.530
377.95   3.613
381.00   3.714
384.05   3.805
387.10   3.876
390.14   4.257
393.19   4.306
396.24   4.397
399.29   4.498
402.34   4.581
405.38   4.654
408.43   4.743
411.48   4.836
414.53   4.890
417.58   5.003
420.62   5.090
423.67   5.174
426.72   5.274
429.77   5.369
432.82   5.453
435.86   5.546
438.91   5.655
441.96   5.777
445.01   5.839
448.06   5.928
451.10   6.001
454.15   6.073
457.20   6.162
460.25   6.231
463.30   6.291
466.34   6.371
469.39   6.458
472.44   6.563
475.49   6.682
478.54   6.817
481.58   6.909
484.63   7.006
487.68   7.115
490.73   7.220
493.78   7.324
496.82   7.422
499.87   7.548
502.92   7.642
505.97   7.732
509.02   7.855
512.07   7.949
515.11   8.037
518.16   8.123
521.21   8.214
