  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Lisburne Test Well #1 
  File name:   LBN_80SEP09 
  Log date:    09-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 24.38  -0.625
 27.43  -0.556
 30.48  -0.504
 33.53  -0.444
 36.58  -0.402
 39.62  -0.356
 42.67  -0.318
 45.72  -0.270
 48.77  -0.226
 51.82  -0.163
 54.86  -0.083
 57.91   0.032
 60.96   0.137
 64.01   0.237
 67.06   0.327
 70.10   0.412
 73.15   0.478
 76.20   0.546
 79.25   0.599
 82.30   0.619
 85.34   0.601
 88.39   0.572
 91.44   0.567
 94.49   0.598
 97.54   0.634
100.58   0.670
103.63   0.743
106.68   0.850
109.73   0.964
112.78   1.081
115.82   1.179
118.87   1.271
121.92   1.336
124.97   1.351
128.02   1.260
131.06   1.135
134.11   1.103
137.16   1.042
140.21   0.983
143.26   0.983
146.30   1.057
149.35   1.169
152.40   1.279
155.45   1.370
158.50   1.443
161.54   1.476
164.59   1.488
167.64   1.459
170.69   1.442
173.74   1.437
176.78   1.454
179.83   1.498
182.88   1.589
185.93   1.750
188.98   1.930
192.02   2.204
195.07   2.508
198.12   2.730
201.17   2.916
204.22   3.013
207.26   3.099
210.31   3.210
213.36   3.325
216.41   3.461
219.46   3.562
222.50   3.641
225.55   3.722
228.60   3.773
231.65   3.817
234.70   3.840
237.74   3.834
240.79   3.748
243.84   3.696
246.89   3.691
249.94   3.724
262.13   3.688
265.18   3.755
268.22   3.841
271.27   3.979
274.32   4.111
277.37   4.259
280.42   4.390
283.46   4.514
286.51   4.634
289.56   4.723
292.61   4.806
295.66   4.888
298.70   4.958
301.75   5.027
304.80   5.085
307.85   5.140
313.94   5.115
316.99   5.165
320.04   5.230
323.09   5.320
326.14   5.409
329.18   5.502
332.23   5.582
335.28   5.643
338.33   5.693
341.38   5.759
344.42   5.825
347.47   5.828
350.52   5.927
353.57   6.000
356.62   6.068
359.66   6.139
362.71   6.205
365.76   6.273
368.81   6.322
371.86   6.372
374.90   6.434
377.95   6.490
381.00   6.556
384.05   6.610
387.10   6.659
390.14   6.710
393.19   6.757
396.24   6.803
399.29   6.857
402.34   6.926
405.38   6.985
408.43   7.032
411.48   7.100
414.53   7.151
417.58   7.215
420.62   7.283
423.67   7.357
426.72   7.437
429.77   7.512
432.82   7.581
435.86   7.628
438.91   7.598
441.96   7.628
445.01   7.648
448.06   7.684
451.10   7.712
454.15   7.775
457.20   7.860
460.25   7.945
463.30   8.047
466.34   8.123
469.39   8.205
472.44   8.267
475.49   8.313
478.54   8.359
481.58   8.401
484.63   8.468
487.68   8.533
490.73   8.596
493.78   8.654
496.82   8.732
499.87   8.781
502.92   8.836
505.97   8.874
509.02   8.930
512.07   8.968
515.11   9.021
