  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Lisburne Test Well #1 
  File name:   LBN_81AUG22 
  Log date:    22-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (C) 
________________________________________________ 
             
 Depth  Temperature 
 24.38  -3.290
 27.43  -3.410
 30.48  -3.424
 33.53  -3.414
 36.58  -3.385
 39.62  -3.362
 42.67  -3.328
 45.72  -3.292
 48.77  -3.235
 51.82  -3.156
 54.86  -3.071
 57.91  -2.979
 60.96  -2.898
 64.01  -2.841
 67.06  -2.782
 70.10  -2.736
 73.15  -2.688
 76.20  -2.641
 79.25  -2.575
 82.30  -2.523
 85.34  -2.463
 88.39  -2.410
 91.44  -2.361
 94.49  -2.300
 97.54  -2.250
100.58  -2.226
103.63  -2.182
106.68  -2.095
109.73  -2.021
112.78  -1.957
115.82  -1.882
118.87  -1.810
121.92  -1.740
124.97  -1.714
128.02  -1.740
131.06  -1.796
134.11  -1.823
137.16  -1.821
140.21  -1.802
143.26  -1.769
146.30  -1.725
149.35  -1.670
152.40  -1.606
155.45  -1.538
158.50  -1.471
161.54  -1.401
164.59  -1.355
167.64  -1.330
170.69  -1.314
173.74  -1.292
176.78  -1.263
179.83  -1.224
182.88  -1.178
185.93  -1.097
188.98  -1.003
192.02  -0.900
195.07  -0.753
198.12  -0.532
201.17  -0.329
204.22  -0.228
207.26  -0.140
210.31  -0.095
213.36  -0.029
216.41   0.053
219.46   0.136
222.50   0.202
225.55   0.297
228.60   0.369
231.65   0.457
234.70   0.520
237.74   0.583
240.79   0.624
243.84   0.682
246.89   0.738
249.94   0.801
252.98   0.848
256.03   0.921
259.08   0.985
262.13   1.062
265.18   1.135
268.22   1.208
271.27   1.275
274.32   1.357
277.37   1.445
280.42   1.543
283.46   1.628
286.51   1.725
289.56   1.793
292.61   1.865
295.66   1.957
298.70   2.019
301.75   2.096
304.80   2.146
307.85   2.217
310.90   2.282
313.94   2.353
316.99   2.422
320.04   2.477
323.09   2.551
326.14   2.627
329.18   2.696
332.23   2.761
335.28   2.831
338.33   2.910
341.38   2.969
344.42   3.036
347.47   3.098
350.52   3.157
353.57   3.218
356.62   3.295
359.66   3.354
362.71   3.419
365.76   3.473
368.81   3.535
371.86   3.592
374.90   3.658
377.95   3.715
381.00   3.781
384.05   3.845
387.10   3.904
390.14   3.963
393.19   4.021
396.24   4.080
399.29   4.149
402.34   4.202
405.38   4.268
408.43   4.329
411.48   4.399
414.53   4.453
417.58   4.516
420.62   4.573
423.67   4.632
426.72   4.694
429.77   4.752
432.82   4.841
435.86   4.891
438.91   4.939
441.96   4.995
445.01   5.052
448.06   5.110
451.10   5.165
454.15   5.226
457.20   5.289
460.25   5.350
463.30   5.408
466.34   5.470
469.39   5.534
472.44   5.607
475.49   5.674
478.54   5.730
481.58   5.803
484.63   5.852
487.68   5.913
490.73   5.969
493.78   6.034
496.82   6.099
499.87   6.163
502.92   6.222
505.97   6.280
509.02   6.348
512.07   6.402
515.11   6.464
