  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Lupine Unit No. 1 
  File name:   LUP_75AUG15 
  Log date:    15-AUG-1975 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -0.551
 18.29  -0.566
 21.34  -0.490
 24.38  -0.375
 27.43  -0.293
 30.48  -0.181
 33.53  -0.083
 36.58   0.029
 39.62   0.143
 42.67   0.239
 45.72   0.304
 48.77   0.346
 51.82   0.405
 54.86   0.436
 57.91   0.482
 60.96   0.541
 64.01   0.623
 67.06   0.704
 70.10   0.795
 73.15   0.887
 76.20   0.983
 79.25   1.065
 82.30   1.148
 85.34   1.221
 88.39   1.265
 91.44   1.304
 94.49   1.329
 97.54   1.337
100.58   1.310
103.63   1.280
106.68   1.273
109.73   1.280
112.78   1.337
115.82   1.433
118.87   1.515
121.92   1.677
124.97   1.846
128.02   1.984
131.06   2.169
134.11   2.317
137.16   2.474
140.21   2.605
143.26   2.684
146.30   2.815
149.35   2.937
152.40   3.060
155.45   3.216
158.50   3.329
161.54   3.446
164.59   3.496
167.64   3.514
170.69   3.531
173.74   3.563
176.78   3.593
179.83   3.611
182.88   3.625
185.93   3.643
188.98   3.709
192.02   3.793
195.07   3.880
198.12   3.957
201.17   4.053
204.22   4.164
207.26   4.229
210.31   4.284
213.36   4.329
216.41   4.350
219.46   4.380
222.50   4.401
225.55   4.414
228.60   4.416
231.65   4.377
234.70   4.164
237.74   4.090
240.79   4.121
243.84   4.280
246.89   4.474
249.94   4.668
252.98   4.856
256.03   5.000
259.08   5.114
262.13   5.157
265.18   5.263
268.22   5.282
271.27   5.301
274.32   5.309
277.37   5.296
280.42   5.247
283.46   5.232
286.51   5.232
289.56   5.262
292.61   5.293
295.66   5.332
298.70   5.368
301.75   5.407
304.80   5.451
307.85   5.506
310.90   5.564
313.94   5.641
316.99   5.708
320.04   5.771
323.09   5.856
326.14   5.925
329.18   6.022
332.23   6.141
335.28   6.221
338.33   6.301
341.38   6.384
344.42   6.473
347.47   6.577
350.52   6.675
353.57   6.790
356.62   6.865
359.66   6.918
362.71   7.036
365.76   7.073
368.81   7.117
371.86   7.160
374.90   7.231
377.95   7.296
381.00   7.395
384.05   7.469
387.10   7.581
390.14   7.682
393.19   7.768
396.24   7.811
399.29   7.783
402.34   7.527
405.38   7.357
408.43   7.342
411.48   7.390
414.53   7.432
417.58   7.501
420.62   7.658
423.67   7.716
426.72   7.755
429.77   7.810
432.82   7.893
435.86   7.891
438.91   7.929
441.96   7.941
445.01   7.991
448.06   8.062
