  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   North Kalikpik Test Well #1 
  File name:   NKP_80SEP11 
  Log date:    11-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -8.788
 18.29  -8.734
 21.34  -8.677
 24.38  -8.615
 27.43  -8.556
 30.48  -8.482
 33.53  -8.376
 36.58  -8.287
 39.62  -8.202
 42.67  -8.120
 45.72  -8.015
 48.77  -7.908
 51.82  -7.778
 54.86  -7.655
 57.91  -7.512
 60.96  -7.374
 64.01  -7.216
 67.06  -7.075
 70.10  -6.907
 73.15  -6.751
 76.20  -6.622
 79.25  -6.438
 82.30  -6.258
 85.34  -6.133
 88.39  -5.896
 91.44  -5.721
 94.49  -5.545
 97.54  -5.381
100.58  -5.194
103.63  -5.047
106.68  -4.842
109.73  -4.667
112.78  -4.534
115.82  -4.362
118.87  -4.209
121.92  -4.132
124.97  -3.887
128.02  -3.750
131.06  -3.610
134.11  -3.455
137.16  -3.309
140.21  -3.179
143.26  -3.047
146.30  -2.903
149.35  -2.743
152.40  -2.603
155.45  -2.474
158.50  -2.322
161.54  -2.172
164.59  -2.030
167.64  -1.867
170.69  -1.712
173.74  -1.561
176.78  -1.372
179.83  -1.223
182.88  -1.040
185.93  -0.884
188.98  -0.699
192.02  -0.546
195.07  -0.414
198.12  -0.187
201.17  -0.141
204.22   0.013
207.26   0.145
210.31   0.298
213.36   0.438
216.41   0.586
219.46   0.665
222.50   0.879
225.55   1.010
228.60   1.169
231.65   1.301
234.70   1.439
237.74   1.457
240.79   1.717
243.84   1.884
246.89   2.023
249.94   2.187
252.98   2.328
256.03   2.455
259.08   2.604
262.13   2.743
265.18   2.894
268.22   3.028
271.27   3.179
274.32   3.328
277.37   3.465
280.42   3.592
283.46   3.732
286.51   3.881
289.56   3.907
292.61   4.014
295.66   4.177
298.70   4.326
301.75   4.464
304.80   4.584
307.85   4.868
310.90   5.037
313.94   5.183
316.99   5.318
320.04   5.451
323.09   5.601
326.14   5.759
329.18   5.908
332.23   6.046
335.28   6.212
338.33   6.374
341.38   6.522
344.42   6.673
347.47   6.816
350.52   6.970
353.57   7.078
356.62   7.222
359.66   7.342
362.71   7.502
365.76   7.648
368.81   7.749
371.86   7.907
374.90   8.046
377.95   8.185
381.00   8.331
384.05   8.471
387.10   8.601
390.14   8.721
393.19   8.875
396.24   8.990
399.29   9.118
402.34   9.260
405.38   9.405
408.43   9.518
411.48   9.667
414.53   9.800
417.58   9.926
420.62  10.083
423.67  10.204
426.72  10.338
429.77  10.493
432.82  10.631
435.86  10.771
438.91  10.878
441.96  11.019
445.01  11.169
448.06  11.300
451.10  11.460
454.15  11.605
457.20  11.733
460.25  11.882
463.30  12.037
466.34  12.167
469.39  12.334
472.44  12.469
475.49  12.612
478.54  12.774
481.58  12.935
484.63  13.060
487.68  13.214
490.73  13.370
493.78  13.506
496.82  13.672
499.87  13.816
502.92  13.962
505.97  14.162
509.02  14.288
512.07  14.473
515.11  14.604
518.16  14.768
521.21  14.883
524.26  15.007
527.31  15.133
530.35  15.295
533.40  15.437
536.45  15.568
539.50  15.697
542.55  15.860
545.59  15.974
548.64  16.126
551.69  16.292
554.74  16.398
557.79  16.540
560.83  16.669
563.88  16.812
566.93  16.958
569.98  17.103
573.03  17.242
576.07  17.385
579.12  17.521
582.17  17.660
585.22  17.812
588.27  17.957
591.31  18.097
594.36  18.256
597.41  18.373
600.46  18.520
603.51  18.671
606.55  18.807
609.60  18.955
612.65  19.088
615.70  19.207
618.75  19.364
621.79  19.518
624.84  19.666
627.89  19.795
630.94  19.949
633.99  20.066
637.03  20.204
640.08  20.336
643.13  20.451
