  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   North Kalikpik Test Well #1 
  File name:   NKP_81AUG20 
  Log date:    20-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -8.957
 18.29  -8.876
 21.34  -8.811
 24.38  -8.737
 27.43  -8.668
 33.53  -8.495
 36.58  -8.422
 39.62  -8.318
 42.67  -8.231
 45.72  -8.131
 48.77  -7.996
 51.82  -7.899
 54.86  -7.757
 57.91  -7.624
 60.96  -7.480
 64.01  -7.325
 67.06  -7.181
 70.10  -7.036
 73.15  -6.837
 76.20  -6.699
 79.25  -6.519
 82.30  -6.353
 85.34  -6.193
 88.39  -6.025
 91.44  -5.839
 94.49  -5.672
 97.54  -5.495
100.58  -5.322
103.63  -5.141
106.68  -4.958
109.73  -4.785
112.78  -4.642
115.82  -4.472
118.87  -4.308
121.92  -4.143
124.97  -3.985
128.02  -3.836
131.06  -3.674
134.11  -3.554
137.16  -3.416
140.21  -3.260
143.26  -3.126
146.30  -2.981
149.35  -2.815
152.40  -2.650
155.45  -2.503
158.50  -2.363
161.54  -2.219
164.59  -2.041
167.64  -1.887
170.69  -1.700
173.74  -1.580
176.78  -1.439
179.83  -1.277
182.88  -1.106
185.93  -0.956
188.98  -0.808
192.02  -0.670
195.07  -0.558
198.12  -0.474
201.17  -0.386
204.22  -0.294
207.26  -0.159
210.31  -0.023
213.36   0.135
216.41   0.329
219.46   0.489
222.50   0.615
225.55   0.749
228.60   0.900
231.65   1.059
234.70   1.306
237.74   1.479
240.79   1.663
243.84   1.828
246.89   1.948
249.94   2.126
252.98   2.245
256.03   2.385
259.08   2.553
262.13   2.693
265.18   2.825
268.22   2.959
271.27   3.118
274.32   3.259
277.37   3.369
280.42   3.508
283.46   3.670
286.51   3.798
289.56   3.962
292.61   4.093
295.66   4.237
298.70   4.376
301.75   4.526
304.80   4.668
307.85   4.797
310.90   4.950
313.94   5.088
316.99   5.224
320.04   5.389
323.09   5.548
326.14   5.688
329.18   5.855
332.23   5.988
335.28   6.147
338.33   6.317
341.38   6.454
344.42   6.610
347.47   6.751
350.52   6.885
353.57   7.035
356.62   7.162
359.66   7.290
362.71   7.439
365.76   7.561
368.81   7.728
371.86   7.849
374.90   7.989
377.95   8.119
381.00   8.273
384.05   8.415
387.10   8.557
390.14   8.689
393.19   8.822
396.24   8.950
399.29   9.081
402.34   9.219
405.38   9.368
408.43   9.512
411.48   9.627
414.53   9.757
417.58   9.896
420.62  10.010
423.67  10.156
426.72  10.296
429.77  10.425
432.82  10.569
435.86  10.707
438.91  10.848
441.96  10.965
445.01  11.098
448.06  11.256
451.10  11.393
454.15  11.525
457.20  11.664
460.25  11.804
463.30  11.968
466.34  12.101
469.39  12.234
472.44  12.377
475.49  12.543
478.54  12.658
481.58  12.834
484.63  12.991
487.68  13.136
490.73  13.281
493.78  13.428
496.82  13.586
499.87  13.767
502.92  13.892
505.97  14.067
509.02  14.218
512.07  14.362
515.11  14.517
518.16  14.667
521.21  14.838
524.26  14.963
527.31  15.088
530.35  15.216
533.40  15.353
536.45  15.495
539.50  15.625
542.55  15.766
545.59  15.925
548.64  16.058
551.69  16.169
554.74  16.298
557.79  16.448
560.83  16.590
563.88  16.727
566.93  16.867
569.98  17.035
573.03  17.179
576.07  17.296
579.12  17.444
582.17  17.584
585.22  17.732
588.27  17.862
591.31  17.999
594.36  18.141
597.41  18.295
600.46  18.433
603.51  18.563
606.55  18.726
609.60  18.854
612.65  19.017
615.70  19.153
618.75  19.300
621.79  19.405
624.84  19.572
627.89  19.714
630.94  19.848
633.99  19.985
637.03  20.113
640.08  20.249
643.13  20.366
