  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Peard Bay Test Well #1 
  File name:   PEA_80SEP16 
  Log date:    16-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 30.48  -7.861
 33.53  -7.831
 36.58  -7.788
 39.62  -7.754
 42.67  -7.707
 45.72  -7.644
 48.77  -7.576
 51.82  -7.502
 54.86  -7.440
 57.91  -7.375
 60.96  -7.301
 64.01  -7.222
 67.06  -7.140
 70.10  -7.054
 73.15  -6.952
 76.20  -6.871
 79.25  -6.767
 82.30  -6.676
 85.34  -6.557
 88.39  -6.466
 91.44  -6.340
 94.49  -6.201
 97.54  -6.095
100.58  -5.972
103.63  -5.874
106.68  -5.793
109.73  -5.717
112.78  -5.612
115.82  -5.530
118.87  -5.448
121.92  -5.336
124.97  -5.247
128.02  -5.156
131.06  -5.069
134.11  -4.970
137.16  -4.893
140.21  -4.814
143.26  -4.724
146.30  -4.613
149.35  -4.500
152.40  -4.369
155.45  -4.278
158.50  -4.187
161.54  -4.098
164.59  -4.015
167.64  -3.936
170.69  -3.862
173.74  -3.801
176.78  -3.724
179.83  -3.673
182.88  -3.586
185.93  -3.512
188.98  -3.420
192.02  -3.346
195.07  -3.239
198.12  -3.140
201.17  -3.019
204.22  -2.925
207.26  -2.808
210.31  -2.706
213.36  -2.608
216.41  -2.506
219.46  -2.393
222.50  -2.266
225.55  -2.109
228.60  -1.973
231.65  -1.852
234.70  -1.709
237.74  -1.616
240.79  -1.515
243.84  -1.428
246.89  -1.345
249.94  -1.248
252.98  -1.149
256.03  -1.055
259.08  -0.926
262.13  -0.817
265.18  -0.703
268.22  -0.625
271.27  -0.510
274.32  -0.400
277.37  -0.295
280.42  -0.170
283.46  -0.061
286.51   0.044
289.56   0.145
292.61   0.241
295.66   0.322
298.70   0.403
301.75   0.492
304.80   0.572
307.85   0.659
310.90   0.737
313.94   0.817
316.99   0.903
320.04   0.998
323.09   1.098
326.14   1.188
329.18   1.290
332.23   1.384
335.28   1.487
338.33   1.579
341.38   1.678
344.42   1.778
347.47   1.849
350.52   1.935
353.57   2.019
356.62   2.096
359.66   2.197
362.71   2.298
365.76   2.407
368.81   2.500
371.86   2.601
374.90   2.702
377.95   2.787
381.00   2.873
384.05   2.965
387.10   3.058
390.14   3.138
393.19   3.222
396.24   3.308
399.29   3.382
402.34   3.469
405.38   3.555
408.43   3.651
411.48   3.742
414.53   3.845
417.58   3.933
420.62   4.040
423.67   4.131
426.72   4.232
429.77   4.326
432.82   4.408
435.86   4.528
438.91   4.597
441.96   4.691
445.01   4.797
448.06   4.868
451.10   4.964
454.15   5.041
457.20   5.121
460.25   5.209
463.30   5.283
466.34   5.376
469.39   5.465
472.44   5.537
475.49   5.634
478.54   5.703
481.58   5.805
484.63   5.908
487.68   5.999
490.73   6.098
493.78   6.197
496.82   6.299
499.87   6.386
502.92   6.498
505.97   6.605
509.02   6.690
512.07   6.797
515.11   6.908
518.16   7.002
521.21   7.096
524.26   7.199
527.31   7.278
530.35   7.383
533.40   7.487
536.45   7.598
539.50   7.691
542.55   7.773
545.59   7.870
