  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Peard Bay Test Well #1 
  File name:   PEA_83AUG29 
  Log date:    29-AUG-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 30.48  -8.334
 33.53  -8.285
 36.58  -8.260
 39.62  -8.209
 42.67  -8.162
 45.72  -8.102
 48.77  -8.040
 51.82  -7.970
 54.86  -7.888
 57.91  -7.823
 60.96  -7.750
 64.01  -7.663
 67.06  -7.591
 70.10  -7.508
 73.15  -7.422
 76.20  -7.326
 79.25  -7.237
 82.30  -7.121
 85.34  -7.027
 88.39  -6.918
 91.44  -6.799
 94.49  -6.700
 97.54  -6.586
100.58  -6.471
103.63  -6.361
106.68  -6.259
109.73  -6.177
112.78  -6.082
115.82  -5.984
118.87  -5.888
121.92  -5.777
124.97  -5.700
128.02  -5.596
131.06  -5.493
134.11  -5.413
137.16  -5.328
140.21  -5.217
143.26  -5.146
146.30  -5.052
149.35  -4.949
152.40  -4.832
155.45  -4.726
158.50  -4.634
161.54  -4.541
164.59  -4.467
167.64  -4.384
170.69  -4.291
173.74  -4.234
176.78  -4.153
179.83  -4.069
182.88  -3.991
185.93  -3.910
188.98  -3.814
192.02  -3.739
195.07  -3.635
198.12  -3.555
201.17  -3.460
204.22  -3.371
207.26  -3.259
210.31  -3.135
213.36  -3.024
216.41  -2.903
219.46  -2.778
222.50  -2.667
225.55  -2.530
228.60  -2.369
231.65  -2.245
234.70  -2.130
237.74  -2.008
240.79  -1.914
243.84  -1.793
246.89  -1.694
249.94  -1.573
252.98  -1.462
256.03  -1.366
259.08  -1.253
262.13  -1.136
265.18  -1.014
268.22  -0.928
271.27  -0.853
274.32  -0.753
277.37  -0.669
280.42  -0.556
283.46  -0.464
286.51  -0.349
289.56  -0.281
292.61  -0.195
295.66  -0.084
298.70  -0.002
301.75   0.085
304.80   0.156
307.85   0.237
310.90   0.312
313.94   0.393
316.99   0.469
320.04   0.552
323.09   0.656
326.14   0.757
329.18   0.831
332.23   0.936
335.28   1.040
338.33   1.135
341.38   1.229
344.42   1.343
347.47   1.427
350.52   1.507
353.57   1.590
356.62   1.669
359.66   1.759
362.71   1.853
365.76   1.961
368.81   2.054
371.86   2.155
374.90   2.230
377.95   2.357
381.00   2.439
384.05   2.535
387.10   2.625
390.14   2.704
393.19   2.785
396.24   2.864
399.29   2.955
402.34   3.034
405.38   3.112
408.43   3.213
411.48   3.296
414.53   3.378
417.58   3.482
420.62   3.594
423.67   3.670
426.72   3.766
429.77   3.876
432.82   3.972
435.86   4.051
438.91   4.154
441.96   4.253
445.01   4.357
448.06   4.431
451.10   4.522
454.15   4.598
457.20   4.689
460.25   4.760
463.30   4.865
466.34   4.949
469.39   5.040
472.44   5.108
475.49   5.201
478.54   5.264
481.58   5.355
484.63   5.453
487.68   5.547
490.73   5.653
493.78   5.725
496.82   5.820
499.87   5.936
502.92   6.056
505.97   6.125
509.02   6.233
512.07   6.365
515.11   6.442
518.16   6.555
521.21   6.613
524.26   6.694
527.31   6.779
530.35   6.849
533.40   6.975
536.45   7.107
539.50   7.213
542.55   7.306
545.59   7.400
548.64   7.501
551.69   7.572
