  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Seabee Test Well #1 
  File name:   SBE_81AUG20 
  Log date:    20-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 51.82  -5.222
 54.86  -5.193
 57.91  -5.167
 60.96  -5.103
 64.01  -5.048
 67.06  -4.987
 70.10  -4.944
 73.15  -4.924
 76.20  -4.911
 79.25  -4.887
 82.30  -4.873
 85.34  -4.845
 88.39  -4.787
 91.44  -4.733
 94.49  -4.637
 97.54  -4.568
100.58  -4.471
103.63  -4.389
106.68  -4.218
109.73  -4.108
112.78  -3.994
115.82  -3.893
118.87  -3.801
121.92  -3.735
124.97  -3.671
128.02  -3.607
131.06  -3.536
134.11  -3.452
137.16  -3.339
140.21  -3.232
143.26  -3.137
146.30  -3.031
149.35  -2.960
152.40  -2.848
155.45  -2.743
158.50  -2.669
161.54  -2.611
164.59  -2.540
167.64  -2.448
170.69  -2.363
173.74  -2.280
176.78  -2.163
179.83  -2.057
182.88  -1.943
185.93  -1.829
188.98  -1.719
192.02  -1.566
195.07  -1.428
198.12  -1.207
201.17  -0.925
204.22  -0.662
207.26  -0.543
210.31  -0.656
213.36  -0.863
216.41  -0.964
219.46  -1.009
222.50  -1.019
225.55  -1.020
228.60  -0.976
231.65  -0.898
234.70  -0.754
237.74  -0.610
240.79  -0.500
243.84  -0.435
246.89  -0.344
249.94  -0.256
252.98  -0.184
256.03  -0.111
259.08  -0.035
262.13   0.036
265.18   0.115
268.22   0.163
271.27   0.213
274.32   0.272
277.37   0.336
280.42   0.420
283.46   0.519
286.51   0.633
289.56   0.749
292.61   0.857
295.66   0.953
298.70   1.041
301.75   1.100
304.80   1.164
307.85   1.216
310.90   1.259
313.94   1.325
316.99   1.387
320.04   1.463
323.09   1.520
326.14   1.550
329.18   1.572
332.23   1.593
335.28   1.625
338.33   1.668
341.38   1.713
344.42   1.770
347.47   1.843
350.52   1.920
353.57   1.982
356.62   2.034
359.66   2.089
362.71   2.128
365.76   2.168
368.81   2.207
371.86   2.251
374.90   2.288
377.95   2.326
381.00   2.365
