  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Seabee Test Well #1 
  File name:   SBE_83SEP01 
  Log date:    01-SEP-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 57.91  -5.987
 60.96  -5.928
 64.01  -5.862
 67.06  -5.804
 70.10  -5.742
 73.15  -5.689
 76.20  -5.648
 79.25  -5.602
 82.30  -5.562
 85.34  -5.522
 88.39  -5.468
 91.44  -5.422
 94.49  -5.350
 97.54  -5.283
100.58  -5.206
103.63  -5.125
106.68  -5.034
109.73  -4.914
112.78  -4.815
115.82  -4.699
118.87  -4.615
121.92  -4.521
124.97  -4.445
128.02  -4.381
131.06  -4.302
134.11  -4.212
137.16  -4.119
140.21  -4.009
143.26  -3.908
146.30  -3.817
149.35  -3.744
152.40  -3.632
155.45  -3.561
158.50  -3.488
161.54  -3.434
164.59  -3.352
167.64  -3.280
170.69  -3.163
173.74  -3.064
176.78  -2.954
179.83  -2.837
182.88  -2.727
185.93  -2.617
188.98  -2.510
192.02  -2.394
195.07  -2.306
198.12  -2.199
201.17  -2.115
204.22  -2.049
207.26  -1.989
210.31  -1.939
213.36  -1.894
216.41  -1.840
219.46  -1.792
222.50  -1.732
225.55  -1.654
228.60  -1.581
231.65  -1.501
234.70  -1.386
237.74  -1.253
240.79  -1.155
243.84  -1.076
246.89  -1.008
249.94  -0.940
252.98  -0.854
256.03  -0.789
259.08  -0.715
262.13  -0.642
265.18  -0.568
268.22  -0.491
271.27  -0.417
274.32  -0.366
277.37  -0.308
280.42  -0.259
283.46  -0.226
286.51  -0.203
289.56  -0.189
292.61  -0.169
295.66  -0.120
298.70   0.242
301.75   0.387
304.80   0.462
307.85   0.538
310.90   0.594
313.94   0.650
316.99   0.718
320.04   0.797
323.09   0.878
326.14   0.929
329.18   0.986
332.23   1.028
335.28   1.071
338.33   1.106
341.38   1.154
344.42   1.205
347.47   1.253
350.52   1.313
353.57   1.381
356.62   1.436
359.66   1.482
362.71   1.529
365.76   1.575
368.81   1.619
371.86   1.661
374.90   1.705
377.95   1.747
381.00   1.787
