  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Meade Test Well #1 
  File name:   SME_80SEP14 
  Log date:    14-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -7.790
 18.29  -7.687
 21.34  -7.609
 24.38  -7.490
 27.43  -7.342
 30.48  -7.176
 33.53  -7.007
 36.58  -6.843
 39.62  -6.668
 42.67  -6.494
 45.72  -6.299
 48.77  -6.146
 51.82  -5.932
 54.86  -5.766
 57.91  -5.631
 60.96  -5.439
 64.01  -5.273
 67.06  -5.121
 70.10  -4.960
 73.15  -4.819
 76.20  -4.694
 79.25  -4.459
 82.30  -4.327
 85.34  -4.165
 88.39  -3.964
 91.44  -3.792
 94.49  -3.657
 97.54  -3.532
100.58  -3.424
103.63  -3.324
106.68  -3.199
109.73  -3.023
112.78  -2.875
115.82  -2.675
118.87  -2.531
121.92  -2.351
124.97  -2.205
128.02  -2.037
131.06  -1.880
134.11  -1.751
137.16  -1.572
140.21  -1.418
143.26  -1.243
146.30  -1.089
149.35  -0.982
152.40  -0.940
155.45  -0.912
158.50  -0.852
161.54  -0.751
164.59  -0.642
167.64  -0.449
170.69  -0.270
173.74  -0.074
176.78   0.124
179.83   0.288
182.88   0.427
185.93   0.575
188.98   0.736
192.02   0.853
195.07   0.995
198.12   1.108
201.17   1.227
204.22   1.341
207.26   1.468
210.31   1.602
213.36   1.707
216.41   1.827
219.46   1.935
222.50   2.043
225.55   2.137
228.60   2.232
231.65   2.325
234.70   2.420
237.74   2.545
240.79   2.667
243.84   2.775
246.89   2.889
249.94   3.006
252.98   3.128
256.03   3.267
259.08   3.388
262.13   3.538
265.18   3.680
268.22   3.816
271.27   3.959
274.32   4.113
277.37   4.180
280.42   4.284
283.46   4.378
286.51   4.492
289.56   4.597
292.61   4.705
295.66   4.864
298.70   5.029
301.75   5.216
304.80   5.351
307.85   5.521
310.90   5.718
313.94   5.893
316.99   6.086
320.04   6.244
323.09   6.435
326.14   6.614
329.18   6.786
332.23   6.913
335.28   7.023
338.33   7.099
341.38   7.182
344.42   7.273
347.47   7.388
350.52   7.501
353.57   7.613
356.62   7.728
359.66   7.835
362.71   7.986
365.76   8.119
368.81   8.287
371.86   8.438
374.90   8.613
377.95   8.791
381.00   9.006
384.05   9.177
387.10   9.390
390.14   9.609
393.19   9.892
396.24  10.082
399.29  10.204
402.34  10.299
405.38  10.421
408.43  10.605
411.48  10.822
414.53  11.053
417.58  11.321
420.62  11.572
423.67  11.767
426.72  11.933
429.77  11.999
432.82  12.010
435.86  11.958
438.91  11.952
441.96  11.992
445.01  12.061
448.06  12.172
451.10  12.283
454.15  12.441
457.20  12.595
460.25  12.766
463.30  12.927
466.34  13.062
469.39  13.170
472.44  13.263
475.49  13.362
478.54  13.475
481.58  13.591
484.63  13.695
487.68  13.806
490.73  13.928
493.78  14.051
496.82  14.171
499.87  14.276
502.92  14.639
505.97  14.710
509.02  14.801
512.07  14.940
515.11  15.049
518.16  15.149
521.21  15.400
524.26  15.470
527.31  15.552
530.35  15.645
533.40  15.728
536.45  15.784
539.50  15.931
