  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Meade Test Well #1 
  File name:   SME_81AUG25 
  Log date:    25-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 18.29  -7.980
 21.34  -7.888
 24.38  -7.791
 27.43  -7.670
 30.48  -7.519
 33.53  -7.350
 36.58  -7.191
 39.62  -7.019
 42.67  -6.820
 45.72  -6.651
 48.77  -6.471
 51.82  -6.295
 54.86  -6.110
 57.91  -5.964
 60.96  -5.806
 64.01  -5.613
 67.06  -5.460
 70.10  -5.285
 73.15  -5.153
 76.20  -5.006
 79.25  -4.836
 82.30  -4.657
 85.34  -4.478
 88.39  -4.306
 91.44  -4.144
 94.49  -3.999
 97.54  -3.855
100.58  -3.746
103.63  -3.649
106.68  -3.528
109.73  -3.386
112.78  -3.215
115.82  -3.045
118.87  -2.877
121.92  -2.719
124.97  -2.550
128.02  -2.393
131.06  -2.223
134.11  -2.063
137.16  -1.878
140.21  -1.699
143.26  -1.513
146.30  -1.349
149.35  -1.218
152.40  -1.122
155.45  -1.051
158.50  -0.986
161.54  -0.914
164.59  -0.846
167.64  -0.792
170.69  -0.718
173.74  -0.623
176.78  -0.531
179.83  -0.355
182.88  -0.171
185.93   0.108
188.98   0.328
192.02   0.462
195.07   0.596
198.12   0.727
201.17   0.862
204.22   0.976
207.26   1.082
210.31   1.210
213.36   1.331
216.41   1.448
219.46   1.563
222.50   1.694
225.55   1.799
228.60   1.900
231.65   1.994
234.70   2.080
237.74   2.201
240.79   2.321
243.84   2.434
246.89   2.542
249.94   2.646
252.98   2.760
256.03   2.895
259.08   3.030
262.13   3.166
265.18   3.291
268.22   3.443
271.27   3.582
274.32   3.721
277.37   3.836
280.42   3.947
283.46   4.041
286.51   4.149
289.56   4.254
292.61   4.354
295.66   4.490
298.70   4.625
301.75   4.788
304.80   5.012
307.85   5.178
310.90   5.355
313.94   5.494
316.99   5.639
320.04   5.803
323.09   6.000
326.14   6.212
329.18   6.326
332.23   6.486
335.28   6.598
338.33   6.698
341.38   6.799
344.42   6.880
347.47   6.977
350.52   7.089
353.57   7.237
356.62   7.364
359.66   7.491
362.71   7.612
365.76   7.744
368.81   7.897
371.86   8.055
374.90   8.214
377.95   8.408
381.00   8.571
384.05   8.757
387.10   8.979
390.14   9.163
393.19   9.394
396.24   9.638
399.29   9.833
402.34  10.006
405.38  10.122
408.43  10.251
411.48  10.405
414.53  10.577
417.58  10.745
420.62  10.903
423.67  11.101
426.72  11.222
429.77  11.331
432.82  11.429
435.86  11.516
438.91  11.586
441.96  11.659
445.01  11.729
448.06  11.817
451.10  11.943
454.15  12.064
457.20  12.228
460.25  12.394
463.30  12.559
466.34  12.773
469.39  12.923
472.44  13.019
475.49  13.079
478.54  13.145
481.58  13.241
484.63  13.350
487.68  13.464
490.73  13.568
493.78  13.673
496.82  13.803
499.87  13.931
502.92  14.033
505.97  14.405
509.02  14.476
512.07  14.590
515.11  14.709
518.16  14.835
521.21  14.929
524.26  15.199
527.31  15.266
530.35  15.357
533.40  15.442
536.45  15.525
539.50  15.591
