  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Harrison Test Well #1 
  File name:   SOH_77DEC16 
  Log date:    16-DEC-1977 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.85  -8.199
 18.90  -8.260
 21.95  -8.237
 24.99  -8.133
 28.04  -8.016
 31.09  -7.938
 34.14  -7.795
 37.19  -7.619
 40.23  -7.526
 43.28  -7.456
 46.33  -7.457
 49.38  -7.575
 52.43  -7.756
 55.47  -7.864
 58.52  -7.965
 61.57  -7.972
 64.62  -7.969
 67.67  -7.944
 70.71  -7.891
 73.76  -7.840
 76.81  -7.773
 79.86  -7.699
 82.91  -7.624
 85.95  -7.556
 89.00  -7.499
 92.05  -7.439
 95.10  -7.303
 98.15  -7.183
101.19  -7.053
104.24  -6.938
107.29  -6.845
110.34  -6.734
113.39  -6.660
116.43  -6.591
119.48  -6.522
122.53  -6.462
125.58  -6.415
128.63  -6.368
131.67  -6.312
134.72  -6.243
137.77  -6.161
140.82  -6.108
143.87  -6.034
146.91  -5.909
149.96  -5.799
153.01  -5.664
156.06  -5.505
159.11  -5.413
162.15  -5.295
165.20  -5.184
168.25  -5.085
171.30  -5.019
174.35  -4.915
177.39  -4.850
180.44  -4.771
183.49  -4.659
186.54  -4.577
189.59  -4.493
192.63  -4.424
195.68  -4.327
198.73  -4.210
201.78  -4.097
204.83  -4.024
207.87  -3.949
210.92  -3.833
213.97  -3.742
217.02  -3.655
220.07  -3.568
223.11  -3.463
226.16  -3.353
229.21  -3.262
232.26  -3.189
235.31  -3.119
238.35  -3.037
241.40  -2.941
244.45  -2.880
247.50  -2.797
250.55  -2.732
253.59  -2.649
256.64  -2.594
259.69  -2.528
262.74  -2.409
265.79  -2.348
