  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Harrison Test Well #1 
  File name:   SOH_80SEP12 
  Log date:    12-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -9.678
 18.29  -9.608
 21.34  -9.523
 24.38  -9.469
 27.43  -9.399
 30.48  -9.336
 33.53  -9.264
 36.58  -9.202
 39.62  -9.136
 42.67  -9.084
 45.72  -9.039
 48.77  -9.008
 51.82  -8.983
 54.86  -8.957
 57.91  -8.934
 60.96  -8.912
 64.01  -8.891
 67.06  -8.862
 70.10  -8.829
 73.15  -8.793
 76.20  -8.752
 79.25  -8.710
 82.30  -8.667
 85.34  -8.614
 88.39  -8.555
 91.44  -8.477
 94.49  -8.425
 97.54  -8.347
100.58  -8.241
103.63  -8.166
106.68  -8.095
109.73  -8.005
112.78  -7.924
115.82  -7.846
118.87  -7.773
121.92  -7.688
124.97  -7.616
128.02  -7.538
131.06  -7.468
134.11  -7.382
137.16  -7.301
140.21  -7.223
143.26  -7.129
146.30  -7.029
149.35  -6.917
152.40  -6.801
155.45  -6.693
158.50  -6.588
161.54  -6.484
164.59  -6.361
167.64  -6.263
170.69  -6.159
173.74  -6.058
176.78  -5.961
179.83  -5.863
182.88  -5.780
185.93  -5.686
188.98  -5.594
192.02  -5.501
195.07  -5.390
198.12  -5.294
201.17  -5.209
204.22  -5.102
207.26  -4.985
210.31  -4.895
213.36  -4.787
216.41  -4.687
219.46  -4.596
222.50  -4.511
225.55  -4.403
228.60  -4.317
231.65  -4.199
234.70  -4.112
237.74  -4.004
240.79  -3.904
243.84  -3.810
246.89  -3.733
249.94  -3.659
