  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Harrison Test Well #1 
  File name:   SOH_81AUG21 
  Log date:    21-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -9.819
 18.29  -9.743
 21.34  -9.650
 24.38  -9.561
 27.43  -9.492
 30.48  -9.439
 33.53  -9.360
 36.58  -9.301
 39.62  -9.229
 42.67  -9.174
 45.72  -9.136
 48.77  -9.093
 51.82  -9.070
 54.86  -9.040
 57.91  -9.017
 60.96  -8.992
 64.01  -8.961
 67.06  -8.927
 70.10  -8.870
 73.15  -8.846
 76.20  -8.825
 79.25  -8.770
 82.30  -8.747
 85.34  -8.698
 88.39  -8.636
 91.44  -8.586
 94.49  -8.522
 97.54  -8.460
100.58  -8.365
103.63  -8.281
106.68  -8.209
109.73  -8.135
112.78  -8.052
115.82  -7.965
118.87  -7.883
121.92  -7.810
124.97  -7.725
128.02  -7.658
131.06  -7.580
134.11  -7.500
137.16  -7.421
140.21  -7.330
143.26  -7.249
146.30  -7.170
149.35  -7.076
152.40  -6.961
155.45  -6.838
158.50  -6.741
161.54  -6.640
164.59  -6.533
167.64  -6.400
170.69  -6.302
173.74  -6.223
176.78  -6.106
179.83  -6.001
182.88  -5.911
185.93  -5.836
188.98  -5.733
192.02  -5.643
195.07  -5.535
198.12  -5.445
201.17  -5.353
204.22  -5.259
207.26  -5.147
210.31  -5.045
213.36  -4.937
216.41  -4.836
219.46  -4.739
222.50  -4.647
225.55  -4.570
228.60  -4.485
231.65  -4.361
234.70  -4.268
237.74  -4.160
240.79  -4.066
243.84  -3.979
246.89  -3.885
249.94  -3.825
252.98  -3.758
256.03  -3.667
