  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Tunalik Test Well #1 
  File name:   TLK_80SEP15 
  Log date:    15-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 21.34  -4.308
 24.38  -4.172
 27.43  -4.016
 30.48  -3.978
 33.53  -3.962
 36.58  -3.918
 39.62  -3.828
 42.67  -3.791
 45.72  -3.799
 48.77  -3.786
 51.82  -3.692
 54.86  -3.531
 57.91  -3.418
 60.96  -3.395
 64.01  -3.392
 67.06  -3.341
 70.10  -3.219
 73.15  -3.128
 76.20  -3.034
 79.25  -2.959
 82.30  -2.841
 85.34  -2.769
 88.39  -2.721
 91.44  -2.680
 94.49  -2.619
 97.54  -2.552
100.58  -2.505
103.63  -2.406
106.68  -2.389
109.73  -2.048
112.78  -1.946
115.82  -1.836
118.87  -1.718
121.92  -1.702
124.97  -1.869
128.02  -1.853
131.06  -1.753
134.11  -1.683
137.16  -1.690
140.21  -1.699
143.26  -1.627
146.30  -1.511
149.35  -1.345
152.40  -1.174
155.45  -1.109
158.50  -1.426
161.54  -1.429
164.59  -1.430
167.64  -1.460
170.69  -1.448
173.74  -1.416
176.78  -1.343
179.83  -1.243
182.88  -1.103
185.93  -0.959
188.98  -0.860
192.02  -0.762
195.07  -0.611
198.12  -0.405
201.17  -0.149
204.22  -0.133
207.26  -0.295
210.31  -0.417
213.36  -0.423
216.41  -0.350
219.46  -0.242
222.50  -0.064
225.55   0.094
228.60   0.258
231.65   0.516
234.70   0.733
237.74   0.980
240.79   1.195
243.84   1.476
246.89   1.787
249.94   1.959
252.98   2.010
256.03   2.063
259.08   2.175
262.13   2.383
265.18   2.689
268.22   3.062
271.27   3.426
274.32   3.788
277.37   4.090
280.42   4.258
283.46   4.359
286.51   4.462
289.56   4.590
292.61   4.784
295.66   4.891
298.70   4.944
301.75   4.975
304.80   5.007
307.85   5.061
310.90   5.137
313.94   5.261
316.99   5.387
320.04   5.520
323.09   5.649
326.14   5.722
329.18   5.797
332.23   5.891
335.28   6.073
338.33   6.316
341.38   6.469
344.42   6.466
347.47   6.386
350.52   6.388
353.57   6.464
356.62   6.592
359.66   6.731
362.71   6.893
365.76   7.002
368.81   7.110
371.86   7.202
374.90   7.288
377.95   7.394
381.00   7.541
384.05   7.671
387.10   7.723
390.14   7.748
393.19   7.812
396.24   7.912
399.29   8.014
402.34   8.165
405.38   8.271
408.43   8.391
411.48   8.546
414.53   8.756
417.58   8.944
420.62   9.076
423.67   9.190
426.72   9.364
429.77   9.548
432.82   9.718
435.86   9.751
438.91   9.743
441.96   9.794
445.01   9.934
448.06  10.054
451.10  10.174
454.15  10.253
457.20  10.343
460.25  10.438
463.30  10.532
466.34  10.628
469.39  10.719
472.44  10.808
475.49  10.957
478.54  11.122
481.58  11.220
484.63  11.297
487.68  11.351
490.73  11.365
493.78  11.353
496.82  11.372
499.87  11.451
502.92  11.576
505.97  11.718
509.02  11.916
512.07  12.034
515.11  12.197
518.16  12.351
521.21  12.455
524.26  12.525
527.31  12.787
530.35  12.919
