  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   West Dease Test Well #1 
  File name:   WDS_80SEP14 
  Log date:    14-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 70.10  -7.741
 73.15  -7.660
 76.20  -7.598
 79.25  -7.518
 82.30  -7.410
 85.34  -7.295
 88.39  -7.158
 91.44  -7.047
 94.49  -6.941
 97.54  -6.823
100.58  -6.678
103.63  -6.538
106.68  -6.412
109.73  -6.292
112.78  -6.178
115.82  -6.047
118.87  -5.957
121.92  -5.862
124.97  -5.766
128.02  -5.652
131.06  -5.506
134.11  -5.379
137.16  -5.251
140.21  -5.149
143.26  -5.022
146.30  -4.918
149.35  -4.801
152.40  -4.667
155.45  -4.567
158.50  -4.443
161.54  -4.331
164.59  -4.219
167.64  -4.105
170.69  -3.987
173.74  -3.865
176.78  -3.770
179.83  -3.661
182.88  -3.555
185.93  -3.455
188.98  -3.328
192.02  -3.173
195.07  -3.030
198.12  -2.942
201.17  -2.864
204.22  -2.782
207.26  -2.700
210.31  -2.584
213.36  -2.411
216.41  -2.216
219.46  -2.086
222.50  -1.981
225.55  -1.867
228.60  -1.742
231.65  -1.588
234.70  -1.434
237.74  -1.239
240.79  -1.027
243.84  -0.852
246.89  -0.682
249.94  -0.515
252.98  -0.345
256.03  -0.209
259.08  -0.079
262.13   0.039
265.18   0.213
268.22   0.340
271.27   0.397
274.32   0.621
277.37   0.770
280.42   0.899
283.46   1.025
286.51   1.143
289.56   1.268
292.61   1.377
295.66   1.486
298.70   1.602
301.75   1.721
304.80   1.829
307.85   1.945
310.90   2.067
313.94   2.191
316.99   2.320
320.04   2.439
323.09   2.551
326.14   2.678
329.18   2.790
332.23   2.900
335.28   3.014
338.33   3.144
341.38   3.253
344.42   3.385
347.47   3.495
350.52   3.611
353.57   3.729
356.62   3.850
359.66   3.989
362.71   4.096
365.76   4.222
368.81   4.364
371.86   4.473
374.90   4.606
377.95   4.757
381.00   4.883
384.05   5.025
387.10   5.146
390.14   5.281
393.19   5.395
396.24   5.511
399.29   5.656
402.34   5.760
405.38   5.874
408.43   5.992
411.48   6.105
414.53   6.224
417.58   6.331
420.62   6.447
423.67   6.565
426.72   6.685
429.77   6.791
432.82   6.933
435.86   7.061
438.91   7.168
441.96   7.298
445.01   7.432
448.06   7.549
451.10   7.694
454.15   7.820
457.20   7.956
460.25   8.095
463.30   8.217
466.34   8.362
469.39   8.507
472.44   8.649
475.49   8.793
478.54   8.940
481.58   9.073
484.63   9.222
487.68   9.377
490.73   9.500
493.78   9.639
496.82   9.785
499.87   9.926
502.92  10.068
505.97  10.205
509.02  10.338
512.07  10.475
515.11  10.615
518.16  10.751
521.21  10.890
524.26  11.027
527.31  11.156
530.35  11.287
533.40  11.430
536.45  11.569
539.50  11.701
542.55  11.841
545.59  11.978
548.64  12.108
551.69  12.238
554.74  12.362
557.79  12.498
560.83  12.644
563.88  12.808
566.93  12.909
569.98  13.034
573.03  13.148
576.07  13.280
579.12  13.395
582.17  13.516
585.22  13.638
588.27  13.763
591.31  13.910
594.36  14.035
597.41  14.167
600.46  14.319
603.51  14.451
606.55  14.601
609.60  14.770
612.65  14.901
615.70  15.043
618.75  15.205
621.79  15.369
624.84  15.530
627.89  15.697
630.94  15.847
633.99  16.015
637.03  16.159
640.08  16.318
643.13  16.488
646.18  16.640
649.23  16.798
652.27  16.958
655.32  17.105
658.37  17.267
661.42  17.405
664.47  17.569
667.51  17.705
670.56  17.845
673.61  17.988
676.66  18.130
679.71  18.250
682.75  18.369
685.80  18.486
688.85  18.591
691.90  18.693
694.95  18.812
697.99  18.923
701.04  19.047
704.09  19.190
707.14  19.312
710.19  19.461
713.23  19.591
716.28  19.752
