  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   West Dease Test Well #1 
  File name:   WDS_81AUG23 
  Log date:    23-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 70.10  -8.416
 73.15  -8.372
 76.20  -8.304
 79.25  -8.232
 82.30  -8.149
 85.34  -8.048
 88.39  -7.943
 91.44  -7.835
 94.49  -7.720
 97.54  -7.600
100.58  -7.461
103.63  -7.366
106.68  -7.246
109.73  -7.113
112.78  -6.989
115.82  -6.876
118.87  -6.743
121.92  -6.647
124.97  -6.513
128.02  -6.411
131.06  -6.290
134.11  -6.165
137.16  -6.037
140.21  -5.919
143.26  -5.792
146.30  -5.668
149.35  -5.549
152.40  -5.413
155.45  -5.277
158.50  -5.151
161.54  -5.036
164.59  -4.907
167.64  -4.769
170.69  -4.658
173.74  -4.518
176.78  -4.399
179.83  -4.274
182.88  -4.148
185.93  -4.024
188.98  -3.864
192.02  -3.747
195.07  -3.627
198.12  -3.503
201.17  -3.391
204.22  -3.260
207.26  -3.121
210.31  -2.998
213.36  -2.834
216.41  -2.672
219.46  -2.557
222.50  -2.433
225.55  -2.308
228.60  -2.144
231.65  -2.014
234.70  -1.873
237.74  -1.734
240.79  -1.592
243.84  -1.444
246.89  -1.282
249.94  -1.127
252.98  -0.992
256.03  -0.863
259.08  -0.746
262.13  -0.633
265.18  -0.554
268.22  -0.439
271.27  -0.294
274.32  -0.130
277.37   0.056
280.42   0.246
283.46   0.446
286.51   0.578
289.56   0.700
292.61   0.807
295.66   0.920
298.70   1.052
301.75   1.153
304.80   1.267
307.85   1.407
310.90   1.514
313.94   1.624
316.99   1.750
320.04   1.868
323.09   1.979
326.14   2.117
329.18   2.249
332.23   2.363
335.28   2.482
338.33   2.620
341.38   2.731
344.42   2.840
347.47   2.962
350.52   3.070
353.57   3.211
356.62   3.326
359.66   3.444
362.71   3.580
365.76   3.701
368.81   3.822
371.86   3.936
374.90   4.075
377.95   4.219
381.00   4.332
384.05   4.474
387.10   4.608
390.14   4.730
393.19   4.862
396.24   5.002
399.29   5.122
402.34   5.268
405.38   5.373
408.43   5.486
411.48   5.605
414.53   5.723
417.58   5.827
420.62   5.959
423.67   6.058
426.72   6.186
429.77   6.310
432.82   6.429
435.86   6.552
438.91   6.670
441.96   6.803
445.01   6.921
448.06   7.045
451.10   7.163
454.15   7.301
457.20   7.456
460.25   7.564
463.30   7.705
466.34   7.845
469.39   8.000
472.44   8.128
475.49   8.252
478.54   8.397
481.58   8.555
484.63   8.716
487.68   8.838
490.73   8.995
493.78   9.123
496.82   9.280
499.87   9.416
502.92   9.556
505.97   9.703
509.02   9.859
512.07   9.971
515.11  10.103
518.16  10.258
521.21  10.392
524.26  10.526
527.31  10.667
530.35  10.792
533.40  10.944
536.45  11.073
539.50  11.207
542.55  11.364
545.59  11.489
548.64  11.610
551.69  11.732
554.74  11.860
557.79  12.008
560.83  12.134
563.88  12.281
566.93  12.431
569.98  12.559
573.03  12.677
576.07  12.802
579.12  12.925
582.17  13.058
585.22  13.179
588.27  13.284
591.31  13.418
594.36  13.553
597.41  13.690
600.46  13.823
603.51  13.979
606.55  14.097
609.60  14.256
612.65  14.421
615.70  14.555
618.75  14.711
621.79  14.851
624.84  15.007
627.89  15.167
630.94  15.350
633.99  15.506
637.03  15.673
640.08  15.857
643.13  16.008
646.18  16.169
649.23  16.307
652.27  16.462
655.32  16.619
658.37  16.801
661.42  16.931
664.47  17.098
667.51  17.252
670.56  17.408
673.61  17.556
676.66  17.691
679.71  17.831
682.75  17.958
685.80  18.090
688.85  18.203
691.90  18.324
694.95  18.437
697.99  18.552
701.04  18.650
704.09  18.777
707.14  18.899
710.19  19.023
713.23  19.176
716.28  19.337
719.33  19.484
