  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    24-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Atigaru Test Well #1 
  File name:   ATI_80SEP11 
  Log date:    11-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.30  -9.466
 15.37  -9.457
 18.45  -9.445
 21.52  -9.446
 24.59  -9.442
 27.67  -9.433
 30.74  -9.415
 33.82  -9.401
 36.89  -9.388
 39.96  -9.378
 43.04  -9.362
 46.11  -9.344
 49.19  -9.306
 52.26  -9.268
 55.34  -9.216
 58.41  -9.171
 61.48  -9.125
 64.56  -9.061
 67.63  -9.005
 70.71  -8.946
 73.78  -8.880
 76.86  -8.809
 79.93  -8.753
 83.00  -8.694
 86.08  -8.634
 89.15  -8.576
 92.23  -8.517
 95.30  -8.460
 98.38  -8.409
101.45  -8.347
104.52  -8.267
107.60  -8.213
110.67  -8.154
113.75  -8.089
116.82  -8.024
119.89  -7.965
122.97  -7.884
126.04  -7.804
129.12  -7.754
132.19  -7.687
135.27  -7.621
138.34  -7.563
141.41  -7.490
144.49  -7.429
147.56  -7.364
150.64  -7.307
153.71  -7.250
156.79  -7.196
159.86  -7.134
162.93  -7.068
166.01  -7.007
169.08  -6.941
172.16  -6.858
175.23  -6.803
178.30  -6.736
181.38  -6.668
184.45  -6.617
187.53  -6.539
190.60  -6.462
193.68  -6.398
196.75  -6.308
199.82  -6.240
202.90  -6.184
205.97  -6.111
209.05  -6.051
212.12  -5.973
215.20  -5.903
218.27  -5.822
221.34  -5.748
224.42  -5.674
227.49  -5.583
230.57  -5.500
233.64  -5.401
236.71  -5.299
239.79  -5.157
242.86  -5.052
245.94  -4.920
249.01  -4.814
252.09  -4.705
255.16  -4.630
258.23  -4.549
261.31  -4.489
264.38  -4.423
267.46  -4.356
270.53  -4.302
273.61  -4.235
276.68  -4.181
279.75  -4.110
282.83  -4.030
285.90  -3.978
288.98  -3.885
292.05  -3.816
295.13  -3.712
298.20  -3.616
301.27  -3.526
304.35  -3.426
307.42  -3.330
310.50  -3.247
313.57  -3.153
316.64  -3.063
319.72  -2.974
322.79  -2.867
325.87  -2.778
328.94  -2.663
332.02  -2.574
335.09  -2.461
338.16  -2.363
341.24  -2.249
344.31  -2.139
347.39  -1.988
350.46  -1.887
353.54  -1.778
356.61  -1.647
359.68  -1.530
362.76  -1.391
365.83  -1.242
368.91  -1.115
371.98  -0.997
375.05  -0.835
378.13  -0.699
381.20  -0.529
384.28  -0.403
387.35  -0.258
390.43  -0.125
393.50   0.039
396.57   0.193
399.65   0.317
402.72   0.425
405.80   0.565
408.87   0.707
411.95   0.863
415.02   1.001
418.09   1.147
421.17   1.272
424.24   1.435
427.32   1.578
430.39   1.746
433.46   1.902
436.54   2.056
439.61   2.218
442.69   2.396
445.76   2.519
448.84   2.687
451.91   2.829
454.98   3.000
458.06   3.122
461.13   3.292
464.21   3.496
467.28   3.655
470.36   3.774
473.43   3.966
476.50   4.136
479.58   4.325
482.65   4.460
485.73   4.627
488.80   4.805
491.88   4.993
494.95   5.164
498.02   5.360
501.10   5.535
504.17   5.697
507.25   5.877
510.32   6.072
513.39   6.253
516.47   6.389
519.54   6.560
522.62   6.743
525.69   6.892
528.77   7.091
531.84   7.236
534.91   7.404
537.99   7.562
541.06   7.725
544.14   7.901
547.21   8.028
550.29   8.164
553.36   8.326
556.43   8.473
559.51   8.650
562.58   8.797
565.66   8.958
568.73   9.114
571.80   9.266
574.88   9.385
577.95   9.564
581.03   9.669
584.10   9.829
587.18   9.969
590.25  10.124
593.32  10.255
596.40  10.405
599.47  10.516
602.55  10.650
605.62  10.764
