  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    24-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Awuna Test Well #1 
  File name:   AWU_83AUG30 
  Log date:    30-AUG-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 21.34  -5.528
 24.38  -5.629
 27.43  -5.751
 30.48  -5.818
 33.53  -5.857
 36.58  -5.865
 39.62  -5.858
 42.67  -5.837
 45.72  -5.810
 48.77  -5.775
 51.82  -5.733
 54.86  -5.689
 57.91  -5.640
 60.96  -5.596
 64.01  -5.542
 67.06  -5.493
 70.10  -5.434
 73.15  -5.384
 76.20  -5.317
 79.25  -5.268
 82.30  -5.204
 85.34  -5.143
 88.39  -5.079
 91.44  -5.014
 94.49  -4.945
 97.54  -4.855
100.58  -4.790
103.63  -4.713
106.68  -4.638
109.73  -4.561
112.78  -4.479
115.82  -4.401
118.87  -4.314
121.92  -4.242
124.97  -4.153
128.02  -4.074
131.06  -3.985
134.11  -3.903
137.16  -3.807
140.21  -3.718
143.26  -3.634
146.30  -3.554
149.35  -3.457
152.40  -3.368
155.45  -3.277
158.50  -3.169
161.54  -3.085
164.59  -2.998
167.64  -2.904
170.69  -2.807
173.74  -2.700
176.78  -2.606
179.83  -2.517
182.88  -2.416
185.93  -2.332
188.98  -2.239
192.02  -2.137
195.07  -2.025
198.12  -1.928
201.17  -1.827
204.22  -1.720
207.26  -1.626
210.31  -1.531
213.36  -1.412
216.41  -1.318
219.46  -1.225
222.50  -1.137
225.55  -1.048
228.60  -0.965
231.65  -0.875
234.70  -0.797
237.74  -0.686
240.79  -0.586
243.84  -0.500
246.89  -0.420
249.94  -0.308
252.98  -0.213
256.03  -0.107
259.08  -0.017
262.13   0.098
265.18   0.186
268.22   0.267
271.27   0.361
274.32   0.460
277.37   0.543
280.42   0.619
283.46   0.697
286.51   0.793
289.56   0.888
292.61   0.983
295.66   1.082
298.70   1.187
301.75   1.269
304.80   1.362
307.85   1.449
310.90   1.542
313.94   1.644
316.99   1.710
320.04   1.807
323.09   1.894
326.14   1.983
329.18   2.067
332.23   2.159
335.28   2.295
338.33   2.334
341.38   2.413
344.42   2.506
347.47   2.607
350.52   2.688
353.57   2.789
356.62   2.878
359.66   2.962
362.71   3.043
365.76   3.136
368.81   3.214
371.86   3.297
374.90   3.373
377.95   3.480
381.00   3.555
384.05   3.656
387.10   3.729
390.14   3.823
393.19   3.916
396.24   3.999
399.29   4.090
402.34   4.163
405.38   4.253
408.43   4.333
411.48   4.427
414.53   4.502
417.58   4.592
420.62   4.690
423.67   4.794
426.72   4.874
429.77   4.981
432.82   5.070
435.86   5.169
438.91   5.267
441.96   5.347
445.01   5.439
448.06   5.541
451.10   5.637
454.15   5.741
457.20   5.848
460.25   5.949
463.30   6.062
466.34   6.154
469.39   6.266
472.44   6.349
475.49   6.452
478.54   6.556
481.58   6.649
484.63   6.737
487.68   6.841
490.73   6.922
493.78   7.016
496.82   7.113
499.87   7.217
502.92   7.306
505.97   7.397
509.02   7.493
512.07   7.569
515.11   7.672
518.16   7.789
521.21   7.877
524.26   7.965
527.31   8.055
530.35   8.150
533.40   8.229
536.45   8.314
539.50   8.401
542.55   8.480
545.59   8.550
548.64   8.625
551.69   8.694
554.74   8.753
557.79   8.818
560.83   8.888
563.88   8.955
566.93   9.023
569.98   9.103
573.03   9.162
576.07   9.232
579.12   9.315
582.17   9.379
585.22   9.453
588.27   9.527
591.31   9.598
594.36   9.677
597.41   9.761
600.46   9.843
603.51   9.923
606.55  10.010
609.60  10.115
612.65  10.211
615.70  10.310
618.75  10.402
621.79  10.497
624.84  10.574
627.89  10.651
630.94  10.721
633.99  10.801
637.03  10.894
640.08  10.971
643.13  11.045
646.18  11.128
649.23  11.223
652.27  11.325
655.32  11.393
658.37  11.443
661.42  11.551
664.47  11.604
667.51  11.724
670.56  11.811
673.61  11.875
676.66  11.912
679.71  11.947
682.75  11.996
685.80  12.045
688.85  12.143
691.90  12.244
694.95  12.326
697.99  12.424
701.04  12.495
704.09  12.567
707.14  12.652
710.19  12.723
713.23  12.805
716.28  12.878
719.33  12.937
722.38  13.008
725.43  13.080
728.47  13.151
731.52  13.225
734.57  13.282
737.62  13.365
740.67  13.437
743.71  13.500
746.76  13.587
749.81  13.649
752.86  13.727
755.91  13.794
758.95  13.872
762.00  13.957
765.05  14.029
768.10  14.102
771.15  14.168
774.19  14.244
777.24  14.330
780.29  14.413
783.34  14.500
786.39  14.593
789.43  14.687
792.48  14.759
795.53  14.845
798.58  14.935
801.63  15.022
804.67  15.103
807.72  15.181
810.77  15.274
813.82  15.353
816.87  15.436
819.91  15.516
822.96  15.601
826.01  15.684
829.06  15.768
832.11  15.855
835.15  15.929
838.20  16.007
841.25  16.092
844.30  16.168
847.35  16.252
850.39  16.344
853.44  16.419
856.49  16.510
859.54  16.601
862.59  16.678
865.63  16.765
868.68  16.856
871.73  16.941
874.78  17.028
877.83  17.106
