  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Drew Point Test Well #1 
  File name:   DRP_78SEP17 
  Log date:    17-SEP-1978 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 36.58  -7.448
 39.62  -7.446
 42.67  -7.454
 45.72  -7.442
 48.77  -7.397
 51.82  -7.348
 54.86  -7.304
 57.91  -7.237
 60.96  -7.143
 64.01  -7.054
 67.06  -6.975
 70.10  -6.925
 73.15  -6.878
 76.20  -6.822
 79.25  -6.695
 82.30  -6.558
 85.34  -6.427
 88.39  -6.314
 91.44  -6.197
 94.49  -6.096
 97.54  -5.989
100.58  -5.892
103.63  -5.812
106.68  -5.693
109.73  -5.592
112.78  -5.518
115.82  -5.433
118.87  -5.344
121.92  -5.274
124.97  -5.190
128.02  -5.086
131.06  -5.031
134.11  -4.984
137.16  -4.878
140.21  -4.788
143.26  -4.696
146.30  -4.611
149.35  -4.517
152.40  -4.416
155.45  -4.330
158.50  -4.246
161.54  -4.165
164.59  -4.083
167.64  -4.021
170.69  -3.951
173.74  -3.891
176.78  -3.846
179.83  -3.796
182.88  -3.694
185.93  -3.602
188.98  -3.507
192.02  -3.435
195.07  -3.359
198.12  -3.278
201.17  -3.216
204.22  -3.121
207.26  -3.029
210.31  -2.937
213.36  -2.837
216.41  -2.760
219.46  -2.698
222.50  -2.647
225.55  -2.598
228.60  -2.566
231.65  -2.525
234.70  -2.481
237.74  -2.452
240.79  -2.422
243.84  -2.399
246.89  -2.349
249.94  -2.279
252.98  -2.191
256.03  -2.092
259.08  -1.974
262.13  -1.867
265.18  -1.723
268.22  -1.528
271.27  -1.325
274.32  -1.156
277.37  -0.966
280.42  -0.768
283.46  -0.594
286.51  -0.381
289.56  -0.235
292.61  -0.066
295.66   0.088
298.70   0.226
301.75   0.372
304.80   0.519
307.85   0.666
310.90   0.794
313.94   0.941
316.99   1.083
320.04   1.237
323.09   1.400
326.14   1.569
329.18   1.731
332.23   1.896
335.28   2.063
338.33   2.229
341.38   2.368
344.42   2.536
347.47   2.677
350.52   2.816
353.57   2.967
356.62   3.107
359.66   3.246
362.71   3.373
365.76   3.503
368.81   3.619
371.86   3.734
374.90   3.832
377.95   3.932
381.00   4.051
384.05   4.175
387.10   4.263
390.14   4.377
393.19   4.480
396.24   4.587
399.29   4.709
402.34   4.813
405.38   4.934
408.43   5.053
411.48   5.179
414.53   5.276
417.58   5.397
420.62   5.507
423.67   5.624
426.72   5.722
429.77   5.823
432.82   5.909
435.86   5.996
438.91   6.084
441.96   6.165
445.01   6.259
448.06   6.354
451.10   6.444
454.15   6.549
457.20   6.644
460.25   6.747
463.30   6.852
466.34   6.955
469.39   7.036
472.44   7.130
475.49   7.232
478.54   7.306
481.58   7.415
484.63   7.500
487.68   7.603
490.73   7.703
493.78   7.809
496.82   7.947
499.87   8.054
502.92   8.162
505.97   8.271
509.02   8.385
512.07   8.488
515.11   8.602
518.16   8.707
521.21   8.829
524.26   8.944
527.31   9.037
530.35   9.132
533.40   9.230
536.45   9.332
539.50   9.453
542.55   9.556
545.59   9.672
548.64   9.773
551.69   9.884
554.74   9.997
557.79  10.109
560.83  10.203
563.88  10.323
566.93  10.438
569.98  10.545
573.03  10.652
576.07  10.746
579.12  10.850
582.17  10.958
585.22  11.083
588.27  11.213
591.31  11.343
594.36  11.468
597.41  11.572
600.46  11.699
603.51  11.838
606.55  11.945
609.60  12.084
612.65  12.188
615.70  12.293
