  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Echooka Unit No. 1 
  File name:   EB1_73SEP26 
  Log date:    26-SEP-1973 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.19  -4.429
 18.29  -4.242
 24.38  -4.040
 30.48  -3.842
 36.58  -3.641
 42.67  -3.409
 48.77  -3.177
 54.86  -2.938
 60.96  -2.721
 67.06  -2.476
 73.15  -2.319
 79.25  -2.226
 85.34  -2.118
 91.44  -1.997
 97.54  -1.816
103.63  -1.590
109.73  -1.382
115.82  -1.164
121.92  -0.879
128.02  -0.597
134.11  -0.545
140.21  -0.615
146.30  -0.658
152.40  -0.527
155.45  -0.465
158.50  -0.340
161.54  -0.300
164.59  -0.268
167.64  -0.247
170.69  -0.246
173.74  -0.258
176.78  -0.301
179.83  -0.315
182.88  -0.327
185.93  -0.259
188.98  -0.183
192.02  -0.112
195.07  -0.073
198.12  -0.058
201.17  -0.062
204.22  -0.094
207.26  -0.085
210.31  -0.066
213.36  -0.056
216.41  -0.054
219.46  -0.012
222.50  -0.056
225.55  -0.061
228.60  -0.063
231.65  -0.061
234.70  -0.058
237.74  -0.051
240.79  -0.040
243.84  -0.018
246.89   0.013
249.94   0.090
252.98   0.156
256.03   0.285
259.08   0.450
262.13   0.651
265.18   0.797
268.22   0.946
271.27   1.091
274.32   1.226
277.37   1.354
280.42   1.451
283.46   1.561
286.51   1.666
289.56   1.744
292.61   1.819
295.66   1.896
298.70   1.948
301.75   2.006
304.80   2.061
307.85   2.109
310.90   2.154
313.94   2.217
316.99   2.278
320.04   2.339
323.09   2.410
326.14   2.475
329.18   2.534
332.23   2.599
335.28   2.653
338.33   2.714
341.38   2.775
344.42   2.840
347.47   2.896
350.52   2.952
353.57   3.020
356.62   3.080
359.66   3.155
362.71   3.215
365.76   3.284
368.81   3.358
371.86   3.428
374.90   3.506
377.95   3.572
381.00   3.640
384.05   3.734
387.10   3.819
390.14   3.888
393.19   3.972
396.24   4.044
399.29   4.113
402.34   4.194
405.38   4.260
408.43   4.343
411.48   4.416
414.53   4.503
417.58   4.583
420.62   4.656
423.67   4.717
426.72   4.801
429.77   4.861
432.82   4.932
435.86   4.990
438.91   5.064
441.96   5.125
445.01   5.183
448.06   5.239
451.10   5.284
454.15   5.327
457.20   5.377
460.25   5.431
463.30   5.487
466.34   5.548
469.39   5.607
472.44   5.663
475.49   5.717
478.54   5.763
481.58   5.834
484.63   5.883
487.68   5.946
490.73   6.014
493.78   6.074
496.82   6.136
499.87   6.191
502.92   6.253
505.97   6.297
509.02   6.341
512.07   6.408
515.11   6.463
518.16   6.543
521.21   6.593
524.26   6.683
527.31   6.756
530.35   6.838
533.40   6.907
536.45   6.976
539.50   7.030
542.55   7.087
545.59   7.138
548.64   7.192
551.69   7.234
554.74   7.282
557.79   7.332
560.83   7.381
563.88   7.419
566.93   7.453
569.98   7.493
573.03   7.632
576.07   7.661
579.12   7.699
582.17   7.731
585.22   7.747
588.27   7.873
