  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   East Simpson Test Well #1 
  File name:   ESN_79SEP13 
  Log date:    13-SEP-1979 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
  9.14  -7.146
 12.19  -7.973
 15.24  -8.007
 18.29  -8.080
 21.34  -8.019
 24.38  -7.897
 27.43  -7.766
 30.48  -7.706
 33.53  -7.653
 36.58  -7.595
 39.62  -7.553
 42.67  -7.501
 45.72  -7.461
 48.77  -7.396
 51.82  -7.340
 54.86  -7.278
 57.91  -7.216
 60.96  -7.145
 64.01  -7.051
 67.06  -6.973
 70.10  -6.899
 73.15  -6.793
 76.20  -6.721
 79.25  -6.699
 82.30  -6.611
 85.34  -6.547
 88.39  -6.461
 91.44  -6.355
 94.49  -6.238
 97.54  -6.149
100.58  -6.107
103.63  -6.091
106.68  -5.988
109.73  -5.850
112.78  -5.775
115.82  -5.722
118.87  -5.681
121.92  -5.610
124.97  -5.538
128.02  -5.440
131.06  -5.334
134.11  -5.221
137.16  -5.114
140.21  -5.045
143.26  -5.026
146.30  -4.993
149.35  -4.935
152.40  -4.834
155.45  -4.805
158.50  -4.805
161.54  -4.777
164.59  -4.721
167.64  -4.641
170.69  -4.549
173.74  -4.487
176.78  -4.418
179.83  -4.317
182.88  -4.169
185.93  -4.041
188.98  -3.964
192.02  -3.834
195.07  -3.716
198.12  -3.643
201.17  -3.538
204.22  -3.456
207.26  -3.359
210.31  -3.247
213.36  -3.142
216.41  -2.995
219.46  -2.903
222.50  -2.842
225.55  -2.775
228.60  -2.751
231.65  -2.685
234.70  -2.738
237.74  -2.836
240.79  -2.791
243.84  -2.662
246.89  -2.497
249.94  -2.433
252.98  -2.379
256.03  -2.282
259.08  -2.227
262.13  -2.179
265.18  -2.312
268.22  -2.333
271.27  -2.319
274.32  -2.254
277.37  -2.158
280.42  -2.022
283.46  -1.935
286.51  -1.871
289.56  -1.807
292.61  -1.712
295.66  -1.554
298.70  -1.391
301.75  -1.256
304.80  -1.209
307.85  -1.119
310.90  -1.009
313.94  -0.906
316.99  -0.802
320.04  -0.686
323.09  -0.601
326.14  -0.541
329.18  -0.494
332.23  -0.332
335.28  -0.172
338.33   0.027
341.38   0.190
344.42   0.336
347.47   0.477
350.52   0.631
353.57   0.764
356.62   0.899
359.66   1.033
362.71   1.139
365.76   1.298
368.81   1.412
371.86   1.550
374.90   1.692
377.95   1.821
381.00   1.928
384.05   2.028
387.10   2.137
390.14   2.275
393.19   2.411
396.24   2.519
399.29   2.650
402.34   2.793
405.38   2.913
408.43   3.027
411.48   3.133
414.53   3.217
417.58   3.337
420.62   3.441
423.67   3.542
426.72   3.651
429.77   3.738
432.82   3.861
435.86   3.961
438.91   4.092
441.96   4.139
445.01   4.262
448.06   4.368
451.10   4.490
454.15   4.615
457.20   4.727
460.25   4.845
463.30   4.956
466.34   5.056
469.39   5.163
472.44   5.249
475.49   5.348
478.54   5.469
481.58   5.550
484.63   5.688
487.68   5.813
490.73   5.932
493.78   6.073
496.82   6.191
499.87   6.288
502.92   6.406
505.97   6.541
509.02   6.665
512.07   6.796
515.11   6.937
518.16   7.042
521.21   7.197
524.26   7.291
527.31   7.447
530.35   7.584
533.40   7.722
536.45   7.827
539.50   7.962
542.55   8.121
545.59   8.252
548.64   8.376
551.69   8.509
554.74   8.626
557.79   8.754
560.83   8.864
563.88   8.976
