  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   East Teshekpuk Test Well #1 
  File name:   ETK_77DEC17 
  Log date:    17-DEC-1977 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 10.97  -9.529
 14.02  -8.994
 17.07  -8.878
 20.12  -8.817
 23.16  -8.757
 26.21  -8.679
 29.26  -8.597
 32.31  -8.527
 35.36  -8.469
 38.40  -8.415
 41.45  -8.336
 44.50  -8.273
 47.55  -8.218
 50.60  -8.150
 53.64  -8.089
 56.69  -7.992
 59.74  -7.912
 62.79  -7.823
 65.84  -7.719
 68.88  -7.589
 71.93  -7.498
 74.98  -7.422
 78.03  -7.317
 81.08  -7.217
 84.12  -7.100
 87.17  -6.975
 90.22  -6.837
 93.27  -6.738
 96.32  -6.577
 99.36  -6.474
102.41  -6.334
105.46  -6.237
108.51  -6.121
111.56  -5.973
114.61  -5.830
117.65  -5.679
120.70  -5.479
123.75  -5.309
126.80  -5.143
129.85  -4.994
132.89  -4.828
135.94  -4.668
138.99  -4.536
142.04  -4.387
145.09  -4.197
148.13  -4.026
151.18  -3.864
154.23  -3.758
157.28  -3.631
160.33  -3.513
163.37  -3.396
166.42  -3.257
169.47  -3.102
172.52  -2.975
175.57  -2.843
178.61  -2.722
181.66  -2.611
184.71  -2.498
187.76  -2.415
190.81  -2.305
193.85  -2.193
196.90  -2.078
199.95  -1.978
203.00  -1.901
206.05  -1.812
209.09  -1.718
212.14  -1.662
215.19  -1.485
218.24  -1.360
221.29  -1.227
224.33  -1.089
227.38  -0.933
230.43  -0.799
233.48  -0.657
236.53  -0.505
239.57  -0.378
242.62  -0.271
245.67  -0.185
248.72  -0.141
251.77   0.204
254.81   0.295
257.86   0.398
260.91   0.494
263.96   0.558
267.01   0.669
270.05   1.000
273.10   1.086
279.20   1.255
285.29   1.704
291.39   1.957
297.49   2.194
303.58   2.463
309.68   2.720
315.77   2.990
321.87   3.239
327.97   3.480
334.06   3.720
340.16   3.954
346.25   4.183
352.35   4.426
358.45   4.662
364.54   4.925
370.64   5.148
376.73   5.416
382.83   5.663
388.93   5.910
395.02   6.172
401.12   6.438
407.21   6.692
413.31   6.949
419.41   7.198
425.50   7.500
431.60   7.742
455.98   9.043
462.08   9.328
468.17   9.667
474.27   9.965
480.37  10.263
486.46  10.527
492.56  10.748
498.65  10.967
504.75  11.183
510.85  11.428
516.94  11.789
523.04  12.030
529.13  12.286
535.23  12.547
541.33  12.766
547.42  12.976
553.52  13.197
559.61  13.406
565.71  13.613
571.81  13.818
577.90  14.025
584.00  14.275
590.09  14.523
596.19  14.747
602.29  15.008
608.38  15.298
614.48  15.565
620.57  15.809
626.67  16.036
632.77  16.278
638.86  16.525
644.96  16.771
651.05  17.009
657.15  17.286
663.25  17.533
669.34  17.785
675.44  18.053
681.53  18.339
687.63  18.592
693.73  18.861
699.82  19.096
705.92  19.345
712.01  19.533
