  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   East Teshekpuk Test Well #1 
  File name:   ETK_80SEP10 
  Log date:    10-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.19  -9.421
 15.24  -9.400
 18.29  -9.341
 21.34  -9.266
 24.38  -9.178
 27.43  -9.102
 30.48  -9.025
 33.53  -8.957
 36.58  -8.903
 39.62  -8.842
 42.67  -8.776
 45.72  -8.704
 48.77  -8.636
 51.82  -8.560
 54.86  -8.488
 57.91  -8.405
 60.96  -8.316
 64.01  -8.216
 67.06  -8.119
 70.10  -8.015
 73.15  -7.911
 76.20  -7.807
 79.25  -7.712
 82.30  -7.592
 85.34  -7.469
 88.39  -7.358
 91.44  -7.252
 94.49  -7.123
 97.54  -6.999
100.58  -6.865
103.63  -6.727
106.68  -6.604
109.73  -6.492
112.78  -6.367
115.82  -6.218
118.87  -6.064
121.92  -5.863
124.97  -5.717
128.02  -5.558
131.06  -5.380
134.11  -5.202
137.16  -5.010
140.21  -4.879
143.26  -4.728
146.30  -4.538
149.35  -4.398
152.40  -4.247
155.45  -4.101
158.50  -3.953
161.54  -3.822
164.59  -3.674
167.64  -3.532
170.69  -3.391
173.74  -3.263
176.78  -3.137
179.83  -3.025
182.88  -2.920
185.93  -2.801
188.98  -2.695
192.02  -2.566
195.07  -2.461
198.12  -2.356
201.17  -2.254
204.22  -2.153
207.26  -2.037
210.31  -1.915
213.36  -1.827
216.41  -1.702
219.46  -1.564
222.50  -1.434
225.55  -1.312
228.60  -1.186
231.65  -1.029
356.62   4.443
359.66   4.543
362.71   4.652
365.76   4.769
368.81   4.896
371.86   5.037
374.90   5.149
377.95   5.269
381.00   5.400
384.05   5.533
387.10   5.659
390.14   5.783
393.19   5.910
396.24   6.028
399.29   6.179
402.34   6.316
405.38   6.438
408.43   6.558
411.48   6.695
414.53   6.811
417.58   6.966
420.62   7.099
423.67   7.240
426.72   7.382
429.77   7.507
432.82   7.653
454.15   8.806
457.20   8.943
460.25   9.115
463.30   9.245
466.34   9.396
469.39   9.600
472.44   9.722
475.49   9.877
478.54  10.038
481.58  10.158
484.63  10.268
487.68  10.385
490.73  10.517
493.78  10.642
496.82  10.746
499.87  10.879
502.92  11.006
505.97  11.105
509.02  11.257
512.07  11.386
515.11  11.516
518.16  11.648
521.21  11.784
524.26  11.933
527.31  12.083
530.35  12.213
533.40  12.319
536.45  12.465
539.50  12.580
542.55  12.691
545.59  12.792
548.64  12.903
551.69  13.010
554.74  13.124
557.79  13.209
560.83  13.327
563.88  13.432
566.93  13.536
569.98  13.637
573.03  13.757
576.07  13.852
579.12  13.989
582.17  14.116
585.22  14.217
588.27  14.348
591.31  14.445
594.36  14.594
597.41  14.718
600.46  14.858
603.51  14.970
606.55  15.140
609.60  15.272
612.65  15.369
615.70  15.506
618.75  15.636
621.79  15.734
624.84  15.875
627.89  15.992
630.94  16.092
633.99  16.199
637.03  16.328
640.08  16.446
643.13  16.567
646.18  16.696
649.23  16.829
652.27  16.964
655.32  17.094
658.37  17.359
661.42  17.473
664.47  17.599
667.51  17.707
670.56  17.861
673.61  18.010
676.66  18.148
679.71  18.273
682.75  18.410
685.80  18.534
688.85  18.676
691.90  18.805
694.95  18.908
697.99  19.062
701.04  19.173
704.09  19.314
707.14  19.439
