  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   West Fish Creek Test Well #1 
  File name:   FCK_77DEC11 
  Log date:    11-DEC-1977 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 23.16  -7.292
 27.13  -7.129
 29.26  -7.068
 32.31  -6.943
 35.36  -6.845
 38.40  -6.719
 41.45  -6.566
 44.50  -6.429
 47.55  -6.281
 50.60  -6.141
 53.64  -6.006
 56.69  -5.861
 59.74  -5.741
 62.79  -5.691
 65.84  -5.662
 68.88  -5.666
 71.93  -5.660
 74.98  -5.550
 78.03  -5.403
 81.08  -5.309
 84.12  -5.239
 87.17  -5.138
 90.22  -5.083
 93.27  -5.014
 96.32  -4.933
 99.36  -4.877
102.41  -4.899
105.46  -4.925
108.51  -4.903
111.56  -4.849
114.61  -4.771
117.65  -4.719
120.70  -4.645
123.75  -4.614
126.80  -4.589
129.85  -4.500
132.89  -4.421
135.94  -4.301
138.99  -4.156
142.04  -3.951
145.09  -3.692
148.13  -3.520
151.18  -3.306
154.23  -3.113
157.28  -2.912
160.33  -2.740
163.37  -2.549
166.42  -2.334
169.47  -2.105
172.52  -1.973
175.57  -1.819
178.61  -1.679
181.66  -1.523
184.71  -1.373
187.76  -1.218
190.81  -1.069
193.85  -0.905
196.90  -0.731
199.95  -0.614
203.00  -0.485
206.05  -0.350
209.09  -0.151
212.14  -0.033
218.24   0.080
221.29   0.185
224.33   0.328
227.38   0.437
230.43   0.575
233.48   0.698
236.53   0.817
239.57   0.922
242.62   1.004
245.67   1.171
248.72   1.328
251.77   1.405
254.81   1.542
257.86   1.662
260.91   1.764
263.96   1.892
267.01   2.021
270.05   2.109
273.10   2.240
276.15   2.340
279.20   2.476
282.25   2.578
285.29   2.670
288.34   2.765
291.39   2.871
294.44   2.958
297.49   3.059
300.53   3.177
308.15   3.444
315.77   3.708
324.00   4.007
331.01   4.273
338.63   4.537
346.25   4.837
353.87   5.129
361.49   5.385
376.73   5.876
384.35   6.193
391.97   6.544
399.59   6.829
407.21   7.167
414.83   7.312
422.45   7.653
430.07   7.886
437.69   8.142
445.31   8.401
452.93   8.665
460.55   8.952
468.17   9.241
475.79   9.549
483.41   9.846
521.51  11.253
529.13  11.517
536.75  11.766
544.37  12.092
551.99  12.336
559.61  12.559
567.23  12.838
574.85  13.081
582.47  13.324
590.09  13.598
597.71  13.856
605.33  14.149
612.95  14.410
620.57  14.683
