  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   West Fish Creek Test Well #1 
  File name:   FCK_78SEP16 
  Log date:    16-SEP-1978 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.19  -8.079
 15.24  -8.043
 18.29  -8.016
 21.34  -7.978
 24.38  -7.927
 27.43  -7.875
 30.48  -7.815
 33.53  -7.756
 36.58  -7.679
 39.62  -7.602
 42.67  -7.534
 45.72  -7.453
 48.77  -7.388
 51.82  -7.316
 54.86  -7.258
 57.91  -7.195
 60.96  -7.134
 64.01  -7.080
 67.06  -7.007
 70.10  -6.914
 73.15  -6.804
 76.20  -6.703
 79.25  -6.603
 82.30  -6.507
 85.34  -6.433
 88.39  -6.358
 91.44  -6.285
 94.49  -6.203
 97.54  -6.123
100.58  -6.030
103.63  -5.946
106.68  -5.831
109.73  -5.711
112.78  -5.584
115.82  -5.467
118.87  -5.376
121.92  -5.250
124.97  -5.138
128.02  -5.013
131.06  -4.911
134.11  -4.790
137.16  -4.663
140.21  -4.498
143.26  -4.347
146.30  -4.196
149.35  -4.009
152.40  -3.853
155.45  -3.691
158.50  -3.506
161.54  -3.335
164.59  -3.145
167.64  -2.972
170.69  -2.841
173.74  -2.684
176.78  -2.518
179.83  -2.391
182.88  -2.208
185.93  -2.047
188.98  -1.906
192.02  -1.758
195.07  -1.645
198.12  -1.413
201.17  -1.308
204.22  -1.174
207.26  -1.061
210.31  -0.924
213.36  -0.744
219.46  -0.594
222.50  -0.490
225.55  -0.346
228.60  -0.229
231.65  -0.109
234.70   0.005
237.74   0.129
240.79   0.248
243.84   0.377
246.89   0.474
249.94   0.620
252.98   0.733
256.03   0.858
259.08   0.991
262.13   1.088
265.18   1.200
268.22   1.308
271.27   1.437
274.32   1.552
277.37   1.664
280.42   1.773
283.46   1.885
286.51   2.008
289.56   2.104
292.61   2.199
295.66   2.295
298.70   2.415
301.75   2.523
304.80   2.639
307.85   2.756
310.90   2.866
313.94   2.956
316.99   3.088
320.04   3.218
323.09   3.307
326.14   3.427
329.18   3.543
332.23   3.643
335.28   3.760
338.33   3.875
341.38   4.005
344.42   4.121
347.47   4.247
350.52   4.326
353.57   4.454
356.62   4.584
359.66   4.684
362.71   4.781
365.76   4.880
368.81   4.972
371.86   5.082
374.90   5.188
377.95   5.330
381.00   5.471
384.05   5.577
387.10   5.714
390.14   5.822
393.19   5.925
396.24   6.058
399.29   6.165
402.34   6.274
405.38   6.397
408.43   6.528
411.48   6.631
414.53   6.742
417.58   6.858
420.62   6.954
423.67   7.062
426.72   7.157
429.77   7.257
432.82   7.346
435.86   7.451
438.91   7.557
441.96   7.659
445.01   7.773
448.06   7.898
451.10   8.006
454.15   8.096
457.20   8.230
460.25   8.332
463.30   8.455
466.34   8.559
469.39   8.682
472.44   8.798
475.49   8.886
478.54   9.020
481.58   9.129
484.63   9.219
487.68   9.315
490.73   9.423
493.78   9.527
496.82   9.627
521.21  10.610
524.26  10.716
527.31  10.835
530.35  10.957
533.40  11.068
536.45  11.188
539.50  11.309
542.55  11.439
545.59  11.536
548.64  11.637
551.69  11.740
554.74  11.853
557.79  11.933
560.83  12.029
563.88  12.126
566.93  12.225
569.98  12.338
573.03  12.433
576.07  12.547
579.12  12.642
582.17  12.743
585.22  12.850
588.27  12.964
591.31  13.066
594.36  13.176
597.41  13.277
600.46  13.378
603.51  13.502
606.55  13.618
609.60  13.735
612.65  13.843
615.70  13.962
618.75  14.059
621.79  14.188
624.84  14.288
627.89  14.418
630.94  14.530
633.99  14.629
637.03  14.737
640.08  14.838
643.13  14.941
646.18  15.052
649.23  15.168
652.27  15.265
655.32  15.382
658.37  15.473
661.42  15.587
