  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Ikpikpuk Test Well #1 
  File name:   IKP_80SEP10 
  Log date:    10-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -6.433
 18.29  -6.292
 21.34  -6.159
 24.38  -6.049
 27.43  -5.993
 30.48  -5.963
 33.53  -5.929
 36.58  -5.922
 39.62  -5.954
 42.67  -5.973
 45.72  -5.939
 48.77  -5.898
 51.82  -5.900
 57.91  -5.770
 60.96  -5.648
 64.01  -5.548
 67.06  -5.482
 70.10  -5.425
 73.15  -5.357
 76.20  -5.269
 79.25  -5.223
 82.30  -5.190
 85.34  -5.162
 88.39  -5.072
 91.44  -4.968
 94.49  -4.847
 97.54  -4.663
100.58  -4.503
103.63  -4.311
106.68  -4.199
109.73  -4.133
112.78  -4.044
115.82  -3.925
118.87  -3.774
121.92  -3.639
124.97  -3.522
128.02  -3.400
131.06  -3.289
134.11  -3.193
137.16  -3.159
140.21  -3.095
143.26  -2.913
146.30  -2.772
149.35  -2.670
152.40  -2.588
155.45  -2.525
158.50  -2.436
161.54  -2.341
164.59  -2.229
167.64  -2.107
170.69  -2.021
173.74  -2.010
176.78  -2.132
179.83  -2.156
182.88  -2.075
185.93  -2.028
188.98  -2.027
192.02  -2.054
195.07  -2.055
198.12  -2.054
201.17  -2.180
204.22  -2.163
207.26  -2.066
210.31  -1.931
213.36  -1.822
216.41  -1.718
219.46  -1.643
222.50  -1.592
225.55  -1.571
228.60  -1.555
231.65  -1.523
234.70  -1.488
237.74  -1.445
240.79  -1.327
243.84  -1.157
246.89  -1.012
249.94  -0.976
252.98  -1.047
256.03  -1.111
259.08  -1.098
262.13  -0.990
265.18  -0.893
268.22  -0.857
271.27  -0.866
274.32  -0.864
277.37  -0.710
280.42  -0.549
283.46  -0.432
286.51  -0.316
289.56  -0.128
292.61   0.041
295.66   0.153
298.70   0.216
301.75   0.268
304.80   0.306
307.85   0.341
310.90   0.435
313.94   0.651
316.99   0.858
320.04   1.155
323.09   1.328
326.14   1.544
329.18   1.691
332.23   1.784
335.28   1.834
338.33   1.891
341.38   1.956
344.42   2.051
347.47   2.116
350.52   2.176
353.57   2.247
356.62   2.305
359.66   2.380
362.71   2.460
365.76   2.525
368.81   2.657
371.86   2.774
374.90   2.854
377.95   2.921
381.00   2.981
384.05   3.034
387.10   3.113
390.14   3.178
393.19   3.253
396.24   3.335
399.29   3.418
402.34   3.513
405.38   3.586
408.43   3.649
411.48   3.707
414.53   3.765
417.58   3.830
420.62   3.900
423.67   3.988
426.72   4.057
429.77   4.146
432.82   4.204
435.86   4.267
438.91   4.338
441.96   4.415
445.01   4.497
448.06   4.588
451.10   4.700
454.15   4.784
457.20   4.890
460.25   4.983
463.30   5.075
466.34   5.150
469.39   5.241
472.44   5.319
475.49   5.379
478.54   5.437
481.58   5.492
484.63   5.528
487.68   5.703
490.73   5.787
493.78   5.879
496.82   5.972
499.87   6.050
502.92   6.167
505.97   6.277
509.02   6.418
512.07   6.528
515.11   6.623
518.16   6.720
521.21   6.833
524.26   6.878
527.31   6.920
530.35   6.996
533.40   7.072
536.45   7.146
539.50   7.226
542.55   7.305
545.59   7.362
548.64   7.439
551.69   7.520
554.74   7.604
557.79   7.694
560.83   7.750
563.88   7.817
566.93   7.898
569.98   8.015
573.03   8.136
576.07   8.235
579.12   8.275
582.17   8.315
585.22   8.432
588.27   8.557
591.31   8.676
594.36   8.813
597.41   8.939
600.46   9.022
603.51   9.099
606.55   9.216
609.60   9.326
