  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   J.W. Dalton Test Well #1 
  File name:   JWD_81AUG26 
  Log date:    26-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 30.48  -9.673
 33.53  -9.696
 36.58  -9.716
 39.62  -9.729
 42.67  -9.727
 45.72  -9.722
 48.77  -9.715
 51.82  -9.702
 54.86  -9.680
 57.91  -9.655
 60.96  -9.628
 64.01  -9.596
 67.06  -9.550
 70.10  -9.501
 73.15  -9.449
 76.20  -9.396
 79.25  -9.329
 82.30  -9.267
 85.34  -9.203
 88.39  -9.145
 91.44  -9.070
 94.49  -9.024
 97.54  -8.966
100.58  -8.889
103.63  -8.825
106.68  -8.745
109.73  -8.690
112.78  -8.618
115.82  -8.537
118.87  -8.465
121.92  -8.381
124.97  -8.313
128.02  -8.228
131.06  -8.150
134.11  -8.087
137.16  -8.007
140.21  -7.896
143.26  -7.801
146.30  -7.713
149.35  -7.584
152.40  -7.546
155.45  -7.478
158.50  -7.392
161.54  -7.309
164.59  -7.247
167.64  -7.189
170.69  -7.118
173.74  -7.052
176.78  -6.982
179.83  -6.915
182.88  -6.865
185.93  -6.817
188.98  -6.740
192.02  -6.679
195.07  -6.622
198.12  -6.575
201.17  -6.528
204.22  -6.477
207.26  -6.439
210.31  -6.398
213.36  -6.345
216.41  -6.305
219.46  -6.254
222.50  -6.205
225.55  -6.160
228.60  -6.115
231.65  -6.079
234.70  -6.031
237.74  -5.983
240.79  -5.944
243.84  -5.884
246.89  -5.844
249.94  -5.818
252.98  -5.709
256.03  -5.662
259.08  -5.618
262.13  -5.580
265.18  -5.504
268.22  -5.419
271.27  -5.304
274.32  -5.180
277.37  -5.099
280.42  -4.959
283.46  -4.851
286.51  -4.735
289.56  -4.614
292.61  -4.512
295.66  -4.374
298.70  -4.258
301.75  -4.177
304.80  -4.075
307.85  -3.953
310.90  -3.841
313.94  -3.718
316.99  -3.610
320.04  -3.472
323.09  -3.362
326.14  -3.240
329.18  -3.137
341.38  -2.715
344.42  -2.603
347.47  -2.468
350.52  -2.331
353.57  -2.197
356.62  -2.092
359.66  -1.907
362.71  -1.737
365.76  -1.584
368.81  -1.406
371.86  -1.258
374.90  -1.108
377.95  -0.938
381.00  -0.763
384.05  -0.600
387.10  -0.426
390.14  -0.316
393.19  -0.200
396.24  -0.094
399.29   0.005
402.34   0.148
405.38   0.277
408.43   0.475
411.48   0.711
414.53   0.886
417.58   1.050
420.62   1.189
423.67   1.307
426.72   1.461
429.77   1.576
432.82   1.692
435.86   1.815
438.91   1.923
441.96   2.062
445.01   2.162
448.06   2.273
451.10   2.405
454.15   2.521
457.20   2.597
460.25   2.693
