  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Kugrua Test Well #1 
  File name:   KAG_79SEP15 
  Log date:    15-SEP-1979 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 27.43  -6.876
 30.48  -6.879
 33.53  -6.878
 36.58  -6.875
 39.62  -6.863
 42.67  -6.842
 45.72  -6.800
 48.77  -6.754
 51.82  -6.703
 54.86  -6.630
 57.91  -6.561
 60.96  -6.488
 64.01  -6.416
 67.06  -6.341
 70.10  -6.270
 73.15  -6.172
 76.20  -6.084
 79.25  -5.969
 82.30  -5.878
 85.34  -5.764
 88.39  -5.671
 91.44  -5.576
 94.49  -5.455
 97.54  -5.355
100.58  -5.257
103.63  -5.153
106.68  -5.064
109.73  -4.942
112.78  -4.826
115.82  -4.700
118.87  -4.590
121.92  -4.460
124.97  -4.319
128.02  -4.238
131.06  -4.106
134.11  -4.010
137.16  -3.887
140.21  -3.782
143.26  -3.676
146.30  -3.525
149.35  -3.416
152.40  -3.272
155.45  -3.146
158.50  -3.043
161.54  -2.930
164.59  -2.800
167.64  -2.666
170.69  -2.540
173.74  -2.405
176.78  -2.315
179.83  -2.172
182.88  -2.035
185.93  -1.909
188.98  -1.768
192.02  -1.641
195.07  -1.579
198.12  -1.534
201.17  -1.457
204.22  -1.375
207.26  -1.288
210.31  -1.197
213.36  -1.091
216.41  -0.966
219.46  -0.841
222.50  -0.813
225.55  -0.837
228.60  -0.842
231.65  -0.805
234.70  -0.738
237.74  -0.653
240.79  -0.579
243.84  -0.485
246.89  -0.351
249.94  -0.242
252.98  -0.072
256.03   0.061
259.08   0.192
262.13   0.298
265.18   0.411
268.22   0.511
271.27   0.606
274.32   0.684
277.37   0.757
280.42   0.850
283.46   0.939
286.51   1.030
289.56   1.030
292.61   1.134
295.66   1.243
298.70   1.335
301.75   1.430
304.80   1.498
307.85   1.591
310.90   1.668
313.94   1.748
316.99   1.854
320.04   1.980
323.09   2.089
326.14   2.189
329.18   2.341
332.23   2.481
335.28   2.586
338.33   2.706
341.38   2.731
344.42   2.910
347.47   3.037
350.52   3.158
353.57   3.265
356.62   3.366
359.66   3.464
362.71   3.588
365.76   3.718
368.81   3.858
371.86   3.985
374.90   4.134
377.95   4.240
381.00   4.350
384.05   4.437
387.10   4.537
411.48   5.417
414.53   5.509
417.58   5.597
420.62   5.685
423.67   5.777
426.72   5.867
429.77   5.949
432.82   6.052
435.86   6.141
438.91   6.258
441.96   6.339
445.01   6.424
448.06   6.502
451.10   6.590
454.15   6.657
457.20   6.744
460.25   6.800
463.30   6.858
466.34   6.935
469.39   6.997
472.44   7.090
475.49   7.209
478.54   7.306
481.58   7.452
484.63   7.564
490.73   7.766
493.78   7.860
496.82   7.958
499.87   8.073
502.92   8.172
505.97   8.285
509.02   8.398
512.07   8.501
515.11   8.571
518.16   8.662
521.21   8.754
524.26   8.837
527.31   8.925
