  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Kugrua Test Well #1 
  File name:   KAG_89JUL26_c_d 
  Log date:    26-JUL-1989 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.19  -8.839
 12.40  -8.830
 12.60  -8.822
 12.80  -8.813
 13.00  -8.805
 13.21  -8.797
 13.41  -8.789
 13.61  -8.781
 13.82  -8.773
 14.02  -8.765
 14.22  -8.757
 14.43  -8.749
 14.63  -8.741
 14.83  -8.733
 15.04  -8.725
 15.24  -8.718
 15.44  -8.710
 15.65  -8.702
 15.85  -8.695
 16.05  -8.688
 16.26  -8.681
 16.46  -8.674
 16.66  -8.668
 16.87  -8.661
 17.07  -8.655
 17.27  -8.648
 17.48  -8.642
 17.68  -8.636
 17.88  -8.630
 18.08  -8.623
 18.29  -8.617
 18.49  -8.611
 18.69  -8.604
 18.90  -8.598
 20.73  -8.539
 20.93  -8.533
 21.13  -8.526
 21.34  -8.519
 21.54  -8.512
 21.74  -8.505
 21.95  -8.498
 22.15  -8.490
 22.35  -8.483
 22.56  -8.475
 22.76  -8.467
 22.96  -8.458
 23.16  -8.450
 23.37  -8.441
 23.57  -8.432
 23.77  -8.424
 23.98  -8.415
 24.18  -8.406
 24.38  -8.398
 24.59  -8.389
 24.79  -8.381
 24.99  -8.372
 25.20  -8.364
 25.40  -8.355
 25.60  -8.347
 25.81  -8.338
 26.01  -8.330
 26.21  -8.322
 26.42  -8.314
 26.62  -8.306
 26.82  -8.297
 27.03  -8.289
 27.23  -8.281
 27.43  -8.273
 27.64  -8.265
 27.84  -8.257
 28.04  -8.249
 28.24  -8.241
 28.45  -8.233
 28.65  -8.225
 28.85  -8.218
 29.06  -8.211
 29.26  -8.203
 29.46  -8.196
 29.67  -8.189
 29.87  -8.182
 30.07  -8.175
 30.28  -8.168
 30.48  -8.161
 30.68  -8.154
 30.89  -8.148
 31.09  -8.141
 31.29  -8.134
 31.50  -8.127
 31.70  -8.120
 31.90  -8.113
 32.11  -8.107
 32.31  -8.100
 32.51  -8.093
 32.72  -8.086
 32.92  -8.080
 33.12  -8.073
 33.32  -8.067
 33.53  -8.061
 33.73  -8.054
 33.93  -8.048
 34.14  -8.042
 34.34  -8.036
 34.54  -8.030
 34.75  -8.024
 34.95  -8.018
 35.15  -8.012
 35.36  -8.007
 35.56  -8.001
 35.76  -7.996
 35.97  -7.990
 36.17  -7.985
 36.37  -7.979
 36.58  -7.974
 36.78  -7.968
 36.98  -7.963
 37.19  -7.958
 37.39  -7.953
 37.59  -7.947
 37.80  -7.942
 38.00  -7.937
 38.20  -7.932
 38.40  -7.927
 38.61  -7.922
 38.81  -7.917
 40.44  -7.879
 40.64  -7.874
 40.84  -7.870
 41.05  -7.865
 41.25  -7.860
 41.45  -7.856
 41.66  -7.851
 41.86  -7.846
 42.06  -7.842
 42.27  -7.837
 42.47  -7.832
 42.67  -7.828
 42.88  -7.823
 43.08  -7.819
 43.28  -7.814
 43.48  -7.810
 43.69  -7.806
 43.89  -7.801
 44.09  -7.797
 44.30  -7.793
 44.50  -7.788
 44.70  -7.784
 44.91  -7.780
 45.11  -7.775
 45.31  -7.771
 45.52  -7.767
 45.72  -7.763
 45.92  -7.758
 46.13  -7.754
 46.33  -7.750
 46.53  -7.746
 46.74  -7.742
 46.94  -7.737
 47.14  -7.733
 47.35  -7.729
 47.55  -7.725
 47.75  -7.721
 47.96  -7.717
 48.16  -7.713
 48.36  -7.709
 48.56  -7.705
 48.77  -7.700
 48.97  -7.696
 49.17  -7.692
 49.38  -7.688
 49.58  -7.684
 49.78  -7.680
 49.99  -7.676
 50.19  -7.672
 50.39  -7.667
 50.60  -7.663
 50.80  -7.659
 51.00  -7.655
 51.21  -7.651
 51.41  -7.647
 51.61  -7.642
 51.82  -7.638
 52.02  -7.634
 52.22  -7.630
 52.43  -7.625
 52.63  -7.621
 52.83  -7.617
 53.04  -7.613
 53.24  -7.608
 53.44  -7.604
 53.64  -7.600
 53.85  -7.595
 54.05  -7.591
 54.25  -7.586
 54.46  -7.582
 54.66  -7.577
 54.86  -7.573
 55.07  -7.569
 55.27  -7.564
 55.47  -7.559
 55.68  -7.555
 55.88  -7.550
 56.08  -7.546
 56.29  -7.542
 56.49  -7.537
 56.69  -7.533
 56.90  -7.528
 57.10  -7.523
 57.30  -7.519
 57.51  -7.514
 57.71  -7.510
 57.91  -7.505
 58.12  -7.500
 58.32  -7.495
 58.52  -7.490
 58.72  -7.485
 58.93  -7.480
 59.13  -7.475
 59.33  -7.470
 59.54  -7.465
 59.74  -7.459
 59.94  -7.454
 60.15  -7.449
 60.35  -7.443
 60.55  -7.438
 60.76  -7.433
 60.96  -7.427
 61.16  -7.422
 61.37  -7.417
 61.57  -7.411
 61.77  -7.406
 61.98  -7.401
 62.18  -7.395
 62.38  -7.390
 62.59  -7.384
 62.79  -7.379
 62.99  -7.373
 63.20  -7.368
 63.40  -7.362
 63.60  -7.357
 63.80  -7.351
 64.01  -7.346
 64.21  -7.341
 64.41  -7.336
 64.62  -7.331
 64.82  -7.326
 65.02  -7.321
 65.23  -7.317
 65.43  -7.312
 65.63  -7.308
 65.84  -7.304
 66.04  -7.299
 66.24  -7.295
 66.45  -7.291
 66.65  -7.287
 66.85  -7.283
 67.06  -7.278
 67.26  -7.274
 67.46  -7.269
 67.67  -7.265
 67.87  -7.260
 68.07  -7.256
 68.28  -7.251
 68.48  -7.247
 68.68  -7.242
 68.88  -7.238
 69.09  -7.233
 69.29  -7.228
 69.49  -7.224
 69.70  -7.219
 69.90  -7.214
 70.10  -7.209
 70.31  -7.204
 70.51  -7.198
 70.71  -7.193
 70.92  -7.187
 71.12  -7.181
 71.32  -7.175
 71.53  -7.168
 71.73  -7.161
 71.93  -7.155
 72.14  -7.147
 72.34  -7.140
 72.54  -7.133
 72.75  -7.126
 72.95  -7.119
 73.15  -7.112
 73.36  -7.105
 73.56  -7.098
 73.76  -7.091
 73.96  -7.084
 74.17  -7.077
 74.37  -7.070
 74.57  -7.063
 74.78  -7.056
 74.98  -7.049
 75.18  -7.042
 75.39  -7.035
 75.59  -7.028
 75.79  -7.021
 76.00  -7.014
 76.20  -7.007
 76.40  -7.001
 76.61  -6.994
 76.81  -6.987
 77.01  -6.981
 77.22  -6.974
 77.42  -6.968
 77.62  -6.962
 77.83  -6.957
 78.03  -6.951
 78.23  -6.945
 78.44  -6.940
 78.64  -6.934
 78.84  -6.929
 79.04  -6.923
 79.25  -6.918
 79.45  -6.912
 79.65  -6.906
 79.86  -6.901
 80.06  -6.895
 80.26  -6.889
 80.47  -6.883
 80.67  -6.877
 80.87  -6.872
 81.08  -6.866
 81.28  -6.860
 81.48  -6.854
 81.69  -6.848
 81.89  -6.842
 82.09  -6.836
 82.30  -6.830
 82.50  -6.824
 82.70  -6.818
 82.91  -6.812
 83.11  -6.806
 83.31  -6.800
 83.52  -6.794
 83.72  -6.788
 83.92  -6.781
 84.12  -6.775
 84.33  -6.769
 84.53  -6.763
 84.73  -6.756
 84.94  -6.750
 85.14  -6.743
 85.34  -6.737
 85.55  -6.731
 85.75  -6.724
 85.95  -6.718
 86.16  -6.711
 86.36  -6.705
 86.56  -6.698
 86.77  -6.692
 86.97  -6.686
 87.17  -6.679
 87.38  -6.673
 87.58  -6.666
 87.78  -6.660
 87.99  -6.653
 88.19  -6.647
 88.39  -6.640
 88.60  -6.633
 88.80  -6.626
 89.00  -6.619
 89.20  -6.612
 89.41  -6.605
 89.61  -6.598
 89.81  -6.590
 90.02  -6.583
 90.22  -6.575
 90.42  -6.567
 90.63  -6.560
 90.83  -6.552
 91.03  -6.544
 91.24  -6.536
 91.44  -6.529
 91.64  -6.521
 91.85  -6.513
 92.05  -6.506
 92.25  -6.498
 92.46  -6.490
 92.66  -6.482
 92.86  -6.475
 93.07  -6.467
 93.27  -6.459
 93.47  -6.451
 93.68  -6.444
 93.88  -6.436
 94.08  -6.428
 94.28  -6.421
 94.49  -6.413
 94.69  -6.405
 94.89  -6.398
 95.10  -6.391
 95.30  -6.383
 95.50  -6.376
 95.71  -6.369
 95.91  -6.362
 96.11  -6.355
 96.32  -6.349
 96.52  -6.342
 96.72  -6.335
 96.93  -6.329
 97.13  -6.322
 97.33  -6.316
 97.54  -6.309
 97.74  -6.302
 97.94  -6.295
 98.15  -6.289
 98.35  -6.282
 98.55  -6.275
 98.76  -6.268
 98.96  -6.261
 99.16  -6.254
 99.36  -6.247
 99.57  -6.240
 99.77  -6.233
 99.97  -6.226
100.18  -6.219
100.38  -6.212
100.58  -6.205
100.79  -6.198
100.99  -6.191
101.19  -6.184
101.40  -6.177
101.60  -6.170
101.80  -6.163
102.01  -6.155
102.21  -6.148
102.41  -6.141
102.62  -6.133
102.82  -6.126
103.02  -6.118
103.23  -6.110
103.43  -6.103
103.63  -6.095
103.84  -6.088
104.04  -6.080
104.24  -6.072
104.44  -6.065
104.65  -6.057
104.85  -6.049
105.05  -6.042
105.26  -6.034
105.46  -6.027
105.66  -6.019
105.87  -6.011
106.07  -6.003
106.27  -5.996
106.48  -5.988
106.68  -5.980
106.88  -5.972
107.09  -5.964
107.29  -5.956
107.49  -5.947
107.70  -5.939
107.90  -5.931
108.10  -5.922
108.31  -5.913
108.51  -5.905
108.71  -5.896
108.92  -5.887
109.12  -5.878
109.32  -5.869
109.52  -5.861
109.73  -5.852
109.93  -5.843
110.13  -5.834
110.34  -5.826
110.54  -5.817
110.74  -5.808
110.95  -5.799
111.15  -5.790
111.35  -5.782
111.56  -5.773
111.76  -5.764
111.96  -5.755
112.17  -5.747
112.37  -5.738
112.57  -5.729
112.78  -5.721
112.98  -5.712
113.18  -5.704
113.39  -5.695
113.59  -5.687
113.79  -5.679
114.00  -5.671
114.20  -5.663
114.40  -5.656
114.60  -5.648
114.81  -5.640
115.01  -5.633
115.21  -5.625
115.42  -5.618
115.62  -5.610
115.82  -5.603
116.03  -5.595
116.23  -5.588
116.43  -5.580
116.64  -5.573
116.84  -5.565
117.04  -5.557
117.25  -5.550
117.45  -5.542
117.65  -5.534
117.86  -5.527
118.06  -5.519
118.26  -5.511
118.47  -5.504
118.67  -5.496
118.87  -5.488
119.08  -5.481
119.28  -5.473
119.48  -5.465
119.68  -5.458
119.89  -5.450
120.09  -5.442
120.29  -5.434
120.50  -5.426
120.70  -5.418
120.90  -5.410
121.11  -5.402
121.31  -5.394
121.51  -5.386
121.72  -5.378
121.92  -5.370
122.12  -5.362
122.33  -5.354
122.53  -5.346
122.73  -5.338
122.94  -5.330
123.14  -5.321
123.34  -5.313
123.55  -5.305
123.75  -5.298
123.95  -5.290
124.16  -5.281
124.36  -5.273
124.56  -5.265
124.76  -5.257
124.97  -5.249
125.17  -5.241
125.37  -5.233
125.58  -5.224
125.78  -5.216
125.98  -5.207
126.19  -5.199
126.39  -5.190
126.59  -5.182
126.80  -5.173
127.00  -5.164
127.20  -5.156
127.41  -5.147
127.61  -5.138
127.81  -5.130
128.02  -5.121
128.22  -5.112
128.42  -5.104
128.63  -5.095
128.83  -5.086
129.03  -5.077
129.24  -5.069
129.44  -5.060
129.64  -5.051
129.84  -5.042
130.05  -5.033
130.25  -5.024
130.45  -5.015
130.66  -5.007
130.86  -4.998
131.06  -4.989
131.27  -4.980
131.47  -4.972
131.67  -4.963
131.88  -4.954
132.08  -4.946
132.28  -4.938
132.49  -4.929
132.69  -4.921
132.89  -4.913
133.10  -4.905
133.30  -4.897
133.50  -4.889
133.71  -4.881
133.91  -4.873
134.11  -4.864
134.32  -4.856
134.52  -4.848
134.72  -4.840
134.92  -4.831
135.13  -4.823
135.33  -4.815
135.53  -4.806
135.74  -4.798
135.94  -4.790
136.14  -4.781
136.35  -4.773
137.97  -4.703
138.18  -4.694
138.38  -4.684
138.58  -4.674
138.79  -4.664
138.99  -4.654
139.19  -4.644
139.40  -4.634
139.60  -4.624
139.80  -4.613
140.00  -4.603
140.21  -4.593
140.41  -4.583
140.61  -4.573
140.82  -4.563
141.02  -4.553
141.22  -4.543
141.43  -4.533
141.63  -4.523
141.83  -4.514
142.04  -4.504
142.24  -4.494
142.44  -4.484
142.65  -4.474
142.85  -4.465
143.05  -4.455
143.26  -4.446
143.46  -4.436
143.66  -4.427
143.87  -4.418
144.07  -4.409
144.27  -4.400
144.48  -4.391
144.68  -4.383
144.88  -4.375
145.08  -4.367
145.29  -4.359
145.49  -4.351
145.69  -4.343
145.90  -4.335
146.10  -4.327
146.30  -4.319
146.51  -4.311
146.71  -4.303
146.91  -4.296
147.12  -4.288
147.32  -4.280
147.52  -4.272
147.73  -4.264
147.93  -4.256
148.13  -4.248
148.34  -4.240
148.54  -4.232
148.74  -4.224
148.95  -4.216
149.15  -4.208
149.35  -4.200
149.56  -4.193
149.76  -4.185
149.96  -4.177
150.16  -4.169
150.37  -4.161
150.57  -4.153
150.77  -4.144
150.98  -4.136
151.18  -4.128
151.38  -4.119
151.59  -4.111
151.79  -4.103
151.99  -4.094
152.20  -4.086
152.40  -4.078
152.60  -4.069
152.81  -4.061
153.01  -4.052
153.21  -4.044
153.42  -4.036
153.62  -4.028
153.82  -4.019
154.03  -4.011
154.23  -4.003
154.43  -3.995
154.64  -3.987
154.84  -3.978
155.04  -3.970
155.24  -3.962
155.45  -3.954
155.65  -3.945
155.85  -3.937
156.06  -3.929
156.26  -3.920
156.46  -3.912
156.67  -3.904
156.87  -3.895
157.07  -3.887
157.28  -3.879
157.48  -3.870
157.68  -3.862
157.89  -3.854
158.09  -3.845
158.29  -3.837
158.50  -3.828
158.70  -3.820
158.90  -3.812
159.11  -3.803
159.31  -3.795
159.51  -3.786
159.72  -3.778
159.92  -3.770
160.12  -3.761
160.32  -3.753
160.53  -3.744
160.73  -3.736
160.93  -3.727
161.14  -3.719
161.34  -3.710
161.54  -3.701
161.75  -3.693
161.95  -3.684
162.15  -3.676
162.36  -3.667
162.56  -3.659
162.76  -3.650
162.97  -3.641
163.17  -3.632
163.37  -3.624
163.58  -3.615
163.78  -3.606
163.98  -3.598
164.19  -3.589
164.39  -3.580
164.59  -3.571
164.80  -3.563
165.00  -3.554
165.20  -3.545
165.40  -3.537
165.61  -3.528
165.81  -3.519
166.01  -3.511
166.22  -3.502
166.42  -3.493
166.62  -3.485
166.83  -3.476
167.03  -3.467
167.23  -3.459
167.44  -3.450
167.64  -3.442
167.84  -3.433
168.05  -3.424
168.25  -3.416
168.45  -3.407
168.66  -3.399
168.86  -3.390
169.06  -3.382
169.27  -3.373
169.47  -3.365
169.67  -3.356
169.88  -3.348
170.08  -3.339
170.28  -3.331
170.48  -3.323
170.69  -3.314
170.89  -3.306
171.09  -3.298
171.30  -3.289
171.50  -3.281
171.70  -3.273
171.91  -3.264
172.11  -3.256
172.31  -3.248
172.52  -3.239
172.72  -3.231
172.92  -3.223
173.13  -3.215
173.33  -3.207
173.53  -3.198
173.74  -3.190
173.94  -3.182
174.14  -3.174
174.35  -3.166
174.55  -3.159
174.75  -3.151
174.96  -3.143
175.16  -3.136
175.36  -3.128
175.56  -3.121
175.77  -3.113
175.97  -3.106
176.17  -3.098
176.38  -3.091
176.58  -3.083
176.78  -3.076
176.99  -3.068
177.19  -3.061
177.39  -3.054
177.60  -3.046
177.80  -3.039
178.00  -3.031
178.21  -3.024
178.41  -3.017
178.61  -3.009
178.82  -3.002
179.02  -2.995
179.22  -2.987
179.43  -2.980
179.63  -2.973
179.83  -2.965
180.04  -2.958
180.24  -2.950
180.44  -2.943
180.64  -2.935
180.85  -2.927
181.05  -2.920
181.25  -2.912
181.46  -2.904
181.66  -2.896
181.86  -2.887
182.07  -2.879
182.27  -2.871
182.47  -2.863
182.68  -2.855
182.88  -2.847
183.08  -2.839
183.29  -2.831
183.49  -2.823
183.69  -2.815
183.90  -2.808
184.10  -2.801
184.30  -2.795
