  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Koluktak Test Well #1 
  File name:   KOL_81AUG23 
  Log date:    23-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 18.29  -6.379
 21.34  -6.398
 24.38  -6.458
 27.43  -6.635
 30.48  -6.716
 33.53  -6.692
 36.58  -6.622
 39.62  -6.549
 42.67  -6.453
 45.72  -6.410
 48.77  -6.374
 51.82  -6.296
 54.86  -6.242
 57.91  -6.150
 60.96  -6.017
 64.01  -5.902
 67.06  -5.814
 70.10  -5.763
 73.15  -5.679
 76.20  -5.612
 79.25  -5.574
 82.30  -5.517
 85.34  -5.415
 88.39  -5.332
 91.44  -5.244
 94.49  -5.151
 97.54  -5.073
100.58  -4.993
103.63  -4.909
106.68  -4.824
109.73  -4.707
112.78  -4.594
115.82  -4.512
118.87  -4.411
121.92  -4.289
124.97  -4.175
128.02  -4.070
131.06  -3.986
134.11  -3.902
137.16  -3.813
140.21  -3.703
143.26  -3.614
146.30  -3.529
149.35  -3.430
152.40  -3.352
155.45  -3.252
158.50  -3.164
161.54  -3.076
164.59  -2.982
167.64  -2.902
170.69  -2.803
173.74  -2.706
176.78  -2.618
179.83  -2.513
182.88  -2.430
185.93  -2.355
188.98  -2.273
192.02  -2.199
195.07  -2.112
198.12  -2.021
201.17  -1.932
204.22  -1.848
207.26  -1.752
210.31  -1.666
213.36  -1.575
