  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Koluktak Test Well #1 
  File name:   KOL_83SEP07 
  Log date:    07-SEP-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 21.34  -7.311
 24.38  -7.326
 27.43  -7.383
 30.48  -7.395
 33.53  -7.406
 36.58  -7.388
 39.62  -7.353
 42.67  -7.314
 45.72  -7.263
 48.77  -7.199
 51.82  -7.133
 54.86  -7.057
 57.91  -6.986
 60.96  -6.864
 64.01  -6.759
 67.06  -6.662
 70.10  -6.567
 73.15  -6.449
 76.20  -6.389
 79.25  -6.322
 82.30  -6.245
 85.34  -6.160
 88.39  -6.067
 91.44  -5.985
 94.49  -5.892
 97.54  -5.796
100.58  -5.698
103.63  -5.607
106.68  -5.511
109.73  -5.398
112.78  -5.309
115.82  -5.198
118.87  -5.100
121.92  -4.997
124.97  -4.875
128.02  -4.768
131.06  -4.657
134.11  -4.541
137.16  -4.452
140.21  -4.351
143.26  -4.247
146.30  -4.146
149.35  -4.056
152.40  -3.944
155.45  -3.835
158.50  -3.736
161.54  -3.632
164.59  -3.543
167.64  -3.446
170.69  -3.338
173.74  -3.259
176.78  -3.168
179.83  -3.085
182.88  -2.998
185.93  -2.929
188.98  -2.861
192.02  -2.769
195.07  -2.660
198.12  -2.583
201.17  -2.490
204.22  -2.403
207.26  -2.321
210.31  -2.222
213.36  -2.145
216.41  -2.065
219.46  -1.987
