  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Kuyanak Test Well #1 
  File name:   KUY_83AUG21 
  Log date:    21-AUG-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 21.34  -8.601
 24.38  -8.606
 27.43  -8.599
 30.48  -8.566
 33.53  -8.536
 36.58  -8.500
 39.62  -8.473
 42.67  -8.439
 45.72  -8.399
 48.77  -8.366
 51.82  -8.323
 54.86  -8.288
 57.91  -8.252
 60.96  -8.212
 64.01  -8.176
 67.06  -8.132
 70.10  -8.078
 73.15  -8.023
 76.20  -7.973
 79.25  -7.921
 82.30  -7.863
 85.34  -7.794
 88.39  -7.694
 91.44  -7.573
 94.49  -7.475
 97.54  -7.405
100.58  -7.316
103.63  -7.251
106.68  -7.183
109.73  -7.113
112.78  -7.043
115.82  -6.961
118.87  -6.887
121.92  -6.812
124.97  -6.738
128.02  -6.643
131.06  -6.531
134.11  -6.433
137.16  -6.330
140.21  -6.220
143.26  -6.117
146.30  -6.034
149.35  -5.955
152.40  -5.888
155.45  -5.815
158.50  -5.700
161.54  -5.606
164.59  -5.494
167.64  -5.378
170.69  -5.252
173.74  -5.159
176.78  -5.083
179.83  -5.006
182.88  -4.937
185.93  -4.859
188.98  -4.785
192.02  -4.694
195.07  -4.586
198.12  -4.490
201.17  -4.403
204.22  -4.308
207.26  -4.214
210.31  -4.125
213.36  -4.024
216.41  -3.902
219.46  -3.814
222.50  -3.708
225.55  -3.552
228.60  -3.476
231.65  -3.371
234.70  -3.242
237.74  -3.092
240.79  -3.018
243.84  -2.934
246.89  -2.789
249.94  -2.663
252.98  -2.542
256.03  -2.424
259.08  -2.277
262.13  -2.175
265.18  -2.036
268.22  -1.921
271.27  -1.814
274.32  -1.678
277.37  -1.543
280.42  -1.386
283.46  -1.263
286.51  -1.112
289.56  -0.955
292.61  -0.834
295.66  -0.690
298.70  -0.582
301.75  -0.471
304.80  -0.354
307.85  -0.252
310.90  -0.163
313.94  -0.062
316.99   0.037
320.04   0.126
323.09   0.233
326.14   0.332
329.18   0.415
332.23   0.517
335.28   0.623
338.33   0.725
341.38   0.831
344.42   0.942
347.47   1.039
350.52   1.120
353.57   1.201
356.62   1.312
359.66   1.400
362.71   1.487
365.76   1.582
368.81   1.696
371.86   1.809
374.90   1.923
377.95   2.042
381.00   2.175
384.05   2.301
387.10   2.414
390.14   2.528
393.19   2.645
396.24   2.765
399.29   2.883
402.34   3.004
405.38   3.126
408.43   3.241
411.48   3.346
414.53   3.464
417.58   3.590
420.62   3.675
423.67   3.794
426.72   3.922
429.77   4.056
432.82   4.178
435.86   4.277
438.91   4.649
441.96   4.701
445.01   4.791
448.06   4.908
451.10   5.004
454.15   5.085
457.20   5.226
460.25   5.319
463.30   5.446
466.34   5.566
469.39   5.685
472.44   5.809
475.49   5.943
478.54   6.097
481.58   6.231
484.63   6.365
487.68   6.486
490.73   6.612
493.78   6.740
496.82   6.841
499.87   7.109
502.92   7.183
505.97   7.275
509.02   7.363
512.07   7.626
515.11   7.694
518.16   7.787
521.21   7.856
524.26   7.955
527.31   8.034
530.35   8.256
533.40   8.317
536.45   8.406
539.50   8.553
542.55   8.666
545.59   8.787
548.64   8.934
551.69   9.044
554.74   9.144
557.79   9.452
560.83   9.542
563.88   9.641
566.93   9.729
569.98   9.837
573.03   9.937
576.07  10.041
579.12  10.153
582.17  10.225
585.22  10.310
588.27  10.491
591.31  10.641
594.36  10.788
597.41  10.933
600.46  11.079
603.51  11.230
606.55  11.414
609.60  11.573
612.65  11.621
615.70  11.837
618.75  12.061
621.79  12.151
624.84  12.251
627.89  12.353
630.94  12.488
633.99  12.624
637.03  12.767
640.08  12.907
643.13  13.055
646.18  13.171
649.23  13.309
652.27  13.437
655.32  13.563
658.37  13.681
661.42  13.778
664.47  13.900
667.51  14.008
670.56  14.101
673.61  14.394
676.66  14.496
679.71  14.606
682.75  14.741
685.80  14.857
688.85  14.993
691.90  15.124
694.95  15.277
697.99  15.410
701.04  15.539
704.09  15.672
707.14  15.799
710.19  15.932
713.23  16.058
716.28  16.205
719.33  16.341
722.38  16.466
725.43  16.619
728.47  16.711
731.52  16.999
734.57  17.101
737.62  17.209
740.67  17.342
743.71  17.453
746.76  17.567
749.81  17.865
752.86  17.945
755.91  18.061
758.95  18.180
762.00  18.300
765.05  18.467
768.10  18.580
771.15  18.722
774.19  18.871
777.24  18.991
780.29  19.132
783.34  19.263
786.39  19.414
789.43  19.548
792.48  19.678
795.53  19.828
798.58  19.951
801.63  20.097
804.67  20.224
807.72  20.337
810.77  20.624
813.82  20.717
816.87  20.816
819.91  20.918
822.96  20.992
826.01  21.290
829.06  21.392
832.11  21.498
835.15  21.601
838.20  21.694
