  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Lupine Unit No. 1 
  File name:   LUP_79SEP17 
  Log date:    17-SEP-1979 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -2.948
 18.29  -2.958
 21.34  -3.001
 24.38  -3.067
 27.43  -3.139
 30.48  -3.167
 33.53  -3.173
 36.58  -3.166
 39.62  -3.142
 42.67  -3.115
 45.72  -3.086
 48.77  -3.046
 51.82  -2.996
 54.86  -2.950
 57.91  -2.901
 60.96  -2.849
 64.01  -2.801
 67.06  -2.753
 70.10  -2.712
 73.15  -2.666
 76.20  -2.622
 79.25  -2.582
 82.30  -2.535
 85.34  -2.488
 88.39  -2.442
 91.44  -2.386
 94.49  -2.341
 97.54  -2.294
100.58  -2.240
103.63  -2.191
106.68  -2.137
109.73  -2.090
112.78  -2.043
115.82  -1.998
118.87  -1.944
121.92  -1.896
124.97  -1.842
128.02  -1.775
131.06  -1.689
134.11  -1.636
137.16  -1.567
140.21  -1.486
143.26  -1.406
146.30  -1.348
149.35  -1.285
152.40  -1.195
155.45  -1.120
158.50  -1.043
161.54  -0.968
164.59  -0.874
167.64  -0.807
170.69  -0.749
173.74  -0.676
176.78  -0.583
179.83  -0.505
182.88  -0.443
185.93  -0.398
188.98  -0.343
192.02  -0.275
195.07  -0.226
198.12  -0.191
201.17  -0.159
204.22  -0.120
207.26  -0.072
210.31  -0.015
213.36   0.048
216.41   0.116
219.46   0.173
222.50   0.234
225.55   0.298
228.60   0.362
231.65   0.431
234.70   0.500
237.74   0.554
240.79   0.636
243.84   0.720
246.89   0.800
249.94   0.895
252.98   0.985
256.03   1.060
259.08   1.144
262.13   1.214
265.18   1.286
268.22   1.352
271.27   1.416
274.32   1.469
277.37   1.533
280.42   1.594
283.46   1.650
286.51   1.710
289.56   1.766
292.61   1.821
295.66   1.875
298.70   1.934
301.75   1.998
304.80   2.061
307.85   2.121
310.90   2.169
313.94   2.232
316.99   2.314
320.04   2.364
323.09   2.426
326.14   2.487
329.18   2.542
332.23   2.599
335.28   2.668
338.33   2.687
341.38   2.779
344.42   2.848
347.47   2.905
350.52   2.960
353.57   3.019
356.62   3.068
359.66   3.130
362.71   3.216
365.76   3.276
368.81   3.336
371.86   3.423
374.90   3.470
377.95   3.525
381.00   3.579
384.05   3.636
387.10   3.676
390.14   3.735
393.19   3.796
396.24   3.829
399.29   3.903
402.34   4.018
405.38   4.073
408.43   4.156
411.48   4.184
414.53   4.218
417.58   4.274
420.62   4.387
423.67   4.426
426.72   4.470
429.77   4.546
432.82   4.630
435.86   4.747
438.91   4.775
441.96   4.824
445.01   4.868
448.06   4.936
