  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Lupine Unit No. 1 
  File name:   LUP_81AUG28 
  Log date:    28-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -2.501
 18.29  -2.639
 21.34  -2.774
 24.38  -2.916
 27.43  -3.031
 30.48  -3.124
 33.53  -3.172
 36.58  -3.200
 39.62  -3.203
 42.67  -3.199
 45.72  -3.190
 48.77  -3.169
 51.82  -3.141
 54.86  -3.112
 57.91  -3.080
 60.96  -3.037
 64.01  -2.997
 67.06  -2.956
 70.10  -2.918
 73.15  -2.870
 76.20  -2.825
 79.25  -2.784
 82.30  -2.743
 85.34  -2.687
 88.39  -2.646
 91.44  -2.598
 94.49  -2.549
 97.54  -2.491
100.58  -2.436
103.63  -2.397
106.68  -2.346
109.73  -2.288
112.78  -2.250
115.82  -2.211
118.87  -2.150
121.92  -2.104
124.97  -2.043
128.02  -1.969
131.06  -1.905
134.11  -1.848
137.16  -1.796
140.21  -1.718
143.26  -1.655
146.30  -1.581
149.35  -1.522
152.40  -1.450
155.45  -1.363
158.50  -1.287
161.54  -1.215
164.59  -1.083
167.64  -1.078
170.69  -1.040
173.74  -1.000
176.78  -0.914
179.83  -0.773
182.88  -0.727
185.93  -0.656
188.98  -0.584
192.02  -0.520
195.07  -0.472
198.12  -0.431
201.17  -0.357
204.22  -0.270
207.26  -0.216
210.31  -0.177
213.36  -0.131
216.41  -0.073
219.46  -0.017
222.50   0.039
225.55   0.123
228.60   0.176
231.65   0.241
234.70   0.315
237.74   0.380
240.79   0.448
243.84   0.520
246.89   0.599
249.94   0.699
252.98   0.786
256.03   0.860
259.08   0.946
262.13   1.022
265.18   1.103
268.22   1.158
271.27   1.213
274.32   1.282
277.37   1.350
280.42   1.412
283.46   1.476
286.51   1.533
289.56   1.592
292.61   1.636
295.66   1.699
298.70   1.759
301.75   1.823
304.80   1.898
307.85   1.958
310.90   2.003
313.94   2.063
316.99   2.122
320.04   2.181
323.09   2.240
326.14   2.298
329.18   2.363
332.23   2.425
335.28   2.479
338.33   2.535
341.38   2.603
344.42   2.671
347.47   2.729
350.52   2.786
353.57   2.844
356.62   2.891
359.66   2.914
362.71   3.031
365.76   3.094
368.81   3.154
371.86   3.214
374.90   3.271
377.95   3.335
381.00   3.427
384.05   3.497
387.10   3.558
390.14   3.594
393.19   3.639
396.24   3.669
399.29   3.723
402.34   3.867
405.38   4.010
408.43   4.053
411.48   4.144
414.53   4.143
417.58   4.251
420.62   4.342
423.67   4.310
426.72   4.418
429.77   4.471
432.82   4.585
435.86   4.653
438.91   4.743
441.96   4.790
445.01   4.854
448.06   4.941
