  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   North Inigok Test Well #1 
  File name:   NIN_82AUG31 
  Log date:    31-AUG-1982 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 10.67  -6.509
 12.19  -6.735
 13.72  -6.824
 15.24  -6.828
 16.76  -6.812
 18.29  -6.776
 19.81  -6.766
 21.34  -6.763
 22.86  -6.763
 24.38  -6.781
 25.91  -6.805
 27.43  -6.840
 28.96  -6.870
 30.48  -6.880
 32.00  -6.883
 33.53  -6.882
 35.05  -6.876
 36.58  -6.871
 38.10  -6.864
 39.62  -6.844
 41.15  -6.826
 42.67  -6.796
 44.20  -6.761
 45.72  -6.706
 47.24  -6.664
 48.77  -6.618
 51.82  -6.547
 53.34  -6.519
 54.86  -6.496
 56.39  -6.468
 57.91  -6.442
 59.44  -6.408
 60.96  -6.381
 62.48  -6.351
 64.01  -6.309
 67.06  -6.234
 68.58  -6.187
 70.10  -6.137
 71.63  -6.094
 73.15  -6.046
 74.68  -6.010
 76.20  -5.977
 77.72  -5.937
 79.25  -5.899
 80.77  -5.852
 82.30  -5.815
 83.82  -5.775
 85.34  -5.737
 86.87  -5.700
 88.39  -5.647
 89.92  -5.594
 91.44  -5.550
 92.96  -5.494
 94.49  -5.446
 96.01  -5.401
 97.54  -5.350
 99.06  -5.301
100.58  -5.256
102.11  -5.213
103.63  -5.171
105.16  -5.124
106.68  -5.076
108.20  -5.028
109.73  -4.975
111.25  -4.930
112.78  -4.881
114.30  -4.826
115.82  -4.775
117.35  -4.719
118.87  -4.658
120.40  -4.599
121.92  -4.543
123.44  -4.485
124.97  -4.435
126.49  -4.378
128.02  -4.322
131.06  -4.188
135.64  -3.989
137.16  -3.913
138.68  -3.845
140.21  -3.770
141.73  -3.696
144.78  -3.451
146.30  -3.382
147.83  -3.319
149.35  -3.247
150.88  -3.190
152.40  -3.134
153.92  -3.070
155.45  -2.998
156.97  -2.927
158.50  -2.839
160.02  -2.762
161.54  -2.689
163.07  -2.612
164.59  -2.561
166.12  -2.520
167.64  -2.480
169.16  -2.442
170.69  -2.399
172.21  -2.353
173.74  -2.303
175.26  -2.261
176.78  -2.209
178.31  -2.169
179.83  -2.117
181.36  -2.068
182.88  -2.019
184.40  -1.961
185.93  -1.900
187.45  -1.844
188.98  -1.781
190.50  -1.722
192.02  -1.655
193.55  -1.591
195.07  -1.533
196.60  -1.473
198.12  -1.419
199.64  -1.370
201.17  -1.354
202.69  -1.291
204.22  -1.251
205.74  -1.206
207.26  -1.155
208.79  -1.110
210.31  -1.058
211.84  -1.001
213.36  -0.947
214.88  -0.878
216.41  -0.810
217.93  -0.755
219.46  -0.686
220.98  -0.608
222.50  -0.527
224.03  -0.450
225.55  -0.376
227.08  -0.326
228.60  -0.284
230.12  -0.263
231.65  -0.239
233.17  -0.211
234.70  -0.178
236.22  -0.139
237.74  -0.089
239.27  -0.033
240.79   0.022
242.32   0.093
243.84   0.169
245.36   0.235
246.89   0.284
248.41   0.329
249.94   0.383
251.46   0.436
252.98   0.483
254.51   0.534
256.03   0.576
257.56   0.608
259.08   0.642
262.13   0.716
265.18   0.804
268.22   0.924
271.27   1.043
274.32   1.181
277.37   1.329
280.42   1.514
283.46   1.651
286.51   1.774
289.56   1.898
292.61   2.017
295.66   2.143
298.70   2.267
301.75   2.394
304.80   2.523
307.85   2.655
310.90   2.769
313.94   2.875
316.99   2.974
320.04   3.068
323.09   3.169
326.14   3.268
329.18   3.376
332.23   3.476
335.28   3.573
338.33   3.683
341.38   3.804
344.42   3.913
347.47   4.024
350.52   4.136
353.57   4.251
356.62   4.365
359.66   4.484
362.71   4.599
365.76   4.719
368.81   4.841
371.86   4.979
374.90   5.068
377.95   5.195
381.00   5.307
384.05   5.425
387.10   5.531
390.14   5.643
393.19   5.764
396.24   5.878
399.29   5.996
402.34   6.113
405.38   6.228
408.43   6.334
411.48   6.447
414.53   6.561
417.58   6.669
420.62   6.790
423.67   6.901
426.72   7.016
429.77   7.128
432.82   7.242
435.86   7.363
438.91   7.475
441.96   7.589
445.01   7.705
448.06   7.829
451.10   7.966
454.15   8.085
457.20   8.229
460.25   8.373
463.30   8.521
466.34   8.685
469.39   8.841
475.49   9.124
478.54   9.263
481.58   9.401
484.63   9.534
487.68   9.639
490.73   9.742
493.78   9.840
496.82   9.946
499.87  10.032
502.92  10.123
505.97  10.220
509.02  10.334
512.07  10.452
515.11  10.559
518.16  10.683
521.21  10.779
524.26  10.870
527.31  10.994
530.35  11.107
533.40  11.216
536.45  11.352
539.50  11.476
542.55  11.599
545.59  11.710
548.64  11.845
551.69  11.966
554.74  12.078
557.79  12.175
560.83  12.272
563.88  12.381
566.93  12.489
569.98  12.610
573.03  12.691
576.07  12.797
