  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   North Kalikpik Test Well #1 
  File name:   NKP_79SEP10 
  Log date:    10-SEP-1979 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 18.29  -8.364
 24.38  -8.224
 30.48  -8.029
 36.58  -7.820
 42.67  -7.636
 48.77  -7.414
 54.86  -7.107
 60.96  -6.844
 67.06  -6.546
 73.15  -6.245
 79.25  -5.908
 85.34  -5.575
 91.44  -5.224
 97.54  -4.843
103.63  -4.525
109.73  -4.211
115.82  -3.912
121.92  -3.602
128.02  -3.347
134.11  -2.894
140.21  -2.290
146.30  -2.018
152.40  -1.730
158.50  -1.532
164.59  -0.991
170.69  -0.831
176.78  -0.758
182.88  -0.685
188.98  -0.347
195.07   0.042
201.17   0.196
207.26   0.513
213.36   0.800
219.46   1.082
225.55   1.354
231.65   1.629
237.74   1.934
243.84   2.244
249.94   2.525
256.03   2.817
262.13   3.106
268.22   3.374
274.32   3.638
280.42   3.909
286.51   4.206
292.61   4.489
298.70   4.750
304.80   5.030
310.90   5.324
316.99   5.621
323.09   5.919
329.18   6.186
335.28   6.500
341.38   6.829
347.47   7.087
353.57   7.405
359.66   7.640
365.76   7.892
371.86   8.171
377.95   8.458
384.05   8.747
390.14   8.997
396.24   9.256
402.34   9.512
408.43   9.796
414.53  10.064
420.62  10.323
426.72  10.583
432.82  10.876
438.91  11.131
445.01  11.422
451.10  11.696
457.20  11.990
463.30  12.292
469.39  12.575
475.49  12.825
481.58  13.135
487.68  13.399
490.73  13.555
493.78  13.700
496.82  13.839
499.87  14.023
502.92  14.176
505.97  14.348
509.02  14.493
512.07  14.622
515.11  14.773
518.16  14.927
521.21  15.053
524.26  15.186
527.31  15.325
530.35  15.449
533.40  15.605
536.45  15.737
539.50  15.851
542.55  16.003
545.59  16.142
548.64  16.270
551.69  16.431
554.74  16.576
557.79  16.704
560.83  16.854
563.88  16.989
566.93  17.123
569.98  17.269
573.03  17.419
576.07  17.540
579.12  17.679
582.17  17.804
585.22  17.948
588.27  18.073
591.31  18.223
594.36  18.343
597.41  18.503
600.46  18.617
603.51  18.780
606.55  18.921
609.60  19.054
612.65  19.189
615.70  19.328
618.75  19.458
621.79  19.620
624.84  19.777
627.89  19.863
630.94  20.062
633.99  20.177
637.03  20.292
640.08  20.429
643.13  20.525
