  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Peard Bay Test Well #1 
  File name:   PEA_79SEP15 
  Log date:    15-SEP-1979 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 30.48  -6.258
 33.53  -6.280
 36.58  -6.276
 39.62  -6.309
 42.67  -6.311
 45.72  -6.270
 48.77  -6.171
 51.82  -6.096
 54.86  -6.086
 57.91  -6.135
 60.96  -6.120
 64.01  -6.069
 67.06  -6.008
 70.10  -5.937
 73.15  -5.846
 76.20  -5.750
 79.25  -5.665
 82.30  -5.540
 85.34  -5.428
 88.39  -5.297
 91.44  -5.192
 94.49  -5.042
 97.54  -4.901
100.58  -4.657
103.63  -4.656
106.68  -4.586
109.73  -4.529
112.78  -4.492
115.82  -4.432
118.87  -4.360
121.92  -4.265
124.97  -4.205
128.02  -4.129
131.06  -4.026
134.11  -3.908
137.16  -3.793
140.21  -3.707
143.26  -3.650
146.30  -3.574
149.35  -3.477
152.40  -3.334
155.45  -3.196
158.50  -3.084
161.54  -2.992
164.59  -2.839
167.64  -2.704
170.69  -2.516
173.74  -2.373
176.78  -2.270
179.83  -2.462
182.88  -2.621
185.93  -2.598
188.98  -2.520
192.02  -2.395
195.07  -2.225
198.12  -1.980
201.17  -1.696
204.22  -1.475
207.26  -1.456
210.31  -1.794
213.36  -1.812
216.41  -1.770
219.46  -1.646
222.50  -1.528
225.55  -1.398
228.60  -1.287
231.65  -1.158
234.70  -1.079
237.74  -1.004
240.79  -0.926
243.84  -0.873
246.89  -0.821
249.94  -0.746
252.98  -0.669
256.03  -0.563
259.08  -0.435
262.13  -0.362
265.18  -0.294
268.22  -0.197
271.27  -0.036
274.32   0.179
277.37   0.403
280.42   0.592
283.46   0.793
286.51   0.912
289.56   1.024
292.61   1.154
295.66   1.256
298.70   1.339
301.75   1.426
304.80   1.496
307.85   1.573
310.90   1.658
313.94   1.737
316.99   1.828
320.04   1.922
323.09   2.012
326.14   2.100
329.18   2.197
332.23   2.261
335.28   2.368
338.33   2.449
341.38   2.542
344.42   2.645
347.47   2.718
350.52   2.785
353.57   2.855
356.62   2.944
359.66   3.032
362.71   3.138
365.76   3.243
368.81   3.357
371.86   3.471
374.90   3.573
377.95   3.649
381.00   3.743
384.05   3.850
387.10   3.915
390.14   3.996
393.19   4.096
396.24   4.154
399.29   4.216
402.34   4.287
405.38   4.377
408.43   4.451
411.48   4.573
414.53   4.658
417.58   4.763
420.62   4.865
423.67   4.964
426.72   5.045
429.77   5.150
432.82   5.228
435.86   5.325
438.91   5.420
441.96   5.509
445.01   5.610
448.06   5.685
451.10   5.767
454.15   5.840
457.20   5.927
460.25   6.000
463.30   6.087
466.34   6.151
469.39   6.230
472.44   6.307
475.49   6.371
478.54   6.462
481.58   6.548
484.63   6.651
487.68   6.747
490.73   6.852
493.78   6.934
496.82   7.026
499.87   7.117
502.92   7.225
505.97   7.320
509.02   7.438
512.07   7.530
515.11   7.633
518.16   7.737
521.21   7.826
524.26   7.925
527.31   8.019
530.35   8.120
533.40   8.220
536.45   8.313
539.50   8.425
542.55   8.518
545.59   8.592
548.64   8.672
551.69   8.755
