  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Seabee Test Well #1 
  File name:   SBE_80SEP09 
  Log date:    09-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 51.82  -3.331
 54.86  -3.288
 57.91  -3.265
 60.96  -3.218
 64.01  -3.163
 67.06  -3.139
 70.10  -3.127
 73.15  -3.081
 76.20  -3.018
 79.25  -2.984
 82.30  -2.965
 85.34  -2.950
 88.39  -2.924
 91.44  -2.886
 94.49  -2.827
 97.54  -2.728
100.58  -2.591
103.63  -2.439
106.68  -2.333
109.73  -2.222
112.78  -2.133
115.82  -2.044
118.87  -1.886
121.92  -1.649
124.97  -1.407
128.02  -1.140
131.06  -0.846
134.11  -1.088
137.16  -1.408
140.21  -1.422
143.26  -1.428
146.30  -1.387
149.35  -1.233
152.40  -0.923
155.45  -0.570
158.50  -0.385
161.54  -0.362
164.59  -0.889
167.64  -0.889
170.69  -0.793
173.74  -0.633
176.78  -0.476
179.83  -0.293
182.88  -0.179
185.93  -0.110
188.98  -0.012
192.02   0.058
195.07   0.045
198.12  -0.245
201.17  -0.293
204.22  -0.281
207.26  -0.285
210.31  -0.330
213.36  -0.341
216.41  -0.330
219.46  -0.235
222.50  -0.065
225.55   0.129
228.60   0.313
231.65   0.504
234.70   0.647
237.74   0.744
240.79   0.840
243.84   0.984
246.89   1.177
249.94   1.340
252.98   1.457
256.03   1.541
259.08   1.637
262.13   1.705
265.18   1.718
268.22   1.713
271.27   1.713
274.32   1.744
277.37   1.849
280.42   2.001
283.46   2.164
286.51   2.328
289.56   2.483
292.61   2.586
295.66   2.699
298.70   2.714
301.75   2.732
304.80   2.699
307.85   2.670
310.90   2.728
313.94   2.835
316.99   3.085
320.04   2.981
323.09   2.927
326.14   2.801
329.18   2.786
332.23   2.806
335.28   2.823
338.33   2.905
341.38   3.027
344.42   3.157
347.47   3.270
350.52   3.286
353.57   3.334
356.62   3.364
359.66   3.394
362.71   3.428
365.76   3.464
368.81   3.513
371.86   3.536
374.90   3.556
377.95   3.598
381.00   3.640
