  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Meade Test Well #1 
  File name:   SME_79SEP14 
  Log date:    14-SEP-1979 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -6.797
 18.29  -6.696
 21.34  -6.595
 24.38  -6.469
 27.43  -6.324
 30.48  -6.158
 33.53  -5.997
 36.58  -5.897
 39.62  -5.759
 42.67  -5.600
 45.72  -5.451
 48.77  -5.274
 51.82  -5.093
 54.86  -4.881
 57.91  -4.741
 60.96  -4.568
 64.01  -4.381
 67.06  -4.251
 70.10  -4.073
 73.15  -3.945
 76.20  -3.820
 79.25  -3.663
 82.30  -3.494
 85.34  -3.343
 88.39  -3.193
 91.44  -2.986
 94.49  -2.805
 97.54  -2.634
100.58  -2.463
103.63  -2.344
106.68  -2.274
109.73  -2.201
112.78  -2.094
115.82  -1.939
118.87  -1.772
121.92  -1.662
124.97  -1.544
128.02  -1.431
131.06  -1.322
134.11  -1.202
137.16  -1.069
140.21  -0.961
143.26  -0.895
146.30  -0.833
149.35  -0.779
152.40  -0.772
155.45  -0.769
158.50  -0.711
161.54  -0.576
164.59  -0.308
167.64  -0.063
170.69   0.272
173.74   0.595
176.78   0.852
179.83   1.083
182.88   1.264
185.93   1.427
188.98   1.571
192.02   1.684
195.07   1.787
198.12   1.881
201.17   1.998
204.22   2.120
207.26   2.254
210.31   2.370
213.36   2.515
216.41   2.650
219.46   2.759
222.50   2.861
225.55   2.948
228.60   3.018
231.65   3.094
234.70   3.161
237.74   3.257
240.79   3.375
243.84   3.488
246.89   3.604
249.94   3.715
252.98   3.833
256.03   3.959
259.08   4.101
262.13   4.234
265.18   4.374
268.22   4.514
271.27   4.678
274.32   4.791
277.37   4.912
280.42   5.007
283.46   5.093
286.51   5.174
289.56   5.288
292.61   5.393
295.66   5.502
298.70   5.665
301.75   5.833
304.80   6.014
307.85   6.222
310.90   6.407
313.94   6.537
316.99   6.680
320.04   6.839
323.09   7.052
326.14   7.307
329.18   7.501
332.23   7.699
335.28   7.867
338.33   7.958
341.38   8.025
344.42   8.084
347.47   8.160
350.52   8.238
353.57   8.350
356.62   8.427
359.66   8.504
362.71   8.580
365.76   8.710
368.81   8.848
371.86   8.993
374.90   9.157
377.95   9.314
381.00   9.487
384.05   9.667
387.10   9.849
390.14  10.031
393.19  10.274
396.24  10.517
399.29  10.781
402.34  10.933
405.38  11.062
408.43  11.191
411.48  11.336
414.53  11.484
417.58  11.669
420.62  11.890
423.67  12.178
426.72  12.536
429.77  12.749
432.82  12.811
435.86  12.712
438.91  12.613
441.96  12.592
445.01  12.629
448.06  12.711
451.10  12.828
454.15  12.971
457.20  13.095
460.25  13.240
463.30  13.397
466.34  13.574
469.39  13.692
472.44  13.796
475.49  13.926
478.54  14.029
481.58  14.131
484.63  14.230
487.68  14.368
490.73  14.498
493.78  14.611
496.82  14.719
499.87  14.849
502.92  14.972
505.97  15.066
509.02  15.398
512.07  15.463
515.11  15.564
518.16  15.667
521.21  15.763
524.26  15.900
527.31  16.045
530.35  16.126
533.40  16.243
536.45  16.301
539.50  16.430
