  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Meade Test Well #1 
  File name:   SME_83AUG21 
  Log date:    21-AUG-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 18.75  -8.539
 21.79  -8.314
 24.84  -8.118
 27.89  -7.910
 30.94  -7.743
 33.99  -7.585
 37.03  -7.430
 40.08  -7.230
 45.72  -6.885
 48.77  -6.762
 51.82  -6.583
 54.86  -6.400
 57.91  -6.213
 60.96  -6.041
 64.01  -5.885
 67.06  -5.730
 70.10  -5.581
 73.15  -5.410
 76.20  -5.268
 79.25  -5.068
 82.30  -4.900
 85.34  -4.724
 88.39  -4.569
 91.44  -4.405
 94.49  -4.249
 97.54  -4.116
100.58  -4.004
103.63  -3.901
106.68  -3.805
109.73  -3.669
112.78  -3.496
115.82  -3.307
118.87  -3.167
121.92  -2.986
124.97  -2.815
128.02  -2.628
131.06  -2.454
134.11  -2.248
137.16  -2.066
140.21  -1.867
143.26  -1.683
146.30  -1.539
149.35  -1.390
152.40  -1.274
155.45  -1.168
158.50  -1.092
161.54  -1.016
164.59  -0.962
167.64  -0.890
170.69  -0.785
173.74  -0.653
176.78  -0.497
179.83  -0.373
182.88  -0.263
185.93  -0.140
188.98   0.011
192.02   0.180
195.07   0.298
198.12   0.430
201.17   0.562
204.22   0.664
207.26   0.784
210.31   0.919
213.36   1.032
216.41   1.152
219.46   1.276
222.50   1.399
225.55   1.504
228.60   1.600
231.65   1.700
234.70   1.801
237.74   1.915
240.79   2.030
243.84   2.145
246.89   2.258
249.94   2.369
252.98   2.491
256.03   2.609
259.08   2.734
262.13   2.860
265.18   2.993
268.22   3.131
271.27   3.283
274.32   3.411
277.37   3.546
280.42   3.651
283.46   3.753
286.51   3.859
289.56   3.964
292.61   4.074
295.66   4.189
298.70   4.340
301.75   4.490
304.80   4.691
307.85   4.876
310.90   5.047
313.94   5.205
316.99   5.340
320.04   5.494
323.09   5.654
326.14   5.830
329.18   5.952
332.23   6.112
335.28   6.220
338.33   6.323
341.38   6.413
344.42   6.510
347.47   6.601
350.52   6.743
353.57   6.889
356.62   7.031
359.66   7.160
362.71   7.295
365.76   7.440
368.81   7.598
371.86   7.761
374.90   7.924
377.95   8.081
381.00   8.252
384.05   8.438
387.10   8.615
390.14   8.811
393.19   9.041
396.24   9.242
399.29   9.463
402.34   9.621
405.38   9.742
408.43   9.893
411.48  10.025
414.53  10.157
417.58  10.300
420.62  10.432
423.67  10.561
426.72  10.685
429.77  10.790
432.82  10.897
435.86  11.005
438.91  11.137
441.96  11.258
445.01  11.361
448.06  11.491
451.10  11.624
454.15  11.743
457.20  11.863
460.25  12.019
463.30  12.160
466.34  12.284
469.39  12.426
472.44  12.532
475.49  12.662
478.54  12.792
481.58  12.899
484.63  13.012
487.68  13.132
490.73  13.233
493.78  13.356
496.82  13.456
499.87  13.578
502.92  13.674
