  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Harrison Test Well #1 
  File name:   SOH_79SEP12 
  Log date:    12-SEP-1979 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -9.598
 18.29  -9.516
 21.34  -9.411
 24.38  -9.358
 27.43  -9.273
 30.48  -9.218
 33.53  -9.147
 36.58  -9.048
 39.62  -8.970
 42.67  -8.917
 45.72  -8.885
 48.77  -8.861
 51.82  -8.846
 54.86  -8.832
 57.91  -8.821
 60.96  -8.806
 64.01  -8.787
 67.06  -8.766
 70.10  -8.726
 73.15  -8.699
 76.20  -8.658
 79.25  -8.606
 82.30  -8.563
 85.34  -8.498
 88.39  -8.453
 91.44  -8.394
 94.49  -8.304
 97.54  -8.220
100.58  -8.138
103.63  -8.055
106.68  -7.978
109.73  -7.891
112.78  -7.795
115.82  -7.726
118.87  -7.648
121.92  -7.574
124.97  -7.501
128.02  -7.430
131.06  -7.360
134.11  -7.289
137.16  -7.203
140.21  -7.116
143.26  -7.038
146.30  -6.940
149.35  -6.839
152.40  -6.707
155.45  -6.597
158.50  -6.505
161.54  -6.401
164.59  -6.278
167.64  -6.167
170.69  -6.065
173.74  -5.947
176.78  -5.862
179.83  -5.779
182.88  -5.681
185.93  -5.600
188.98  -5.498
192.02  -5.417
195.07  -5.330
198.12  -5.205
201.17  -5.111
204.22  -5.022
207.26  -4.934
210.31  -4.819
213.36  -4.716
216.41  -4.620
219.46  -4.532
222.50  -4.420
225.55  -4.339
228.60  -4.245
231.65  -4.134
234.70  -4.019
237.74  -3.938
240.79  -3.810
243.84  -3.716
246.89  -3.618
249.94  -3.553
252.98  -3.460
256.03  -3.377
257.56  -3.333
