  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Tunalik Test Well #1 
  File name:   TLK_83AUG24 
  Log date:    24-AUG-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 24.38  -7.458
 27.43  -7.374
 30.48  -7.273
 33.53  -7.211
 36.58  -7.153
 39.62  -7.118
 42.67  -7.089
 45.72  -7.063
 48.77  -7.044
 51.82  -7.007
 54.86  -6.962
 57.91  -6.922
 60.96  -6.914
 64.01  -6.913
 67.06  -6.913
 70.10  -6.888
 73.15  -6.824
 76.20  -6.715
 79.25  -6.595
 82.30  -6.446
 85.34  -6.253
 88.39  -6.145
 91.44  -6.063
 94.49  -5.990
 97.54  -5.913
100.58  -5.828
103.63  -5.716
106.68  -5.619
109.73  -5.492
112.78  -5.365
115.82  -5.261
118.87  -5.137
121.92  -5.029
124.97  -4.872
128.02  -4.733
131.06  -4.583
134.11  -4.502
137.16  -4.380
140.21  -4.291
143.26  -4.244
146.30  -4.184
149.35  -4.134
152.40  -4.081
155.45  -4.010
158.50  -3.938
161.54  -3.825
164.59  -3.744
167.64  -3.635
170.69  -3.567
173.74  -3.513
176.78  -3.458
179.83  -3.376
182.88  -3.293
185.93  -3.193
188.98  -3.013
192.02  -2.920
195.07  -2.787
198.12  -2.633
201.17  -2.405
204.22  -2.165
207.26  -2.007
210.31  -1.852
213.36  -1.714
216.41  -1.596
219.46  -1.500
222.50  -1.449
225.55  -1.438
228.60  -1.435
231.65  -1.425
234.70  -1.393
237.74  -1.316
240.79  -1.223
243.84  -1.108
246.89  -1.021
249.94  -0.895
252.98  -0.795
256.03  -0.671
259.08  -0.581
262.13  -0.442
265.18  -0.318
268.22  -0.183
271.27   0.056
274.32   0.272
277.37   0.503
280.42   0.696
283.46   0.865
286.51   1.015
289.56   1.174
292.61   1.278
295.66   1.407
298.70   1.550
301.75   1.653
304.80   1.753
307.85   1.855
310.90   1.941
313.94   2.046
316.99   2.137
320.04   2.243
323.09   2.360
326.14   2.490
329.18   2.601
332.23   2.711
335.28   2.802
338.33   2.942
341.38   3.069
344.42   3.247
347.47   3.356
350.52   3.462
353.57   3.539
356.62   3.610
359.66   3.700
362.71   3.795
365.76   3.916
368.81   4.017
371.86   4.136
374.90   4.232
377.95   4.329
381.00   4.434
384.05   4.518
387.10   4.645
390.14   4.745
393.19   4.853
396.24   4.932
399.29   5.010
402.34   5.110
405.38   5.219
408.43   5.336
411.48   5.449
414.53   5.568
417.58   5.692
420.62   5.827
423.67   5.991
426.72   6.103
429.77   6.234
432.82   6.365
435.86   6.458
438.91   6.856
441.96   6.931
445.01   6.995
448.06   7.079
451.10   7.158
454.15   7.264
457.20   7.383
460.25   7.476
463.30   7.573
466.34   7.677
469.39   7.774
472.44   7.876
475.49   7.978
478.54   8.097
481.58   8.208
484.63   8.334
487.68   8.441
490.73   8.522
493.78   8.615
496.82   8.690
499.87   8.757
502.92   8.818
505.97   8.904
509.02   9.000
512.07   9.116
515.11   9.234
518.16   9.337
521.21   9.466
524.26   9.602
527.31   9.715
530.35   9.797
