  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Tulageak Test Well #1 
  File name:   TUL_83AUG25 
  Log date:    25-AUG-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 30.48  -9.706
 33.53  -9.669
 36.58  -9.618
 39.62  -9.568
 42.67  -9.513
 45.72  -9.450
 48.77  -9.396
 51.82  -9.342
 54.86  -9.290
 57.91  -9.225
 60.96  -9.153
 64.01  -9.094
 67.06  -9.030
 70.10  -8.936
 73.15  -8.860
 76.20  -8.757
 79.25  -8.670
 82.30  -8.561
 85.34  -8.486
 88.39  -8.412
 91.44  -8.297
 94.49  -8.185
 97.54  -8.075
100.58  -7.977
103.63  -7.841
106.68  -7.742
109.73  -7.618
112.78  -7.503
115.82  -7.380
118.87  -7.253
121.92  -7.111
124.97  -7.021
128.02  -6.884
131.06  -6.704
134.11  -6.584
137.16  -6.431
140.21  -6.301
143.26  -6.156
146.30  -6.030
149.35  -5.895
152.40  -5.769
155.45  -5.622
158.50  -5.488
161.54  -5.359
164.59  -5.176
167.64  -5.069
170.69  -4.940
173.74  -4.798
176.78  -4.660
179.83  -4.530
182.88  -4.424
185.93  -4.244
188.98  -4.127
192.02  -4.014
195.07  -3.861
198.12  -3.738
201.17  -3.598
204.22  -3.476
207.26  -3.332
210.31  -3.209
213.36  -3.114
216.41  -3.027
219.46  -2.932
222.50  -2.817
225.55  -2.725
228.60  -2.599
231.65  -2.501
234.70  -2.376
237.74  -2.279
240.79  -2.164
243.84  -2.067
246.89  -1.959
249.94  -1.828
252.98  -1.734
256.03  -1.618
259.08  -1.477
262.13  -1.376
265.18  -1.251
268.22  -1.159
271.27  -1.067
274.32  -0.957
277.37  -0.844
280.42  -0.717
283.46  -0.610
286.51  -0.488
289.56  -0.382
292.61  -0.270
295.66  -0.178
298.70  -0.043
301.75   0.053
304.80   0.180
307.85   0.305
310.90   0.426
313.94   0.547
316.99   0.652
320.04   0.772
323.09   0.913
326.14   1.026
329.18   1.178
332.23   1.274
335.28   1.410
338.33   1.554
341.38   1.681
344.42   1.808
347.47   1.941
350.52   2.068
353.57   2.198
356.62   2.324
359.66   2.452
362.71   2.587
365.76   2.710
368.81   2.823
371.86   2.949
374.90   3.102
377.95   3.227
381.00   3.366
384.05   3.518
387.10   3.625
390.14   3.781
393.19   3.904
396.24   4.025
399.29   4.154
402.34   4.275
405.38   4.402
408.43   4.532
411.48   4.679
414.53   4.785
417.58   4.911
420.62   5.022
423.67   5.161
426.72   5.279
429.77   5.401
432.82   5.517
451.10   6.314
454.15   6.458
457.20   6.566
460.25   6.695
463.30   6.833
466.34   6.951
469.39   7.087
472.44   7.195
475.49   7.336
478.54   7.465
481.58   7.601
484.63   7.712
487.68   7.893
490.73   8.012
493.78   8.131
496.82   8.270
499.87   8.413
502.92   8.511
505.97   8.644
509.02   8.779
512.07   8.905
515.11   9.015
518.16   9.137
521.21   9.247
524.26   9.373
527.31   9.501
530.35   9.607
533.40   9.729
536.45   9.857
539.50   9.977
542.55  10.085
545.59  10.226
548.64  10.339
551.69  10.455
554.74  10.600
557.79  10.722
560.83  10.874
563.88  11.017
566.93  11.149
569.98  11.273
573.03  11.411
576.07  11.519
579.12  11.646
582.17  11.785
585.22  11.916
588.27  12.037
591.31  12.167
594.36  12.266
597.41  12.361
600.46  12.628
603.51  12.911
606.55  13.107
609.60  13.185
612.65  13.537
615.70  13.617
618.75  13.722
621.79  13.869
624.84  14.010
627.89  14.130
630.94  14.308
633.99  14.435
637.03  14.591
640.08  14.738
643.13  14.894
646.18  15.029
649.23  15.181
652.27  15.320
655.32  15.463
658.37  15.570
661.42  15.722
664.47  15.851
667.51  15.972
670.56  16.090
673.61  16.217
676.66  16.325
679.71  16.449
682.75  16.577
685.80  16.688
688.85  16.795
691.90  16.885
694.95  16.959
697.99  17.180
701.04  17.322
704.09  17.465
707.14  17.593
