  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Tulageak Test Well #1 
  File name:   TUL_84AUG03a_c_d 
  Log date:    03-AUG-1984 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
  8.23 -10.546
  8.53 -10.515
  8.84 -10.483
  9.14 -10.452
  9.45 -10.424
  9.75 -10.396
 10.06 -10.369
 10.36 -10.342
 10.67 -10.316
 10.97 -10.289
 11.28 -10.262
 11.58 -10.236
 11.89 -10.208
 12.19 -10.181
 12.50 -10.153
 12.80 -10.126
 13.11 -10.100
 13.41 -10.076
 13.72 -10.052
 14.02 -10.030
 14.33 -10.011
 14.94  -9.977
 15.24  -9.962
 15.54  -9.948
 16.15  -9.921
 16.46  -9.909
 16.76  -9.895
 17.07  -9.882
 17.37  -9.869
 17.68  -9.857
 17.98  -9.845
 18.29  -9.834
 18.59  -9.824
 18.90  -9.815
 19.20  -9.807
 19.51  -9.801
 19.81  -9.795
 20.42  -9.786
 20.73  -9.781
 21.03  -9.777
 21.34  -9.774
 21.64  -9.771
 21.95  -9.768
 22.25  -9.765
 22.56  -9.762
 22.86  -9.759
 23.16  -9.757
 23.47  -9.755
 23.77  -9.752
 24.08  -9.749
 24.38  -9.746
 24.69  -9.743
 24.99  -9.740
 25.30  -9.737
 25.60  -9.734
 25.91  -9.731
 26.21  -9.728
 26.52  -9.726
 26.82  -9.723
 27.13  -9.721
 27.43  -9.719
 27.74  -9.717
 28.04  -9.715
 28.35  -9.713
 28.65  -9.711
 28.96  -9.708
 29.26  -9.705
 29.57  -9.702
 29.87  -9.699
 30.18  -9.696
 30.48  -9.693
 30.78  -9.690
 31.09  -9.687
 31.39  -9.683
 31.70  -9.680
 32.00  -9.677
 32.31  -9.673
 32.61  -9.670
 32.92  -9.666
 33.22  -9.662
 33.53  -9.658
 33.83  -9.655
 34.14  -9.650
 34.44  -9.646
 34.75  -9.642
 35.05  -9.638
 35.36  -9.634
 35.66  -9.629
 35.97  -9.625
 36.27  -9.620
 36.58  -9.616
 36.88  -9.612
 37.19  -9.607
 37.49  -9.602
 37.80  -9.598
 38.10  -9.593
 38.40  -9.588
 38.71  -9.583
 39.01  -9.578
 39.32  -9.573
 39.62  -9.568
 39.93  -9.563
 40.23  -9.558
 40.84  -9.548
 41.15  -9.543
 41.45  -9.538
 41.76  -9.533
 42.06  -9.528
 42.37  -9.523
 42.67  -9.518
 42.98  -9.513
 43.28  -9.508
 43.59  -9.503
 43.89  -9.498
 44.20  -9.493
 44.50  -9.489
 44.81  -9.484
 45.11  -9.479
 45.42  -9.474
 45.72  -9.469
 46.02  -9.463
 46.33  -9.457
 46.63  -9.450
 46.94  -9.444
 47.24  -9.437
 47.55  -9.430
 47.85  -9.424
 48.16  -9.417
 48.46  -9.411
 48.77  -9.405
 49.07  -9.400
 49.38  -9.394
 49.68  -9.388
 49.99  -9.382
 50.29  -9.377
 50.60  -9.371
 50.90  -9.365
 51.21  -9.358
 51.51  -9.352
 51.82  -9.346
 52.12  -9.339
 52.43  -9.333
 52.73  -9.327
 53.04  -9.321
 53.34  -9.315
 53.64  -9.309
 53.95  -9.304
 54.25  -9.298
 54.56  -9.292
 54.86  -9.287
