  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   West Dease Test Well #1 
  File name:   WDS_83AUG28 
  Log date:    28-AUG-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 70.10  -8.654
 73.15  -8.596
 76.20  -8.530
 79.25  -8.447
 82.30  -8.365
 85.34  -8.260
 88.39  -8.167
 91.44  -8.070
 94.49  -7.952
 97.54  -7.854
100.58  -7.747
103.63  -7.603
106.68  -7.473
109.73  -7.340
112.78  -7.225
115.82  -7.106
118.87  -6.996
121.92  -6.855
124.97  -6.760
128.02  -6.632
131.06  -6.513
134.11  -6.403
137.16  -6.267
140.21  -6.135
143.26  -6.009
146.30  -5.894
149.35  -5.754
152.40  -5.634
155.45  -5.500
158.50  -5.368
161.54  -5.247
164.59  -5.113
167.64  -4.979
170.69  -4.869
173.74  -4.725
176.78  -4.603
179.83  -4.467
182.88  -4.304
185.93  -4.194
188.98  -4.055
192.02  -3.918
195.07  -3.780
198.12  -3.652
201.17  -3.527
204.22  -3.411
207.26  -3.259
210.31  -3.134
213.36  -2.958
216.41  -2.815
219.46  -2.670
222.50  -2.564
225.55  -2.422
228.60  -2.278
231.65  -2.144
234.70  -1.987
237.74  -1.844
240.79  -1.710
243.84  -1.551
246.89  -1.422
249.94  -1.259
252.98  -1.126
256.03  -0.962
259.08  -0.841
262.13  -0.712
265.18  -0.599
268.22  -0.440
271.27  -0.298
274.32  -0.144
277.37  -0.008
280.42   0.142
283.46   0.277
286.51   0.400
289.56   0.516
292.61   0.632
295.66   0.762
298.70   0.874
301.75   0.980
304.80   1.093
310.90   1.327
316.99   1.577
323.09   1.823
329.18   2.051
335.28   2.297
341.38   2.555
347.47   2.781
353.57   3.009
359.66   3.272
365.76   3.525
371.86   3.771
377.95   4.015
384.05   4.317
390.14   4.551
396.24   4.826
402.34   5.085
408.43   5.305
414.53   5.566
420.62   5.783
426.72   6.035
432.82   6.277
438.91   6.520
445.01   6.768
451.10   7.015
457.20   7.322
463.30   7.561
469.39   7.820
475.49   8.131
481.58   8.412
487.68   8.690
493.78   8.969
499.87   9.259
505.97   9.560
512.07   9.818
518.16  10.106
524.26  10.365
530.35  10.659
536.45  10.911
542.55  11.194
548.64  11.478
554.74  11.739
560.83  12.003
566.93  12.275
573.03  12.541
579.12  12.785
585.22  13.042
591.31  13.273
597.41  13.553
603.51  13.834
609.60  14.134
615.70  14.415
621.79  14.733
627.89  15.055
633.99  15.378
640.08  15.741
646.18  16.045
652.27  16.352
658.37  16.673
664.47  16.964
670.56  17.271
676.66  17.577
682.75  17.845
688.85  18.097
694.95  18.298
701.04  18.532
707.14  18.780
713.23  19.061
719.33  19.339
725.43  19.627
731.52  19.907
737.62  20.197
743.71  20.424
749.81  20.870
755.91  21.042
762.00  21.378
768.10  21.729
774.19  22.079
780.29  22.423
786.39  22.730
792.48  22.998
798.58  23.327
